	Berwanger (10/35)	Oberthuer (38/330)	Ohira (12/81)	Wang (26/82)	published lists
AHCY		-	-		2
AKR1C1		+		+	1
ARHGEF7		+	+		2
BIRC5	-		-		1
CADM1		+		+	0
CAMTA2		+		+	0
CDCA5	-	-			2
CDKN3		-		-	2
CLSTN1		+		+	1
DDC		+	+		1
DPYSL3		+	+		1
ECEL1		+	+		0
EPB41L3		+		+	0
EPHA5	+	+			1
EPN2		+		+	0
FYN			+	+	1
GNB1		+	+		1
HIVEP2		+		+	1
INPP1	+			+	1
MAP7	+	+			1
MAPT		+	+		1
MCM2		-		-	0
MRPL3		-		-	1
MYCN	-	-	-		4
NCAN		-		-	0
NME1	-	-			2
NRCAM		+		+	2
NTRK1		+	+	+	4
ODC1	-			-	1
PAICS		-		-	1
PLAGL1	+	+			1
PMP22		+		+	1
PRKACB		+		+	2
PRKCZ		+		+	1
PTN		+		+	1
PTPRN2		+	+		0
SCG2		+		+	1
SLC25A5		-		-	1
SNAPC1		-		-	0
TYMS		-		-	1
ULK2		+		+	0
WSB1	+	+			4
