Gene symbol	Description (NCBI Gene)	N-fold	P	Functional category
CXCL11	Chemokine (C-X-C motif) ligand 11	–4.9	0.017	T-cell chemotaxis
CXCL10	Chemokine (C-X-C motif) ligand 10	–3.3	0.017	T-cell chemotaxis
CCL5	Chemokine (C-C motif) ligand 5	–2.5	0.016	T-cell chemotaxis
CXCL9	Chemokine (C-X-C motif) ligand 9	–2.0	0.03	T-cell chemotaxis
FCN1	Ficolin (collagen/fibrinogen domain containing) 1	–2.5	0.021	Adhesion
ITGAL	Integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	–2.5	0.029	Adhesion
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	–2.2	0.017	Adhesion
LST1	Leukocyte specific transcript 1	–2.0	0.009	Adhesion
OLR1	Oxidized low density lipoprotein (lectin-like) receptor 1	–2.0	0.017	Adhesion
STAT1	Signal transducer and activator of transcription 1, 91 kDa	–3.4	0.023	Apoptosis
DNASE1L3	Deoxyribonuclease I-like 3	–2.6	0.019	Apoptosis
TNFSF10	Tumor necrosis factor (ligand) superfamily, member 10	–2.2	0.038	Apoptosis
PEA15	Phosphoprotein enriched in astrocytes 15 (antiapoptosis)	–2.1	0.005	Apoptosis
CST7	Cystatin F (leukocystatin)	–2.1†	0.029	Apoptosis
PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	–2.9	0.006	Oxidative functions
SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast)	–2.4	0.018	Oxidative functions
CYBB	Cytochrome b-245, beta polypeptide (chronic granulomatous disease), component NAPDH oxidase	–2.0	0.023	Oxidative functions
GBP1	Guanylate binding protein 1, interferon-inducible, 67 kDa	–2.6	0.012	Genes up-regulated by IFN?
IFITM1	Interferon induced transmembrane protein 1 (9–27)	–2.1	0.04	Genes up-regulated by IFN?
WARS	Tryptophanyl-tRNA synthetase	–2.1	0.017	Genes up-regulated by IFN?
