GeneID	score	FDR	fold.chg	Description
207847_s_at	-61.67	0.00093	3.78	MUC1 : mucin 1, transmembrane
202436_s_at	-51.79	0.00093	5.48	CYP1B1 : cytochrome P450, family 1, subfamily B, polypeptide 1
202017_at	-48.4	0.00093	2.06	EPHX1 : epoxide hydrolase 1, microsomal (xenobiotic)
217478_s_at	-44	0.00093	3.88	HLA-DMA : major histocompatibility complex, class II, DM alpha
204542_at	-43.79	0.00093	2.59	ST6GALNAC2 : ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
214433_s_at	-43.65	0.00093	2.56	SELENBP1 : selenium binding protein 1 /// selenium binding protein 1
201416_at	-42.6	0.00093	2.58	SOX4 : SRY (sex determining region Y)-box 4
207076_s_at	-42.42	0.00093	2.89	ASS : argininosuccinate synthetase
205792_at	-41.41	0.00093	6.35	WISP2 : WNT1 inducible signaling pathway protein 2
206110_at	-40.53	0.00093	4.61	HIST1H3H : histone 1, H3h
215071_s_at	-40.47	0.00093	3.1	HIST1H2AC : histone 1, H2ac
209806_at	-40.02	0.00093	2.18	HIST1H2BK : histone 1, H2bk
204638_at	-39.87	0.00093	2.48	ACP5 : acid phosphatase 5, tartrate resistant
214290_s_at	-39.54	0.00093	3.08	HIST2H2AA : histone 2, H2aa
212899_at	-39.41	0.00093	2.28	CDC2L6 : cell division cycle 2-like 6 (CDK8-like)
217783_s_at	-37.57	0.00093	2.6	YPEL5 : yippee-like 5 (Drosophila)
209911_x_at	-36.72	0.00093	2.99	HIST1H2BD : histone 1, H2bd
200743_s_at	-36.7	0.00093	2.05	TPP1 : tripeptidyl peptidase I
209619_at	-36.59	0.00093	3.59	CD74 : CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
218280_x_at	-36.33	0.00093	2.93	HIST2H2AA : histone 2, H2aa
213693_s_at	-35.92	0.00093	3.5	MUC1 : Mucin 1, transmembrane
215001_s_at	-33.93	0.00093	3.18	GLUL : glutamate-ammonia ligase (glutamine synthase)
200678_x_at	-33.84	0.00093	2.17	GRN : granulin
208490_x_at	-33.81	0.00093	2.16	HIST1H2BF : histone 1, H2bf
203074_at	-33.79	0.00093	3.03	ANXA8 : annexin A8
211695_x_at	-32.82	0.00093	2.95	MUC1 : mucin 1, transmembrane /// mucin 1, transmembrane
202364_at	-32.11	0.00093	2.04	MXI1 : MAX interactor 1 /// MAX interactor 1
39248_at	-31.54	0.00093	3.27	AQP3 : aquaporin 3
212336_at	-31.43	0.00093	2.33	EPB41L1 : erythrocyte membrane protein band 4.1-like 1
207761_s_at	-31.12	0.00093	5.45	DKFZP586A0522 : DKFZP586A0522 protein
201417_at	-30.9	0.00093	2.66	SOX4 : SRY (sex determining region Y)-box 4
213069_at	-30.85	0.00093	2.76	HEG : HEG homolog 1 (zebrafish)
212151_at	-30.35	0.00093	2.05	PBX1 : Pre-B-cell leukemia transcription factor 1
202659_at	-30.03	0.00093	2.39	PSMB10 : proteasome (prosome, macropain) subunit, beta type, 10
216041_x_at	-29.88	0.00093	2.22	GRN : granulin
209738_x_at	-29.64	0.00093	2.55	PSG6 : pregnancy specific beta-1-glycoprotein 6
218627_at	-29.38	0.00093	2.19	FLJ11259 : hypothetical protein FLJ11259
212259_s_at	-29.27	0.00093	3.26	PBXIP1 : pre-B-cell leukemia transcription factor interacting protein 1
202295_s_at	-28.92	0.00093	2.59	CTSH : cathepsin H
201141_at	-28.76	0.00093	3.51	GPNMB : glycoprotein (transmembrane) nmb
208191_x_at	-28.45	0.00093	2.97	PSG4 : pregnancy specific beta-1-glycoprotein 4
214177_s_at	-28.35	0.00093	2.86	PBXIP1 : pre-B-cell leukemia transcription factor interacting protein 1
207808_s_at	-27.87	0.00093	2.19	PROS1 : protein S (alpha)
206561_s_at	-27.86	0.00093	3.76	AKR1B10 : aldo-keto reductase family 1, member B10 (aldose reductase)
201941_at	-27.72	0.00093	2.07	CPD : carboxypeptidase D
218285_s_at	-26.75	0.00093	2.3	DHRS6 : dehydrogenase/reductase (SDR family) member 6
222016_s_at	-26.28	0.00093	5.77	ZNF323 : zinc finger protein 323
217967_s_at	-25.6	0.00093	3.14	C1orf24 : chromosome 1 open reading frame 24
203962_s_at	-25.3	0.00093	2.84	NEBL : nebulette
212339_at	-25.24	0.00093	2.63	EPB41L1 : erythrocyte membrane protein band 4.1-like 1
218858_at	-25.1	0.00093	2.44	DEPDC6 : DEP domain containing 6
208579_x_at	-24.78	0.00093	2.57	H2BFS : H2B histone family, member S
59697_at	-24.19	0.00093	2.11	RAB15 : RAB15, member RAS onocogene family
221810_at	-24.04	0.00093	2.16	RAB15 : RAB15, member RAS onocogene family
203453_at	-24.04	0.00093	2.56	SCNN1A : sodium channel, nonvoltage-gated 1 alpha
35148_at	-23.98	0.00093	2.7	TJP3 : tight junction protein 3 (zona occludens 3)
218319_at	-23.69	0.00093	3.96	PELI1 : pellino homolog 1 (Drosophila)
207826_s_at	-23.58	0.00093	2.08	ID3 : inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
201963_at	-23.45	0.00093	2.16	ACSL1 : acyl-CoA synthetase long-chain family member 1
212848_s_at	-22.92	0.00093	2.38	C9orf3 : chromosome 9 open reading frame 3
201348_at	-22.83	0.00093	3.1	GPX3 : glutathione peroxidase 3 (plasma)
212148_at	-22.8	0.00093	2.38	PBX1 : Pre-B-cell leukemia transcription factor 1
209682_at	-22.43	0.00093	3.14	CBLB : Cas-Br-M (murine) ecotropic retroviral transforming sequence b
221756_at	-22.36	0.00093	3.21	MGC17330 : HGFL gene /// HGFL gene
214211_at	-22.22	0.00093	2.2	FTH1 : ferritin, heavy polypeptide 1
202743_at	-22.08	0.00093	2.13	PIK3R3 : phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
203407_at	-22.07	0.00093	2.29	PPL : periplakin
211284_s_at	-22.05	0.00093	2.26	GRN : granulin
218581_at	-21.91	0.00093	2.19	ABHD4 : abhydrolase domain containing 4
222067_x_at	-21.62	0.00093	2.37	HIST1H2BD : histone 1, H2bd
221985_at	-21.59	0.00093	3.66	DRE1 : DRE1 protein
202341_s_at	-21.38	0.00093	2.23	TRIM2 : tripartite motif-containing 2
202708_s_at	-21.26	0.00093	2.68	HIST2H2BE : histone 2, H2be
209917_s_at	-20.77	0.00093	2.03	TP53AP1 : TP53 activated protein 1
204497_at	-20.5	0.00093	2.01	ADCY9 : adenylate cyclase 9
202437_s_at	-20.38	0.00093	5.38	CYP1B1 : cytochrome P450, family 1, subfamily B, polypeptide 1
209216_at	-19.66	0.00093	2.02	WDR45 : WD repeat domain 45
218729_at	-19.13	0.00093	2.3	LXN : latexin
202435_s_at	-18.97	0.00093	5.07	CYP1B1 : cytochrome P450, family 1, subfamily B, polypeptide 1
40093_at	-18.94	0.00093	2.15	LU : Lutheran blood group (Auberger b antigen included)
221245_s_at	-18.84	0.00093	2.14	C2orf31 : chromosome 2 open reading frame 31 /// chromosome 2 open reading frame 31
202342_s_at	-18.76	0.00093	2.5	TRIM2 : tripartite motif-containing 2
207605_x_at	-18.44	0.00093	2.03	ZNF117 : zinc finger protein 117 (HPF9)
203140_at	-18.27	0.00093	2.33	BCL6 : B-cell CLL/lymphoma 6 (zinc finger protein 51) /// B-cell CLL/lymphoma 6 (zinc finger protein 51)
202731_at	-18.24	0.00093	2.07	PDCD4 : programmed cell death 4 (neoplastic transformation inhibitor)
212327_at	-18.02	0.00093	2.3	KIAA1102 : KIAA1102 protein
209594_x_at	-17.93	0.00093	2.91	PSG9 : pregnancy specific beta-1-glycoprotein 9
209230_s_at	-17.63	0.00093	3.03	P8 : p8 protein (candidate of metastasis 1)
208763_s_at	-17.34	0.00093	2.09	TSC22D3 : TSC22 domain family 3
