symbol	hNCC  tpm	HES3  tpm	HES4 tpm
AFF1	20	15	49
ARNT2	40	5	10
ATF3	20	5	10
ATF4	257	19	273
ATF7	20	5	10
ATRX	40	5	5
BRD8	40	24	5
BTAF1	20	5	5
BTG2	20	15	5
CEBPB	40	19	19
CNOT7	59	78	5
CREB1	20	5	5
CREM	20	15	5
CUTL1	20	5	5
DRAP1	257	112	73
E2F1	40	10	5
E2F3	40	29	5
E2F4	20	5	5
E2F5	20	5	5
EGR1	158	49	5
ELF2	20	24	5
ELK1	20	39	39
ELK3	20	5	15
EP300	20	19	19
ERF	139	83	5
ETS1	337	5	15
ETS2	20	29	15
ETV1	20	5	10
ETV6	40	5	5
FOXD3	40	5	10
FOXK2	40	5	15
FOXM1	20	58	5
FOXP1	20	5	5
FOXP4	59	5	487
FUBP1	20	5	5
GABPA	20	29	29
GLI2	20	19	15
GLI3	99	5	5
GTF2I	178	5	5
HCFC1	40	19	34
HDAC1	20	5	39
HDAC2	40	29	5
HES6	416	44	29
HIRA	99	10	24
HSF1	20	34	5
JUNB	20	5	5
JUND	99	68	24
KLF7	40	5	15
LMO4	20	5	10
MBD1	20	19	5
MDS1	20	10	10
MEF2A	20	5	5
MEF2B	20	15	5
MEF2D	20	10	5
MEIS2	20	5	15
MNT	20	5	19
MSX1	139	44	15
MSX2	20	5	5
MTA1	20	170	5
MTF1	20	5	5
MYCN	20	5	5
NFAT5	20	5	5
NFKB2	20	5	10
NFX1	20	5	5
NFYA	20	10	5
NFYC	20	10	15
NR1D2	20	5	5
NR1H2	20	34	19
NR6A1	20	5	5
PA2G4	20	5	15
PAX3	20	5	10
PAX6	40	10	10
PBX1	20	5	5
PCGF2	20	5	15
PHF5A	40	10	5
PITX2	20	10	5
PML	20	15	5
PRDM2	20	5	10
PTTG1	99	5	5
RARA	20	5	5
RXRA	20	5	5
RXRB	40	24	5
SALL1	79	34	54
SALL2	20	5	58
SATB1	40	15	15
SIX5	20	44	58
SMAD1	20	5	10
SMAD3	99	5	5
SMAD4	20	5	19
SMAD5	20	19	5
SOX2	119	175	19
SOX21	20	24	136
SRF	40	10	10
STAT1	59	24	5
STAT2	257	122	93
STAT3	20	5	5
STAT6	20	5	10
TAF11	20	5	102
TAF6L	20	15	19
TAF7	40	10	73
TBX3	20	5	5
TCEA1	158	5	5
TCEA2	40	15	24
TCF19	20	5	5
TCFL5	40	5	10
TEAD1	20	5	5
TEAD2	40	44	5
TEAD3	40	721	195
TEAD4	20	73	10
TGIF2	40	54	49
VDR	40	15	39
XBP1	20	5	5
ZNF24	20	10	5
