Unigene	Signal Log Ratio	Gene Symbol	Title
Hs.104636	2	TULP2	tubby like protein 2
Hs.108080	2	CSRP1	cysteine and glycine-rich protein 1
Hs.323878	2	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
Hs.172816	2	NRG1	neuregulin 1
Hs.376206	2	KLF4	Kruppel-like factor 4 (gut)
Hs.384598	2	SERPING1	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)
Hs.123159	2	SPAG4	sperm associated antigen 4
Hs.132380	2	FAXDC1	fatty acid hydroxylase domain containing 1
Hs.9003	2	FLJ13868	hypothetical protein FLJ13868
Hs.80409	2	GADD45A	growth arrest and DNA-damage-inducible, alpha
Hs.284217	2	SDCCAG33	serologically defined colon cancer antigen 33
Hs.337774	2	ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2
Hs.51133	2	PTK6	PTK6 protein tyrosine kinase 6 Homo sapiens transcribed sequence with strong similarity to protein sp:P07478 (H.sapiens)
Hs.447753	2	---	TRY2_HUMAN Trypsin II precursor (Anionic trypsinogen)
Hs.460889	2	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
Hs.47313	2	KIAA0258	KIAA0258 gene product
Hs.31210	2	BCL3	B-cell CLL/lymphoma 3
Hs.94392	2.1	LOC51157	LDL induced EC protein
Hs.146233	2.1	NEURL	neuralized-like (Drosophila)
Hs.376792	2.1	CDH4	cadherin 4, type 1, R-cadherin (retinal)
Hs.296638	2.1	PLAB	prostate differentiation factor
Hs.370771	2.1	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
Hs.348802	2.1	NMA	putative transmembrane protein
Hs.100194	2.1	ALOX5AP	arachidonate 5-lipoxygenase-activating protein
Hs.301664	2.1	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2
Hs.438862	2.1	EPS8L1	EPS8-like 1
Hs.83169	2.2	MMP1	matrix metalloproteinase 1 (interstitial collagenase)
Hs.154654	2.2	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
Hs.86947	2.2	ADAM8	a disintegrin and metalloproteinase domain 8
Hs.375129	2.2	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
Hs.2030	2.2	THBD	thrombomodulin
Hs.512648	2.2	C6orf59	chromosome 6 open reading frame 59
Hs.506947	2.2	---	Homo sapiens transcribed sequence with strong similarity to protein ref:NP_073729.1 (H.sapiens) microtubule-associated proteins 1A/1B light chain 3 [Homo sapiens]
Hs.73793	2.2	VEGF	vascular endothelial growth factor
Hs.435699	2.2	PRSS3	protease, serine, 3 (mesotrypsin)
Hs.437647	2.2	FLJ10415	hypothetical protein FLJ10415
Hs.196384	2.3	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
Hs.400876	2.3	---	Homo sapiens cDNA clone IMAGE:3880075, partial cds
Hs.81008	2.3	FLNB	filamin B, beta (actin binding protein 278)
Hs.103915	2.3	KIAA0346	KIAA0346 protein
Hs.323878	2.3	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
Hs.212892	2.3	PRLR	prolactin receptor
Hs.46679	2.3	C14orf34	chromosome 14 open reading frame 34
Hs.250632	2.3	FLJ11078	hypothetical protein FLJ11078
Hs.799	2.3	DTR	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)
Hs.127826	2.3	EPOR	erythropoietin receptor
Hs.356061	2.3	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
Hs.65135	2.3	KIAA0913	KIAA0913 protein
Hs.75716	2.3	SERPINB2	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
Hs.276916	2.3	NR1D1	nuclear receptor subfamily 1, group D, member 1
Hs.217754	2.3	FLJ22202	hypothetical protein FLJ22202
Hs.79432	2.4	FBN2	fibrillin 2 (congenital contractural arachnodactyly)
Hs.73853	2.4	BMP2	bone morphogenetic protein 2
Hs.118695	2.4	KCNG1	potassium voltage-gated channel, subfamily G, member 1
Hs.155651	2.4	FOXA2	forkhead box A2
Hs.172851	2.4	ARG2	arginase, type II
Hs.135183	2.4	CENTA1	centaurin, alpha 1
Hs.41502	2.4	C14orf139	chromosome 14 open reading frame 139
Hs.77768	2.4	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2
Hs.103527	2.4	SH2D2A	SH2 domain protein 2A
Hs.799	2.5	DTR	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)
Hs.6846	2.5	LPPR2	lipid phosphate phosphatase-related protein type 2
Hs.126256	2.5	IL1B	interleukin 1, beta
Hs.246381	2.5	CD68	CD68 antigen
Hs.73793	2.5	VEGF	vascular endothelial growth factor
Hs.5637	2.5	CBX4	chromobox homolog 4 (Pc class homolog, Drosophila)
Hs.110571	2.5	GADD45B	growth arrest and DNA-damage-inducible, beta
Hs.512714	2.5	WNT7B	wingless-type MMTV integration site family, member 7B
Hs.126256	2.5	IL1B	interleukin 1, beta
Hs.232770	2.5	ALOXE3	arachidonate lipoxygenase 3
Hs.77575	2.5	ALG12	dolichyl-p-mannose:Man7GlcNAc2-PP-dolichyl mannosyltransferase
Hs.128071	2.6	FLJ21302	hypothetical protein FLJ21302
Hs.446644	2.6	PSG1	pregnancy specific beta-1-glycoprotein 1
Hs.169238	2.7	FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included)
Hs.436943	2.7	SOCS3	suppressor of cytokine signaling 3
Hs.13011	2.7	GTPBP2	GTP binding protein 2
