Symbol	Cytoband	SWS	P-value
DUSP4	8p12-p11	-6.7	2.40E-11
EGFR	7p12	6.4	1.40E-10
PRDM4	12q23-q24.1	-6.4	1.80E-10
TXNRD1	12q23-q24.1	-6	1.50E-09
GTF2E2	8p21-p12	-6	1.60E-09
GPR177	1p31.3	6	1.80E-09
MGC13098	7p13	6	2.00E-09
GALNT10	5q33.2	5.9	3.50E-09
LRRC31	3q26.2	5.8	5.00E-09
KIAA0319L	1p34.2	5.8	7.90E-09
MKL2	16p13.12	5.8	8.80E-09
RAD51L1	14q23-q24.2	5.7	1.20E-08
KIAA0495	1p36.32	5.7	1.30E-08
RHCE	1p36.11	5.7	1.40E-08
HIP1	7q11.23	5.6	1.70E-08
GPR172B	17p13.2	5.6	2.20E-08
TNFRSF10B	8p22-p21	-5.6	2.50E-08
C16orf58	16p11.2	5.5	3.20E-08
RNF40	16p11.2-p11.1	5.5	3.20E-08
MYST1	16p11.2	5.5	4.00E-08
ADCY9	16p13.3	5.4	6.10E-08
LRRC47	1p36.32	5.4	6.80E-08
KYNU	2q22.2	-5.4	7.50E-08
RFK	9q21.13	-5.4	8.20E-08
HLA-DMA	6p21.3	5.3	9.70E-08
