GeneID	score	FDR	fold.chg	Description
204420_at	27.28	0.00093	10.58	FOSL1 : FOS-like antigen 1
218585_s_at	28.39	0.00093	9.15	RAMP : RA-regulated nuclear matrix-associated protein
208892_s_at	21.06	0.00093	8.7	DUSP6 : dual specificity phosphatase 6
203967_at	34.23	0.00093	8.62	CDC6 : CDC6 cell division cycle 6 homolog (S. cerevisiae)
205364_at	55.64	0.00093	7.75	ACOX2 : acyl-Coenzyme A oxidase 2, branched chain
208891_at	14.92	0.00093	7.29	DUSP6 : dual specificity phosphatase 6
209803_s_at	27.27	0.00093	7.01	PHLDA2 : pleckstrin homology-like domain, family A, member 2
220651_s_at	37.04	0.00093	6.93	MCM10 : MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
203968_s_at	27.12	0.00093	6.81	CDC6 : CDC6 cell division cycle 6 homolog (S. cerevisiae)
201890_at	35.69	0.00093	6.72	RRM2 : ribonucleotide reductase M2 polypeptide
203939_at	31.42	0.00093	6.01	NT5E : 5-nucleotidase, ecto (CD73)
209773_s_at	38.41	0.00093	5.97	RRM2 : ribonucleotide reductase M2 polypeptide
204014_at	26.53	0.00093	5.67	DUSP4 : dual specificity phosphatase 4
209891_at	23.55	0.00093	5.37	SPBC25 : spindle pole body component 25 homolog (S. cerevisiae)
221521_s_at	34.97	0.00093	5.33	Pfs2 : DNA replication complex GINS protein PSF2
212142_at	31.16	0.00093	5.31	MCM4 : MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
218782_s_at	38.19	0.00093	5.3	ATAD2 : ATPase family, AAA domain containing 2
205034_at	22.49	0.00093	5.28	CCNE2 : cyclin E2
221911_at	21.57	0.00093	5.26	ETV1 /// LOC221810 : ets variant gene 1 /// hypothetical protein LOC221810
201202_at	30.6	0.00093	5.06	PCNA : proliferating cell nuclear antigen
203349_s_at	27.67	0.00093	5.04	ETV5 : ets variant gene 5 (ets-related molecule)
208712_at	37.63	0.00093	4.86	CCND1 : cyclin D1 (PRAD1: parathyroid adenomatosis 1)
205239_at	12.11	0.00093	4.85	AREG : amphiregulin (schwannoma-derived growth factor)
205909_at	38.44	0.00093	4.84	POLE2 : polymerase (DNA directed), epsilon 2 (p59 subunit)
217996_at	27.08	0.00093	4.72	PHLDA1 : pleckstrin homology-like domain, family A, member 1
205767_at	16.28	0.00093	4.71	EREG : epiregulin
206102_at	29.52	0.00093	4.59	KIAA0186 : KIAA0186 gene product
204126_s_at	39.67	0.00093	4.59	CDC45L : CDC45 cell division cycle 45-like (S. cerevisiae)
217997_at	28.14	0.00093	4.58	PHLDA1 : pleckstrin homology-like domain, family A, member 1
222037_at	26.93	0.00093	4.54	MCM4 : MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
219493_at	21.98	0.00093	4.51	SHCBP1 : SHC SH2-domain binding protein 1
203362_s_at	20.79	0.00093	4.5	MAD2L1 : MAD2 mitotic arrest deficient-like 1 (yeast)
222036_s_at	26.83	0.00093	4.35	MCM4 : MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
201555_at	36.74	0.00093	4.33	MCM3 : MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
208711_s_at	30.94	0.00093	4.32	CCND1 : cyclin D1 (PRAD1: parathyroid adenomatosis 1)
204128_s_at	25.8	0.00093	4.3	RFC3 : replication factor C (activator 1) 3, 38kDa
219000_s_at	18.34	0.00093	4.29	DCC1 : defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
216237_s_at	34.42	0.00093	4.26	MCM5 : MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
202589_at	36.17	0.00093	4.26	TYMS : thymidylate synthetase
205016_at	28.71	0.00093	4.17	TGFA : transforming growth factor, alpha
204767_s_at	28.56	0.00093	4.07	FEN1 : flap structure-specific endonuclease 1
203418_at	33.5	0.00093	4.06	CCNA2 : cyclin A2
218883_s_at	37.59	0.00093	4.05	MLF1IP : MLF1 interacting protein
204768_s_at	28.1	0.00093	4.02	FEN1 : flap structure-specific endonuclease 1
204033_at	32.71	0.00093	4.02	TRIP13 : thyroid hormone receptor interactor 13
204127_at	23.01	0.00093	3.99	RFC3 : replication factor C (activator 1) 3, 38kDa
218000_s_at	25.54	0.00093	3.9	PHLDA1 : pleckstrin homology-like domain, family A, member 1
217999_s_at	20.26	0.00093	3.88	--- : CDNA clone IMAGE:5531727
219148_at	24.71	0.00093	3.88	PBK : PDZ binding kinase
220085_at	30.09	0.00093	3.88	HELLS : helicase, lymphoid-specific
212141_at	22.64	0.00093	3.86	MCM4 : MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
218115_at	35.71	0.00093	3.86	ASF1B : ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
823_at	29.33	0.00093	3.85	CX3CL1 : chemokine (C-X3-C motif) ligand 1
209464_at	40.27	0.00093	3.8	AURKB : aurora kinase B
201930_at	39.51	0.00093	3.79	MCM6 : MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)
213226_at	19.22	0.00093	3.75	CCNA2 : Cyclin A2
213865_at	25.92	0.00093	3.75	DCBLD2 : discoidin, CUB and LCCL domain containing 2
204146_at	22.29	0.00093	3.74	RAD51AP1 : RAD51 associated protein 1
204603_at	34.95	0.00093	3.74	EXO1 : exonuclease 1
203214_x_at	49.24	0.00093	3.72	CDC2 : cell division cycle 2, G1 to S and G2 to M
218349_s_at	29.5	0.00093	3.7	FLJ10036 : Zwilch
219105_x_at	28.84	0.00093	3.68	ORC6L : origin recognition complex, subunit 6 homolog-like (yeast)
210559_s_at	49.05	0.00093	3.67	CDC2 : cell division cycle 2, G1 to S and G2 to M
218663_at	19.55	0.00093	3.66	HCAP-G : chromosome condensation protein G
204709_s_at	17.1	0.00093	3.63	KIF23 : kinesin family member 23
203213_at	31.86	0.00093	3.63	CDC2 : Cell division cycle 2, G1 to S and G2 to M
204531_s_at	37.9	0.00093	3.58	BRCA1 : breast cancer 1, early onset
219990_at	31.06	0.00093	3.55	FLJ23311 : FLJ23311 protein
218726_at	36.85	0.00093	3.55	DKFZp762E1312 : hypothetical protein DKFZp762E1312
201755_at	32.26	0.00093	3.53	MCM5 : MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
203856_at	26.84	0.00093	3.51	VRK1 : vaccinia related kinase 1
203432_at	26.99	0.00093	3.51	TMPO : thymopoietin
201714_at	36.49	0.00093	3.48	TUBG1 : tubulin, gamma 1
218662_s_at	20.7	0.00093	3.47	HCAP-G : chromosome condensation protein G
222118_at	25.28	0.00093	3.47	BM039 : uncharacterized bone marrow protein BM039
215177_s_at	34.46	0.00093	3.47	ITGA6 : integrin, alpha 6
206924_at	20.43	0.00093	3.46	IL11 : interleukin 11
218350_s_at	25.12	0.00093	3.46	GMNN : geminin, DNA replication inhibitor
204693_at	30.32	0.00093	3.46	CDC42EP1 : CDC42 effector protein (Rho GTPase binding) 1
203348_s_at	16.47	0.00093	3.43	ETV5 : ets variant gene 5 (ets-related molecule)
202533_s_at	23.06	0.00093	3.38	DHFR : dihydrofolate reductase
219258_at	20.41	0.00093	3.36	FLJ20516 : timeless-interacting protein
201801_s_at	17.98	0.00093	3.35	SLC29A1 : solute carrier family 29 (nucleoside transporters), member 1
219494_at	18.82	0.00093	3.32	RAD54B : RAD54 homolog B (S. cerevisiae)
205085_at	19.12	0.00093	3.32	ORC1L : origin recognition complex, subunit 1-like (yeast)
204444_at	19.95	0.00093	3.29	KIF11 : kinesin family member 11
219911_s_at	27.79	0.00093	3.28	SLCO4A1 : solute carrier organic anion transporter family, member 4A1
213338_at	24.96	0.00093	3.27	RIS1 : Ras-induced senescence 1
209754_s_at	29.89	0.00093	3.26	TMPO : thymopoietin
212458_at	39.1	0.00093	3.24	SPRED2 : sprouty-related, EVH1 domain containing 2
205967_at	25.18	0.00093	3.23	HIST1H4C : histone 1, H4c
204162_at	20.32	0.00093	3.22	KNTC2 : kinetochore associated 2
204962_s_at	31.08	0.00093	3.22	CENPA : centromere protein A, 17kDa
204827_s_at	26	0.00093	3.21	CCNF : cyclin F
204023_at	29.46	0.00093	3.21	RFC4 : replication factor C (activator 1) 4, 37kDa
215509_s_at	30.65	0.00093	3.2	BUB1 : BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
202613_at	31.39	0.00093	3.2	CTPS : CTP synthase
204441_s_at	38.78	0.00093	3.18	POLA2 : polymerase (DNA directed), alpha 2 (70kD subunit)
203976_s_at	26.77	0.00093	3.16	CHAF1A : chromatin assembly factor 1, subunit A (p150)
205345_at	31.92	0.00093	3.16	BARD1 : BRCA1 associated RING domain 1
210983_s_at	32.05	0.00093	3.14	MCM7 : MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)
206467_x_at	24.48	0.00093	3.12	TNFRSF6B /// RTEL1 : tumor necrosis factor receptor superfamily, member 6b, decoy /// regulator of telomere elongation helicase 1
205339_at	23.05	0.00093	3.11	SIL : TAL1 (SCL) interrupting locus
208079_s_at	29.12	0.00093	3.09	STK6 : serine/threonine kinase 6
