GeneBank Accession 	Gene 	Symbol 	Normal Mean 	Tumor Mean 	Fold Change 	P value 	Functional Category
X16323	hepatocyte growth factor	HGF	11	116	10.77	0.003305	Cell Growth/Cycle 
AB017642	oxidative-stress responsive 1	OSR1	58	428	7.41	0.000819	Cell Growth/Cycle 
AL078641	phorbolin-like protein	APOBEC3G	15	92	6.21	0.000158	Cell Growth/Cycle 
L17128	gamma-glutamyl carboxylase	GGCX	64	346	5.37	0.000018	Cell Growth/Cycle 
D21089	xeroderma pigmentosum, complementation group C	XPC	292	1278	4.38	0.000284	Cell Growth/Cycle 
AL050223	vesicle-associated membrane protein 2	VAMP2	360	1533	4.26	0.002196	Cell Growth/Cycle 
D38145	prostaglandin I2 synthase	PTGIS	29	121	4.09	0.000448	Cell Growth/Cycle 
AF092563	structural maintenance of chromosomes 2-like 1	SMC2L1	58	185	3.21	0.002352	Cell Growth/Cycle 
AF006087	actin related protein 2/3 complex, subunit 4	ARPC4	292	865	2.96	0.000565	Cell Growth/Cycle 
AC_004537	inhibitor of growth family, member 3	ING3	46	114	2.47	0.003976	Cell Growth/Cycle 
AF013168	tuberous sclerosis 1	TSC1	35	86	2.45	0.001232	Cell Growth/Cycle 
AJ236876	ADP-ribosyltransferase polymerase)-like 2	ADPRTL2	32	76	2.34	0.003874	Cell Growth/Cycle 
D38435	postmeiotic segregation increased 2-like	PMS2L1	74	193	2.6	0.002976	Cell Death/Apoptosis 
M61906	phosphoinositide-3-kinase, regulatory subunit	PIK3R1	43	104	2.4	0.004387	Cell Death/Apoptosis 
U26710	Cas-Br-M ectropic retroviral transforming sequence b	CBLB	21	177	8.4	0.000082	Signal Transduction 
AB010414	guanine nucleotide binding protein, gamma 7	GNG7	59	334	5.68	0.003835	Signal Transduction 
U59913	mothers against decapentaplegic homolog 5	MADH5	14	73	5.22	0.004731	Signal Transduction 
AB004922	Homo sapiens gene for Smad 3	MADH3	93	443	4.76	0.001024	Signal Transduction 
L11672	zinc finger protein 91	ZNF91	428	2007	4.69	0.000376	Signal Transduction 
D14838	fibroblast growth factor 9	FGF9	27	108	3.97	0.000752	Signal Transduction 
W27899	member RAS oncogene family	RAB6B	68	232	3.43	0.00501	Signal Transduction 
U48251	protein kinase C binding protein 1	PRKCBP1	40	127	3.18	0.001999	Signal Transduction 
U90268	cerebral cavernous malformations 1	CCM1	53	151	2.87	0.004392	Signal Transduction 
AL050275	cysteine rich with EGF-like domains	CRELD1	195	543	2.79	0.000828	Signal Transduction 
AB014600	SIN3 homolog B, transcriptional regulator	SIN3B	177	425	2.39	0.001924	Signal Transduction 
M27691	cAMP responsive element binding protein 1	CREB1	107	229	2.15	0.003559	Signal Transduction 
U85245	phosphatidylinositol-4-phosphate 5-kinase, type II, beta	PIP5K2B	244	518	2.12	0.000441	Signal Transduction 
W25793	ring finger protein 3	RNF3	163	326	2	0.004947	Signal Transduction 
D50912	RNA binding motif protein 10	RBM10	96	443	4.6	0.001925	Nucleic Acid Binding 
U41315	makorin, ring finger protein, 4	MKRN4	404	808	2	0.000262	Nucleic Acid Binding 
X67155	kinesin-like 5	KIF23	64	368	5.76	0.001584	Ligand Binding 
AB028985	ATP-binding cassette, sub-family A, member 2	ABC1	65	262	4.04	0.001234	Ligand Binding 
Z48482	matrix metalloproteinase 15	MMP15	139	495	3.56	0.003946	Ligand Binding 
X13794	lactate dehydrogenase B	LDHB	396	1606	4.05	0.000845	Enzyme 
X15334	creatine kinase, brain	CKB	939	2083	2.22	0.002008	Enzyme 
X60708	dipeptidylpeptidase IV	DPP4	133	291	2.19	0.000697	Enzyme 
AC_004381	SA homolog	SAH	283	599	2.11	0.000168	Enzyme 
AF000416	exostoses-like 2	EXTL2	134	271	2.02	0.001314	Enzyme 
U48437	amyloid beta precursor-like protein 1	APLP1	851	2433	2.86	0.001043	Embryogenesis 
U66406	ephrin-B3	EFNB3	168	438	2.6	0.00309	Embryogenesis 
D50840	UDP-glucose ceramide glucosyltransferase	UGCG	85	211	2.5	0.002554	Embryogenesis 
L48215	hemoglobin, beta	HBB	12	2099	178.78	0.001299	Other/Unknown 
J00153	hemoglobin, alpha 1	HBA1	15	1249	82.25	0.001889	Other/Unknown 
U30521	P311 protein	C5orf13	157	453	2.88	0.001431	Other/Unknown 
AB011169	similar to S. cerevisiae SSM4	TEB4	140	300	2.15	0.00154	Other/Unknown 
AL031432	GCIP-interacting protein	P29	99	198	2	0.002036	Other/Unknown 
