Gene symbol	Description	Probeset	Mean intensities in samples with both A6 and B3 down	Mean intensities in samples with both A6 and B3 up	ParametricP
RABGAP1L	RAB GTPase activating protein 1-like	203020_at	357.1	792.6	<0.000001
B3GALT4	UDP-Ga1:?GlcNac ?-1,3-galactosyltransferase, polypeptide 4	210205_at	57.4	148.8	<0.000001
NA	MRMA full-length insert cDNA clone EUROIMAGE 2344436	232151_at	384.7	1111.7	0.000002
RUTBC3	RUN and TBC1 domain containing 3	203014_x_at	107.9	198.9	0.000002
GGT1	?-Glutamyltransferase 1	207131_x_at	190.9	530.2	0.000002
PHYH	Phytanoy I-CoA hydroxylase (Refsum disease)	203335_at	298.8	632.6	0.000002
TPM1	Tropomyosin 1 (?)	206116_s_al	378.2	933.3	0.000002
MGC14839	Similar to RIKEN cDNA 2310030G06 gene	238805_at	160.7	540.5	0.000003
P8	p8 protein (candidate of metastasis 1)	209230_s_at	340.7	1150.7	0.000004
USP18	Ubiquitin-specific peptidase 18	219211_at	105.3	276.3	0.000004
HLA-DQB1	MHC class II, DQ ? 1	209823_x_at	557.2	2023.4	0.000004
PPFIBP2	PTPRFinteracting protein, binding protein 2 (liprin ? 2)	212841_s_at	103.3	355.7	0.000004
MGC17330	HGFL gene	221756_at	125.8	331.6	0.000005
SCUBE2	Signal peptide, CUB domain, EGF-like 2	219197_s_at	83.8	325.7	0.000005
GPR160	G protein–coupled receptor 160	223423_at	878.8	2477.8	0.000006
PIP5K1B	Phosphatidylinositol-4-phosphate 5-kinase, type I, ?	205632_s_at	103.6	212.5	0.000007
MGC17299	Hypothetical protein MGC17299	225822_at	1238	3335.8	0.000012
NA	LOC440441	230388_s_at	313.6	496.2	0.000013
PLN	Phospholamban	204939_s_at	36.7	146.3	0.000013
GPNMB	Glycoprotein (transmembrane) nmb	201141_at	1141.9	2958.6	0.000013
COMP	Cartilage oligomeric matrix protein	205713_s_at	31.8	199.6	0.000013
13CDNA73	Hypothetical protein CGOO3	214319_at	41.8	116	0.000015
HLA-E	MHC class I, E	200904_at	575.2	1384.8	0.000017
NDRG2	NDRG family member 2	206453_s_at	184.9	432.4	0.000022
HNMT	Histamine N-methyltransferase	211732_x_at	115	263.1	0.000031
MRVI1	Murine retrovirus integration site 1 homologue	226047_at	190.5	640.5	0.000031
PAPSS2	3?-Phosphoadenosine 5?-phosphosulfate synthase 2	203058_s_at	162.2	304.9	0.000034
CEBPA	CCAAT/enhancer binding protein (C/EBP), ?	204039_at	127.5	418.2	0.000034
DCN	Decorin	211813_x_at	697.7	2510.1	0.000038
PIGR	Polymeric immunoglobulin receptor	226147_s_at	1972.9	20996.8	0.00004
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homologue, a vian)	201984_s_at	200.3	507	0.00004
HSD17B6	Hydroxysteroid (17-?) dehydrogenase 6	205700_at	50.4	407.4	0.000041
INSIG1	Insulin-induced gene 1	201626_at	200.6	348.1	0.000051
DPT	Dermatopontin	213071_at	31.1	132.2	0.000052
MYH11	Myosin, heavy polypeptide 11, smooth muscle	201497_x_at	88.6	620.7	0.000057
CLEC7A	C-type lectin domain family 7, member A	221698_s_at	119.6	307.8	0.000064
GGT2	?-Glutamyltransferase 2	215603_x_at	201.3	432.1	0.00007
TMEM51	Transmembrane protein 51	218815_s_at	155.8	285.4	0.000072
FBP1	Fructose-1,6-bisphosphatase 1	209696_at	413.8	1069.1	0.000077
GSDML	Gasdermin-like	219233_s_at	112.1	274.8	0.00008
TNFSF13/TNFSF12-TNFSF13	Tumor necrosis factor (ligand) superfamily, member 13/tumor necrosis factor (ligand) superfamily, member 12-member 13	210314_x_at	384	941.7	0.000094
C18orf1	Chromosome 18 open reading frame 1	207996_s_at	65.5	146.7	0.000115
SFRP4	Secreted frizzled-related protein 4	204052_s_at	69.5	192.8	0.000119
ACOT2	Acyl-CoA thioesterase 2	202982_s_at	196.8	304.4	0.000119
HMOX2	Heme oxygenase (decycling) 2	218120_s_at	194.9	383.3	0.000131
C22orf13	Chromosome 22 open reading frame 13	223039_at	963.6	1573.3	0.000134
TINF2	TERF1 (TRF1)-interacting nuclear factor 2	220052_s_at	154.1	253.5	0.000157
CLUL1	Clusterin-like 1 (retinal)	206556_at	34.1	61.9	0.000179
APOC1	Apolipoprotein C-I	213553_x_at	643.4	1334.1	0.000196
RNF128	Ring finger protein 128	219263_at	104.3	365.2	0.000207
DOCK8	Dedicator of cytokinesis 8	232843_s_at	211.6	541.1	0.000233
DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase completing protein 2)	203716_s_at	47.4	347.5	0.00027
PLUNC	Palate, lung, and nasal epithelium carcinoma–associated phosphoribosyl amino imidazole carboxylase, phosphoribosyl amino imidazole succinocarboxamide synthetase	220542_s_at	453.2	104.6	0.00016
PAICS	NA	201013_s_at	1069.7	486.3	0.000054
FXR1	Fragile X mental retardation, autosomal homologue 1	201637_s_at	1205.3	697.6	0.000051
STC1	Stanniocalcin 1	204595_s_at	337.2	150.4	0.000051
NME1	Non-metastatic cells 1, protein (NM23A) expressed in	201577_at	1670.8	980.2	0.00005
MXI1	MAX interactor 1	202364_at	681.9	389.5	0.000032
MGC14289	Similar to RIKEN cDNA 1200014N16 gene	228280_at	829.4	428.2	0.000028
CCT7	Chaperonin containing TCP1, subunit 7 (eta)	200812_at	1033.6	656.8	0.000025
PFN2	Profilin 2	204992_s_at	1311.6	493.7	0.000012
FLJ13089	Hypothetical protein FLJ13089	227245_at	602.9	342.7	0.000009
MYC	v-myc myelocytomatosis viral oncogene homologue (avian)	202431_s_at	294.5	69.5	0.000008
TOP1	Topoisomerase (DMA) I	208901_s_at	1246	667.9	0.000007
WDR12	WD repeat domain 12	218512_at	554.9	322	0.000005
