Gene Symbol	Gene Description	Fold Change	Biological Process
MMP7	matrix metalloproteinase 7	62.131	collagen catabolism
SUI1	putative translation initiation factor	22.672	regulation of translation, response to stress
DAP	death-associated protein	17.003	induction of apoptosis by extracellular signals
GPX2	glutathione peroxidase 2 (gastrointestinal)	15.338	response to oxidative stress
COL3A1	COL3A1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	14.812	phosphate transport, circulation
FN1	fibronectin 1	9.543	metabolism, acute-phase response, cell adhesion, response to wounding, cell
IGFBP7	insulin-like growth factor binding protein 7	9.239	negative regulation of cell proliferation, regulation of cell growth
COL5A2	collagen, type V, alpha 2	8.73	phosphate transport, circulation
SPARC	secreted protein, acidic, cysteine-rich	8.496	ossification
IGH@	immunoglobulin heavy constant gamma 2 (G2m	7.981	immune response
IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	7.473	immune response
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	7.443	regulation of cell cycle, regulation of transcription, negative regulation of transcription from Pol II promoter
MYADM	myeloid-associated differentiation marker	7.092	unknown
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	6.952	immune response
LUM	lumican	6.927	collagen fibril organization
C14orf154	chromosome 14 open reading frame 154	6.546	unknown
COL6A3	collagen, type VI, alpha 3	6.245	phosphate transport, cell adhesion
THY1	Thy-1 cell sureface antigen	5.769	unknown
C1S	complement component 1, s subcomponent	5.665	proteolysis and peptidolysis, complement activation, classical pathway
NR4A1	nuclear receptor subfamily 4, group A, member 1	5.496	signal transduction, transcription, regulation of transcription, DNA-dependent
ATF3	activating transcription factor 3	5.434	regulation of transcription, DNA-dependent
MEP1A	meprin A, alpha (PABA peptide hydrolase)	5.079	proteolysis and peptidolysis, Digestion
IGFBP3	insulin-like growth factor binding protein 3	5.051	regulation of cell growth, cell growth and/or maintenance, positive regulation of apoptosis
HLA-	major histocompatibility	4.626	immune response
IL1B	interleukin 1, beta (IL1B)	4.576	apoptosis, cell proliferation, cell-cell signaling, inflammatory response, negative regulation of cell proliferation, regulation of cell cycle, signal transduction
CHEAR	calcium homeostasis endoplasmic reticulum protein	4.573	regulation of transcription, DNA-dependent, nuclear mRNA splicing, via spliceosome
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	4.527	apoptosis, angiogenesis, development, cell adhesion, cell motility
SC65	synaptonemal complex protein SC65	4.519	synaptonemal complex formation
GPRC5B	G protein-coupled receptor, family C, group 5, member B	4.372	G-protein coupled receptor protein signaling pathway
MMP12	matrix metalloproteinase 12 (macrophage elastase)	4.329	cell motility, proteolysis and peptidolysis
IFITM3	interferon induced transmembrane protein 3	4.298	immune response
DUSP6	dual specificity phosphatase 6	4.259	regulation of cell cycle, inactive of MAPK, protein amino acid dephaosphorylation
PRG1	proteoglycan 1, secretory granule	4.201	unknown
PECAM1	platelet/endothelial cell adhesion molecule (CD31	4.195	signal transduction, cell motility, cell recognition
SERPING1	serine proteinase inhibitor, clade G, member 1,	4.134	circulation, complement activation, classical pathway
PROM1	prominin-like 1	4.033	visual perception
MMP9	matrix metalloproteinase 9	3.961	collagen catabolism
RNAS4	angiogenin, ribonuclease, RNase A family, 5	3.933	mRNA cleavage
TRIM31	tripartite motif-containing 31	3.869	protein ubiquitination
C4A	complement component 4A	3.743	complement activation, classical pathway, inflammatory response
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	3.742	anti-apoptosis, apoptosis, negative regulation of transcription
EVI1	Ecotropic viral integration site	3.732	development
IFITM1	interferon induced transmembrane protein 1 (9-27)	3.726	negative regulation of cell proliferation, regulation of cell cycle, responseto biotic
ANXA4	annexin A4	3.693	unknown
ACAA2	acetyl-Coenzyme A	3.651	fatty acid metabolism
HSPE1	heat shock 10kD protein 1	3.401	unknown
LAMA3	laminin, alpha 3	3.321	keratinocyto cell differentiation, cell adhesion, cell surface receptor linked signal transduction, epidermis development, regulation of cell adhesion, regulation of cell migration, regulation of embryonic
SOCS3	suppressor of cytokine signaling 3	3.286	intracellular signaling cascade, regulation of cell growth
IFI30	interferon, gamma-inducible	3.259	immune response
HLA-	major histocompatibility	3.16	immune response
PSMB9	proteasome subunit, beta type, 9	3.105	immune response, proteolysis and peptidolysis, ubiquitin-dependent protein
FMOD	fibromodulin	3.083	transforming growth factor beta receptor complex assembly
CASS	cathepsin S	3.022	immune response
SERPINE1	serine proteinase inhibitor, clade E	2.986	blood coagulation
RGS3	regulator of G-protein signalling 3	2.978	G-protein coupled receptor protein signaling pathway, inactivation of MAPK
UCP2	uncoupling protein 2	2.909	Mitochondrial transport,transport, proton transport
CD34	CD34 antigen	2.892	cell adhesion
GNB5	guanine nucleotide binding protein (G protein), beta 5	2.841	G-protein coupled receptor protein signaling pathway, signal transduction
TRIB2	tribbles homolog 2	2.836	protein amino acid phosphorylation
KIAA015	KIAA0152 gene product	2.836	unknown
DOC1	downregulated in ovarian	2.806	muscle development
ZNF593	zinc finger protein 593 promoter	2.764	negative regulation of transcription from Pol II
PIM2	pim-2 oncogene	2.753	protein amino acide phosphorylation
CTSH	cathepsin H	2.729	proteolysis and peptidolysis
ODC1	ornithine decarboxylase 1	2.676	Polyamine biosynthesis
SRI	sorcin	2.637	regulation of action potential, transport
DUSP2	dual specificity phosphatase 2 dephosphorylation	2.633	inactivation of MAPK, protein amino acid
KCNK1	potassium channel, subfamily K, member 1	2.61	ion transport, potassium ion transport
LASP1	LIM and SH3 protein 1	2.598	cortical cytoskeleton organization and biogenesis, ion transport
