Affymetrix probesets	average fold.change	RT-PCR fold change	Gene Name	Gene Symbol
223320_S_AT	2.33		ATP-binding cassette, sub-family B (MDR/TAP), member 10	ABCB10
201872_S_AT	5.24		ATP-binding cassette, sub-family E (OABP), member 1	ABCE1
201873_S_AT	4.52		ATP-binding cassette, sub-family E (OABP), member 1	ABCE1
207622_S_AT	3.09		ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2
209247_S_AT	2.73		ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2
205412_AT	4.53		acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	ACAT1
202486_AT	2.23		AFG3 ATPase family gene 3-like 2 (yeast)	AFG3L2
205996_S_AT	2.65		adenylate kinase 2	AK2
208967_S_AT	3.19		adenylate kinase 2	AK2
212174_AT	2.92		adenylate kinase 2	AK2
212175_S_AT	3.31		adenylate kinase 2	AK2
204347_AT	4.80		adenylate kinase 3	AK3
204348_S_AT	5.45		adenylate kinase 3	AK3
230630_AT	2.09		adenylate kinase 3	AK3
201674_S_AT	4.11		A kinase (PRKA) anchor protein 1	AKAP1
201675_AT	5.02		A kinase (PRKA) anchor protein 1	AKAP1
210625_S_AT	3.85		A kinase (PRKA) anchor protein 1	AKAP1
209645_S_AT	2.82		aldehyde dehydrogenase 1 family, member B1	ALDH1B1
209646_X_AT	2.38		aldehyde dehydrogenase 1 family, member B1	ALDH1B1
203608_AT	4.33		aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	ALDH5A1
201196_S_AT	4.52		adenosylmethionine decarboxylase 1	AMD1
201197_AT	4.96		adenosylmethionine decarboxylase 1	AMD1
208972_S_AT	4.30	8.69	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	ATP5G1
207507_S_AT	2.41		ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	ATP5G3
207508_AT	2.45		ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	ATP5G3
224728_AT	2.20		ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF1
210653_S_AT	1.94		branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	BCKDHB
207618_S_AT	3.15		BCS1-like (yeast)	BCS1L
