Official symbol	Gene name	Fold change in SPN vs.normal pancreas	p
WIF1	WNT inhibitory factor 1	56.92	1.22E-08
EDN3	Endothelin 3	52.20	9.98E-09
TBX3	T-box 3 (ulnar mammary syndrome)	35.09	3.38E-08
SP5	Sp5 transcription factor	31.56	3.00E-07
FZD10	Frizzled homologue 10 (Drosophila)	18.42	6.52E-05
DKK4	Dickkopf homologue 4 (Xenopus laevis)	13.01	9.88E-06
AXIN2	Axin 2 (conductin, axil)	12.79	1.19E-05
TCF7	Transcription factor 7 (T cell-specific, HMG-box)	6.74	0.000633
FZD7	Frizzled homologue 7 (Drosophila)	6.11	0.000243
JAG1	Jagged 1 (Alagille syndrome)	4.82	0.000919
CSPG2	Versican	4.67	0.000533
NOTUM	Notum pectinacetylesterase homologue (Drosophila)	3.90	0.00164
CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3.20	0.00511
DVL2	Dishevelled, dsh homologue 2 (Drosophila)	2.78	0.0083
