Gene Symbol	Description
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
ATP5H	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d
ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E
ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)
ATP6V0E2L	ATPase, H+ transporting V0 subunit E2-like (rat)
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
CACNA1G	calcium channel, voltage-dependent, alpha 1G subunit
CACNB1	calcium channel, voltage-dependent, beta 1 subunit
CACNB2	calcium channel, voltage-dependent, beta 2 subunit
CCL8	chemokine (C-C motif) ligand 8
COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1
HCN2	hyperpolarization activated cyclic nucleotide-gated potassium channel 2
HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4
HEPH	hephaestin
ITPR1	inositol 1,4,5-triphosphate receptor, type 1
KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4
KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5
KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1
KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1
KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3
KCNE2	potassium voltage-gated channel, Isk-related family, member 2
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
KCNH3	potassium voltage-gated channel, subfamily H (eag-related), member 3
KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7
KCNIP2	Kv channel interacting protein 2
KCNIP4	Kv channel interacting protein 4
KCNJ10	potassium inwardly-rectifying channel, subfamily J, member 10
KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11
KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2
KCNJ4	potassium inwardly-rectifying channel, subfamily J, member 4
KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8
KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1
KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1
KCNT1	potassium channel, subfamily T, member 1
KCNV2	potassium channel, subfamily V, member 2
KCTD12	potassium channel tetramerisation domain containing 12
LOC283219	potassium channel tetramerisation domain containing 21
NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa
NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
NNT	nicotinamide nucleotide transhydrogenase
NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9
PLN	phospholamban
RHAG	Rh-associated glycoprotein
RYR2	ryanodine receptor 2 (cardiac)
SCN1B	sodium channel, voltage-gated, type I, beta
SCN2B	sodium channel, voltage-gated, type II, beta
SCN4B	sodium channel, voltage-gated, type IV, beta
SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
SFXN4	sideroflexin 4
SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7
SLC22A16	solute carrier family 22 (organic cation transporter), member 16
SLC30A2	solute carrier family 30 (zinc transporter), member 2
SLC30A3	solute carrier family 30 (zinc transporter), member 3
SLC31A2	solute carrier family 31 (copper transporters), member 2
SLC39A8	solute carrier family 39 (zinc transporter), member 8
SLC41A1	solute carrier family 41, member 1
SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1
SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
SLC8A3	solute carrier family 8 (sodium-calcium exchanger), member 3
SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), member 9
TRPC1	transient receptor potential cation channel, subfamily C, member 1
TRPC3	transient receptor potential cation channel, subfamily C, member 3
TRPC5	transient receptor potential cation channel, subfamily C, member 5
UCP3	uncoupling protein 3 (mitochondrial, proton carrier)
