Gene	Symbol	Accession	Chromosome	Fold change	P
Homo sapiens mRNA; cDNA DKFZp564F112	NA	AL049987.1	NA	2.51	0.000299
Growth arrest–specific 1	GAS1	NM_002048.1	9q21	2.58	0.004934
RAD51-interacting protein	PIR51	BE966146	12p13	2.81	0.000739
Thymosin ?, identified in neuroblastoma cells	TMSNB	NM_021992.1	Xq21	3.26	0.000834
KIAA0101 gene product	NA	NM_014736.1	15q22	2.62	0.000563
Cyclin-dependent kinase inhibitor 3	CDKN3	AF213033.1	14q22	2.53	0.004978
High-mobility group box 2	HMGB2	BC000903.1	4q31	2.75	0.000438
Ubiquitin-conjugating enzyme E2C	UBE2C	NM_007019.1	20q13	2.92	0.000382
Retinoic acid–regulated nuclear matrix-associated protein	RAMP	NM_016448.1	1	2.94	0.014477
CDC28 protein kinase regulatory subunit 2	CKS2	NM_001827.1	9q22	3.08	0.00485
Epithelial cell transforming sequence 2 oncogene	ECT2	NM_018098.1	3q25	2.97	0.001624
Kinesin family member 20A	KIF20A	NM_005733.1	5q31	3.24	0.000546
Cyclin B1	CCNB1	BE407516	5q12	2.48	0.00095
Pituitary tumor-transforming 1	PTTG1	NM_004219.2	5q35	2.8	0.000862
Chromosome condensation protein G	HCAP-G	NM_022346.1	4p16	3.37	0.003616
ZW10 interactor	ZWINT	NM_007057.1	10q21	2.68	0.006086
asp (abnormal spindle)-like	ASPM	NM_018123.1	1q31	3.24	0.003574
Protein regulator of cytokinesis 1	PRC1	NM_003981.1	15q26	3.45	0.0026
Kinesin family member 14	KIF14	NM_014875.1	1pter-q31.3	2.5	0.006231
Forkhead box M1	FOXM1	NM_021953.1	12p13	3.8	0.000976
Kinesin family member 4A	KIF4A	NM_012310.2	Xq13	2.83	0.00078
