Gene	AFFY_ID	CX3CR1pos	CX3CR1neg	CD4	Doublenegative	Genetype
Irf4	1421173_at	880		304	407	Transcription factor
Relb	1417856_at	2264	630	3119	1782	Transcription factor
Sirpb	1458683_at	1223		3468	2382	Transcription factor
Stat4	1448713_at	882		593	612	Transcription factor
Tlr1	1449049_at	745	75	1165	991	Toll-like receptor
Tlr5	1450242_at	261		338	85	Toll-like receptor
Tlr7	1422010_at	184		452	146	Toll-like receptor
CD209a	1426172_a_at	995		651	768	Lectin
DCIR	1425407_s_at	1173.4		1054.8	1560.6	Lectin
DCIR3	1429954_at	853	34	1446	967	Lectin
Clecsf6	1425407_s_at	1173		1054	1560	Lectin
Clecsf12	1420699_at	4128	406	4425	3240	Lectin
Clecsf10	1419627_s_at	348		868	287	Lectin
CCR2	1421186_at	705	225	142	539	Chemokine receptor
CCR6	1450357_at	342	55	1094	957	Chemokine receptor
CCL3	1419561_at	55.6		200	163	Chemokine receptor
CD115	1419873_s_at	3086	90	3336	2071	Other
	1451161_a_at	578	143.1	3068	1692	Other
	1451563_at	223		444.8	521	Other
CD71	1452661_at	1327.4	408.7	1452.6	1448.5	Other
Plxnb2	1416683_at	1402.5	218	1009.9	776.2	Other
Ltb	1419135_at	2146.3		1567.7	1112.3	Other
Ifitm3	1423754_at	3752.7	436.8	4934.5	3893.3	Other
Bcl3	1418133_at	1264	146	674	655	Other
S100a4	1424542_at	8947.1		7229.6	7578	Calcium binding
S100a6	1421375_a_at	1873.5	139.7	1217	1359.8	Calcium binding
Cyp4f16	1417277_at	2466.3	241.2	3064	2479.9	Cytochrome
Cybb	1436778_at	4727.8	107.7	3569.2	3064.2	Cytochrome
