Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
BM214359	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	B3gnt5	N.C.	N.C.	-2.2 ± 0.4	N.C.	1
U18975	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide-beta-1, 4-N-acetylgalactosaminyltransferase	Galgt1	N.C.	N.C.	-1.5 ± 0.4	N.C.	2
NM_009127	stearoyl-Coenzyme A desaturase 1	Scd1	N.C.	-1.6 ± 0.4	N.C.	N.C.	3
BG070923	bromodomain, testis-specific	Brdt	N.C.	-8.7 ± 0.6	N.C.	N.C.	4
BG089858	StAR-related lipid transfer (START) domain containing 4	Stard4	-2.1 ± 0.4	N.C.	-1.5 ± 0.4	-1.6 ± 0.4	5
NM_008291	hydroxysteroid (17-beta) dehydrogenase 3	Hsd17b3	N.C.	-2.5 ± 0.4	N.C.	N.C.	6
BG976607	X-linked myotubular myopathy gene 1	Mtm1	N.C.	-2.7 ± 0.4	N.C.	N.C.	7
BM120751	Adaptor protein complex AP-2, mu1	Ap2m1	N.C.	-1.9 ± 0.4	N.C.	N.C.	8
BB463681	Choline/ethanolaminephosphotransferase 1	Cept1	N.C.	-1.7 ± 0.3	N.C.	N.C.	9
AI596237	lysosomal acid lipase 1	Lip1	-1.6 ± 0.4	N.C.	N.C.	N.C.	10
AI643884	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1	Ndufab1	-2.1 ± 0.4	N.C.	N.C.	N.C.	11
AI875121	RIKEN cDNA A230062G08 gene	A230062G08Rik	-2.8 ± 0.4	N.C.	N.C.	N.C.	12
AU067703	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)	Sc5d	-1.9 ± 0.4	N.C.	N.C.	N.C.	13
AV212090	RIKEN cDNA 4933439C20 gene /// RIKEN cDNA 9030221M09 gene	4933439C20Rik /// 9030221M09Rik	-3.6 ± 0.4	N.C.	N.C.	N.C.	14
BB126310	phospholipid scramblase 4	Plscr4	-2.8 ± 0.4	N.C.	N.C.	N.C.	15
BB339820	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	Elovl1	-2.0 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	16
BB756794	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	Prkag2	-1.7 ± 0.4	N.C.	N.C.	N.C.	17
BB770830	phosphatidylserine synthase 2	Ptdss2	-1.5 ± 0.4	N.C.	N.C.	N.C.	18
BC004801	isopentenyl-diphosphate delta isomerase	Idi1	-2.8 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	19
BG064396	sterol O-acyltransferase 1	Soat1	-1.7 ± 0.4	N.C.	N.C.	N.C.	20
BG070848	oxysterol binding protein-like 6	Osbpl6	-1.7 ± 0.4	N.C.	N.C.	N.C.	21
BI076697	StAR-related lipid transfer (START) domain containing 5	Stard5	-2.1 ± 0.4	N.C.	N.C.	N.C.	22
BI247584	farnesyl diphosphate synthetase	Fdps	-1.5 ± 0.4	N.C.	N.C.	N.C.	23
BM234464	Phosphatidic acid phosphatase type 2B	Ppap2b	-2.0 ± 0.4	N.C.	N.C.	N.C.	25
NM_138656	mevalonate (diphospho) decarboxylase	Mvd	-2.3 ± 0.4	N.C.	N.C.	N.C.	26
NM_054088	adiponutrin	Adpn	N.C.	-1.6 ± 0.4	N.C.	N.C.	27
NM_009306	synaptotagmin I	Syt1	N.C.	-2.1 ± 0.4	N.C.	N.C.	28
