Gene name	Affymetrix ID	Gene symbol	Fold difference Long/Short (95% CI)	P	No. times in Top 5 trees	No. times in Top 5 LDM	Fold difference Early/Short (95% CI)	P
Cleavage stimulation factor subunit 3	203947_at	CSTF3	1.33 (1.17-1.51)	0.00004	54	0	0.68 (0.57-0.81)	0.00007
ATP-binding cassette, subfamily D (ALD), member 3	202850_at	ABCD3	1.41 (1.17-1.69)	0.0004	53	0	1.33 (1.11-1.60)	0.00253
Histamine N-methyltransferase	204112_s_at	HNMT	1.65 (1.30-2.10)	0.0001	2	0	3.79 (2.85-5.05)	<0.000001
Mal, T-cell differentiation protein	204777_s_at	MAL	0.33 (0.19-0.59)	0.00027	0	54	0.03 (0.02-0.07)	<0.000001
APMCF1 protein	218140_x_at	APMCF1	1.39 (1.19-1.63)	0.00009	0	37	0.83 (0.68-1.01)	0.0665
Nudix (nucleoside diphosphate linked moiety X)-type motif 4	212181_s_at	NUDT4	1.62 (1.32-1.99)	0.00002	0	29	0.51 (0.42-0.61)	<0.000001
Plakophilin 4	201928_at	PKP4	1.48 (1.25-1.76)	0.00003	0	29	0.79 (0.55-1.15)	0.215
Signal sequence receptor, alpha (translocon-associated protein alpha)	200891_s_at	SSR1	1.63 (1.35-1.96)	0.000004	0	28	5.99 (4.88-7.34)	<0.000001
Protein kinase, cyclic AMP-dependent, regulatory, type I, beta	212559_at		0.74 (0.66-0.83)	0.000004	0	27	1.29 (1.12-1.48)	0.00064
Nudix (nucleoside diphosphate linked moiety X)-type motif 4	206302_s_at	NUDT4	1.72 (1.35-2.19)	0.00004	0	25	1.59 (1.29-1.95)	0.00005
Vesicle-associated membrane protein-associated protein B and C	202550_s_at	VAPB	1.40 (1.22-1.60)	0.00001	0	25	0.37 (0.31-0.45)	<0.000001
Heat shock 27 kDa protein 2	205824_at	HSPB2	0.73 (0.63-0.83)	0.00003	0	23	0.80 (0.64-1.01)	0.0613
Steroid 5 alpha-reductase	204675_at	SRD5A1	1.69 (1.33-2.14)	0.00005	0	21	0.91 (0.65-1.27)	0.553
Wolfram syndrome 1 (wolframin)	202908_at	WFS1	1.33 (1.14-1.55)	0.00052	0	20	0.61 (0.50-0.75)	0.00002
Connector enhancer of KSR-like (Drosophilakinase suppressor of ras)	204740_at	CNK1	0.73 (0.63-0.86)	0.00017	0	20	0.54(0.41-0.71)	0.00005
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	202620_s_at	PLOD2	2.32 (1.52-3.55)	0.00022	0	19	0.21 (0.12-0.34)	<0.000001
Plakophilin 4	201929_s_at	PKP4	1.59 (1.32-1.90)	0.000005	0	19	1.99 (1.53-2.59)	<0.000001
Putative RNase III	218269_at	RNASE3L	1.44 (1.22-1.70)	0.00005	0	18	0.91 (0.69-1.19)	0.468
Stress-associated endoplasmic reticulum protein 1	200969_at		1.64 (1.28-2.10)	0.0002	0	17	1.26 (0.89-1.80)	0.189
Acyl-protein thioesterase, lysophospholipase II	215566_x_at	LYPLA1	0.71 (0.62-0.81)	0.000002	0	17	0.35 (0.28-0.43)	<0.000001
Tetraspan NET-6 protein	217979_at	NET-6	1.69 (1.27-2.24)	0.00048	0	16	1.03 (0.72-1.45)	0.884
General transcription factor IIH, polypeptide 1	202451_at	GTF2H1	1.53 (1.28-1.82)	0.00001	0	16	3.60 (2.87-4.50)	<0.000001
Embryonic ectoderm development protein	209572_s_at	EED	1.67 (1.37-2.03)	0.000003	0	16	1.02 (0.79-1.32)	0.876
KIAA0624 protein	214734_at	KIAA0624	1.39 (1.17-1.64)	0.00025	0	15	0.09 (0.07-0.10)	<0.000001
ATP-binding protein associated with cell differentiation	203008_x_at	ATP	1.46 (1.23-1.74)	0.00005	0	15	0.84 (0.70-1.02)	0.0772
YY1 transcription factor	200047_s_at	YY1	1.47 (1.27-1.72)	0.000003	0	15	5.82 (4.59-7.38)	<0.000001
