EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
23325	KIAA1033	KIAA1033	215936_s_at	1.34	6.71	7.44	0	0	9.05
3157	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	205822_s_at	2.27	8.7	6.73	0	0	7.28
8239	USP9X	ubiquitin specific peptidase 9, X-linked	230543_at	1.69	5.67	6.41	0	0	6.49
57082	CASC5	cancer susceptibility candidate 5	1552680_a_at	2.2	6.17	6.27	0	0	6.12
1004	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	210602_s_at	3.04	4.04	6.23	0	0	6.01
25831	HECTD1	HECT domain containing 1	241683_at	1.28	4.96	6.19	0	0	5.91
83667	SESN2	sestrin 2	223195_s_at	1.77	6.78	6.06	0	0	5.59
8573	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	238699_s_at	1.36	6.45	5.98	0	0	5.36
2491	CENPI	centromere protein I	207590_s_at	1.33	6.63	5.95	0	0	5.3
2710	GK	glycerol kinase	215977_x_at	1.3	6.51	5.84	0	0	5
50807	DDEF1	development and differentiation enhancing factor 1	236533_at	1.53	5.63	5.78	0	0	4.84
2035	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1554481_a_at	1.32	6.79	5.7	0	0	4.63
29005	PRO1073	PRO1073 protein	227510_x_at	2.83	7.68	5.67	0	0	4.56
2181	ACSL3	acyl-CoA synthetase long-chain family member 3	201661_s_at	1.34	8.1	5.62	0	0.01	4.42
5286	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	1553694_a_at	1.1	7.68	5.61	0	0.01	4.42
25939	SAMHD1	SAM domain and HD domain 1	1559883_s_at	1.57	5.88	5.58	0	0.01	4.32
57590	WDFY1	WD repeat and FYVE domain containing 1	233559_s_at	1.06	6.8	5.57	0	0.01	4.31
6789	STK4	serine/threonine kinase 4	205411_at	1.19	4.29	5.45	0	0.01	3.99
1660	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	212107_s_at	1.65	9.35	5.29	0	0.01	3.57
79723	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)	219262_at	1.72	4.22	5.21	0	0.01	3.35
114882	OSBPL8	oxysterol binding protein-like 8	228986_at	1.95	6.48	5.19	0	0.01	3.3
79094	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	219270_at	1.46	5.97	5.12	0	0.01	3.13
4170	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	200796_s_at	1.79	6.43	5.12	0	0.01	3.12
340591	CA5BL	carbonic anhydrase VB-like	238435_at	1.49	5.41	5.12	0	0.01	3.11
833	CARS	cysteinyl-tRNA synthetase	240983_s_at	1.31	7.16	5.11	0	0.01	3.1
27125	AFF4	AF4/FMR2 family, member 4	243487_at	1.11	4.99	5.11	0	0.01	3.1
55055	ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	218349_s_at	1.18	8.56	5.1	0	0.01	3.06
6474	SHOX2	short stature homeobox 2	210134_x_at	1.33	4.8	5.09	0	0.01	3.03
79659	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	1561939_at	1.89	3.94	5.08	0	0.01	3.02
7175	TPR	translocated promoter region (to activated MET oncogene)	1557227_s_at	1.97	7.01	5.08	0	0.01	3.01
2892	GRIA3	glutamate receptor, ionotrophic, AMPA 3	206730_at	1.06	2.72	5.08	0	0.01	3
81847	RNF146	ring finger protein 146	221430_s_at	1.28	6.58	5.08	0	0.01	3
255928	SYT14	synaptotagmin XIV	1553654_at	1.72	5.95	5.03	0	0.01	2.89
4800	NFYA	nuclear transcription factor Y, alpha	215720_s_at	1.21	6.42	4.96	0	0.01	2.7
259266	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	232238_at	1.72	6.57	4.94	0	0.01	2.64
