Gene	Title	Fold change
ZIC1	Zic family member 1	37.2
TOP2A	Topoisomerase (DNA) II ? 170 kDa	32.4
RRM2	Ribonucleotide reductase M2 polypeptide	18.1
FOXD1	Forkhead box D1	15.5
GAS41	Glioma-amplified sequence 41	13.7
CDK4	Cyclin-dependent kinase 4	11.6
MDM2	MDM2, p53 binding protein	10.2
CDKN2A	Cyclin-dependent kinase inhibitor 2A (p16)	9
HCAP-G	Chromosome condensation protein G	8.2
IGF-II	Insulin-like growth factor II	7
SAS	Sarcoma-amplified sequence	6.8
ARHGAP4	Rho GTPase-activating protein 4	5.7
TYMS	Thymidylate synthetase	5.3
MADL1	MAD2 mitotic arrest deficient-like	3.4
OS4	Conserved gene amplified in osteosarcoma	3.3
RACGAP1	Rac GTPase activating protein 1	3.3
RBL1	Retinoblastoma-like 1 (p107)	2.4
RAD17	RAD17 homologue, mitotic checkpoint	2.4
FUBP1	Far upstream element (FUSE) binding protein 1	2.3
BRCA2	Breast cancer 2, early onset	2.3
MARKS	Myristoylated alanine-rich protein kinase C substrate	2.2
IRS4	Insulin receptor substrate 4	2.2
CDC2	Cell division cycle 2, G1-S and G2-M	2.2
UBE2B	Ubiquitin-conjugating enzyme E2B (RAD6 homologue)	1.9
RAD1	RAD1 homologue, DNA damage response	1.7
