Gene transcript	Gene symbol	Unigene	Probeset ID	p-value	FC#	Adjustedp<0.05
hypothetical protein FLJ13725	FLJ13725	Hs.152717	45749_at	3.87E-05	0.7	no
cyclin -dependent kinase 4	CDK4	Hs.95577	202246_s_at	4.56E-05	1.4	no
ras homolog gene family, member Q	ARHQ	Hs.442989	212119_at	9.17E-05	1.7	no
diazepam binding inhibitor (GABA receptor modulator, acyl -Coenzyme A binding protein)	DBI	Hs.78888	202428_x_at	1.20E-04	1.9	no
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	Hs.386834	200640_at	1.39E-04	1.6	no
H2A histone family, member Z	H2AFZ	Hs.119192	213911_s_at	2.02E-04	2.4	no
diazepam binding inhibitor (GABA receptor modulator, acyl -Coenzyme A binding protein)	DBI	Hs.78888	211070_x_at	2.42E-04	2	no
voltage-dependent anion channel 3	VDAC3	Hs.439253	208845_at	2.46E-04	1.4	no
hypothetical protein MAC30	MAC30	Hs.199695	212282_at	4.50E-04	3.1	no
interleukin enhancer bindin g factor 2, 45kDa	ILF2	Hs.75117	200052_s_at	4.51E-04	1.8	no
likely ortholog of mouse immediate early response, erythropoietin 4	LEREPO4	Hs.368598	201593_s_at	5.11E-04	1.7	no
hypothetical protein MAC30	MAC30	Hs.199695	212281_s_at	5.92E-04	3.6	no
proteasome (prosome, macropain) subunit, beta type, 7	PSMB7	Hs.197071	200786_at	6.85E-04	1.7	no
transgelin 2	TAGLN2	Hs.406504	200916_at	7.64E-04	1.6	no
proteasome (prosome, macropain) subunit, alpha type, 6	PSMA6	Hs.374499	208805_at	8.10E-04	1.4	no
aldo-keto reductase family 1, member A1(aldehyde reductase)	AKR1A1	Hs.372170	201900_s_at	8.22E-04	1.3	no
peroxiredoxin 1	PRDX1	Hs.180909	208680_at	8.23E-04	1.5	no
chromosome 13 open reading frame 12	C13orf12	Hs.268742	217769_s_at	8.42E-04	1.4	no
jun D proto -oncogene	JUND	Hs.2780	203752_s_at	8.57E-04	1.8	no
formin binding protein 3	FNBP3	Hs.298735	213729_at	8.78E-04	1.9	no
phosphoribosylaminoimidazolecarboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	PAICS	Hs.444439	201013_s_at	9.78E-04	2	no
karyopherin alpha 2 (RAG cohort 1,importin alpha 1)	KPNA2	Hs.252712	211762_s_at	9.79E-04	2.1	no
farnesyl-diphosphate farnesyltransferase 1	FDFT1	Hs.191435	210950_s_at	9.92E-04	1.7	no
microtubule -associated protein, RP/EBfamily, member 1	MAPRE1	Hs.408754	200713_s_at	1.02E-03	1.3	no
v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	ERBB3	Hs.306251	202454_s_at	1.03E-03	2.1	no
diazepam binding inhibitor (GABAreceptor modulator, acyl -Coenzyme A binding protein)	DBI	Hs.78888	209389_x_at	1.05E-03	1.8	no
hypothetical protein MAC30	MAC30	Hs.199695	212279_at	1.08E-03	2.5	no
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	Hs.386834	200639_s_at	1.13E-03	1.4	no
exportin 1 (CRM1 homolog, yeast)	XPO1	Hs.157367	208775_at	1.20E-03	2	no
chromosome 16 open reading frame 34	C16orf34	Hs.437433	212115_at	1.24E-03	1.5	no
phosphatidic acid phosphatase type 2A	PPAP2A	Hs.482121	209147_s_at	1.24E-03	1.7	no
START domain containing 7	STARD7	Hs.445446	200028_s_at	1.35E-03	1.4	no
MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	MCM3	Hs.179565	201555_at	1.38E-03	1.7	no
slingshot 3	SSH-3	Hs.29173	51192_at	1.41E-03	0.6	no
S-adenosylhomocysteine hydrolase	AHCY	Hs.388004	200903_s_at	1.42E-03	1.8	no
glucose phosphate isomerase	GPI	Hs.406458	208308_s_at	1.45E-03	1.7	no
transferrin receptor (p90, CD71)	TFRC	Hs.185726	208691_at	1.46E-03	3	no
small EDRK -rich factor 2	SERF2	Hs.424126	210183_x_at	1.50E-03	1.4	no
RNA -binding protein	FLJ20273	Hs.95549	218035_s_at	1.73E-03	1.7	no
S100 calcium binding protein A2	S100A2	Hs.413843	204268_at	1.78E-03	0.2	no
high-mobility group nucleosomal binding domain 2	HMGN2	Hs.181163	208668_x_at	1.82E-03	1.4	no
ras homolog gene family, member Q	ARHQ	Hs.442989	212117_at	1.90E-03	1.4	no
H2A histone family, member X	H2AFX	Hs.147097	205436_s_at	2.03E-03	2	no
thymidylate synthetase	TYMS	Hs.87491	202589_at	2.06E-03	2.4	no
slingshot 3	SSH-3	Hs.29173	219241_x_at	2.07E-03	0.7	no
H2A histone family, member Z	H2AFZ	Hs.119192	200853_at	2.08E-03	1.8	no
chaperonin containing TCP1, subunit 2 (beta)	CCT2	Hs.189772	201947_s_at	2.10E-03	1.4	no
karyopherin (importin) beta 1	KPNB1	Hs.439683	208974_x_at	2.27E-03	1.4	no
claudin 4	CLDN4	Hs.5372	201428_at	2.35E-03	2	no
isoleucine-tRNA synthetase	IARS	Hs.172801	204744_s_at	2.45E-03	1.6	no
small nuclear ribonucleoprotein polypeptides B and B1	SNRPB	Hs.83753	208821_at	2.46E-03	1.6	no
bromodomain containing 2	BRD2	Hs.75243	208685_x_at	2.66E-03	1.5	no
mitochondrial ribosomal protein L15	MRPL15	Hs.18349	218027_at	2.69E-03	1.8	no
dynein, axonemal, heavy polypeptide 3	DNAH3	Hs.375739	220725_x_at	2.70E-03	0.4	no
unactive progesterone receptor, 23 kD	TEBP	Hs.355693	200627_at	2.88E-03	1.3	no
heterogeneous nuclear ribonucleoprotein K	HNRPK	Hs.307544	200775_s_at	3.15E-03	1.4	no
chaperonin containing TCP1, subunit 8 (theta)	CCT8	Hs.416211	200873_s_at	3.27E-03	1.7	no
tubulin, alpha, ubiquitous	K-ALPHA-1	Hs.446608	211072_x_at	3.28E-03	2	no
cat eye syndrome chromosome region, candidate 1	CECR1	Hs.170310	219505_at	3.35E-03	0.3	no
heterogeneous nuclear ribonucleoprotein R	HNRPR	Hs.15265	208766_s_at	3.37E-03	1.8	no
Homo sapiens cDNA FLJ12835 fis, clone NT2RP2003165.		Hs.388918	216153_x_at	3.39E-03	0.4	no
HSPC038 protein	LOC51123	Hs.449945	218059_at	3.42E-03	1.8	no
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	YWHAQ	Hs.74405	212426_s_at	3.44E-03	1.4	no
tubulin, beta, 4	TUBB4	Hs.511743	213476_x_at	3.50E-03	1.5	no
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	GNAI2	Hs.77269	201040_at	3.56E-03	0.8	no
high-mobility group box 2	HMGB2	Hs.434953	208808_s_at	3.71E-03	3.9	no
oligophrenin 1	OPHN1	Hs.128824	206323_x_at	3.84E-03	0.4	no
keratin 13	KRT13	Hs.433871	207935_s_at	3.89E-03	0.3	no
mitochondrial ribosomal protein L3	MRPL3	Hs.320961	208787_at	3.96E-03	1.6	no
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	Hs.386834	200638_s_at	4.00E-03	1.9	no
nucleolar protein fam ily A, member 3 (H/ACA small nucleolar RNPs)	NOLA3	Hs.14317	217962_at	4.06E-03	1.3	no
chaperonin containing TCP1, subunit 2 (beta)	CCT2	Hs.189772	201946_s_at	4.09E-03	2	no
tubulin, alpha, ubiquitous	K-ALPHA-1	Hs.446608	213646_x_at	4.17E-03	1.9	no
nucleostemin	NS	Hs.313544	217850_at	4.24E-03	1.6	no
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	YWHAQ	Hs.74405	200693_at	4.26E-03	1.3	no
heterogeneous nuclear ribonucleoprotein A/B	HNRPAB	Hs.81361	201277_s_at	4.28E-03	1.3	no
proliferating cell nuclear antigen	PCNA	Hs.78996	201202_at	4.31E-03	2.4	no
CSE1 chromosome segregation 1-like (yeast)	CSE1L	Hs.90073	201112_s_at	4.33E-03	1.6	no
Homo sapiens transcribed sequences		Hs.74405	213699_s_at	4.34E-03	1.4	no
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	MCM5	Hs.77171	216237_s_at	4.37E-03	2.3	no
hypothetical protein DKFZp434K1210	DKFZp434K1210	Hs.32352	218149_s_at	4.39E-03	1.4	no
fatty acid binding protein 4, adipocyte	FABP4	Hs.391561	203980_at	4.41E-03	0.1	no
tubulin, beta, 2	TUBB2	Hs.433615	208977_x_at	4.51E-03	1.5	no
procollagen-proline, 2 -oxoglutarate 4-dioxygenase (proline 4 -hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	P4HB	Hs.410578	200656_s_at	4.61E-03	1.5	no
malate dehydrogenase 1, NAD (soluble)	MDH1	Hs.75375	200978_at	4.96E-03	1.4	no
solute carrier family 16 (monocarboxylic acid transporters), member 3	SLC16A3	Hs.8752	202857_at	5.00E-03	1.4	no
