Name	CloneID	Cell lines TK6	Cell lines NH32	Cell lines WTK1	Function
 Protein phosphatase Wip1 (PPM1D)	243882	2.59 (6)	1.74 (6)	1.24 (3)	p53-related genes
 Pig10=p53-inducible gene=Similar (ENC1)	510856	3.8 (24)	1.28 (9)	1.85 (24)	p53-related genes
 TP53 target gene 1 (TP53TG1)	506646	2.05 (9)	1.3 (24)	1.11 (6)	p53-related genes
 Pig3=p53-inducible gene (PIG3)	859359	5.09 (9)	1.44 (3)	1.21 (6)	p53-related genes
 RB=retinoblastoma susceptibility (RB1)	487777	2.21 (24)	1.17 (6)	2.35 (24)	p53-related genes
 Small-inducible cytokine A3 (SCYA3)	460398	6.23 (24)	4.2 (24)	2.57 (9)	p53-related genes
 Cyclin-dependent kinase inhibitor 1A (CDKN1A)	2549557	4.36 (9)	1.38 (24)	1.5 (24)	p53-related genes
 p53-inducible-ribonucleotide reductase (p53R2)	768466	4.96 (9)	1.22 (9)	1.12 (9)	p53-related genes
 TNF-induced protein (GG2-1)	627401	2.32 (6)	1.41 (3)	1.4 (24)	Apoptosis
 CD95=Fas (TNFRSF6)	714213	3.1 (9)	1.41 (9)	1.89 (9)	Apoptosis
 TRAF family member-associated NF (TANK)	502486	2.63 (24)	1.33 (1)	1.28 (24)	Apoptosis
 Caspase 1 (CASP1)	120106	2.48 (24)	1 (0)	1.68 (9)	Apoptosis
 TRAIL=Apo-2 ligand (TNFSF10)	203132	2.43 (24)	1.38 (3)	1.29 (3)	Apoptosis
 STAT1=IFN/-responsive (STAT1)	840691	3.67 (24)	1.35 (24)	1.62 (24)	Apoptosis
 Nuclear factor of  light (NFKBIE)	1573311	2.07 (24)	1.27 (24)	1.92 (6)	Apoptosis
 CASP8 and FADD-like apoptosis regulator (CFLAR)	813714	2.18 (24)	1.02 (6)	1.26 (6)	Apoptosis
 CD30=Ki-1 antigen=TNFR family (TNFRSF8)	505538	1.57 (3)	2.83 (24)	2.34 (6)	Apoptosis
 NFB1=NF-B p105=p50 (NFKB1)	789357	1.57 (6)	1.55 (24)	2.08 (9)	Apoptosis
 NFB2=NF-B p100=p49=p50B (NFKB2)	682529	1.28 (3)	3.21 (24)	4.05 (9)	Apoptosis
 TRAF1=TTNF receptor-associated factor 1 (TRAF1)	155583	1.61 (24)	3.91 (24)	3.55 (6)	Apoptosis
 Tumor necrosis factor (TNFAIP3)	770670	1.31 (6)	2.13 (24)	1.72 (9)	Apoptosis
 TGF- receptor type III (TGFBR3)	209655	2.08 (9)	1.28 (9)	1.21 (24)	TGF- signaling pathway
 Homo sapiens cDNA: FLJ23037 fis, clone	345935	2.87 (24)	1.14 (9)	1.21 (9)	TGF- signaling pathway
 E1A binding protein p300 (EP300)	309591	2.07 (9)	1.09 (6)	1.34 (9)	TGF- signaling pathway
 P8 protein (P8)	80484	2.89 (24)	1.9 (24)	2.3 (9)	TGF- signaling pathway
 Prostate differentiation factor (PLAB)	788832	3.28 (24)	2.07 (24)	1.57 (3)	TGF- signaling pathway
 Cyclin I (CCNI)	248295	2.77 (24)	1.2 (6)	1.15 (24)	Cell cycle regulated genes
 Cyclin K=CPR4 (CCNK)	855949	4.2 (9)	1.24 (9)	1.17 (24)	Cell cycle regulated genes
 Cyclin E2 (CCNE2)	826273	3.18 (6)	2 (24)	2.35 (9)	Cell cycle regulated genes
 Cyclin G1 (CCNG1)	547058	2.14 (24)	1.24 (24)	1.12 (6)	Cell cycle regulated genes
 Cyclin G2 (CCNG2)	823691	2.1 (24)	1.34 (1)	1.89 (6)	Cell cycle regulated genes
 Cyclin F (CCNF)	455128	4.04 (6)	1.23 (24)	1.34 (24)	Cell cycle regulated genes
 Chaperonin containing TCP1, subunit 3 (CCT3)	2577143	2.53 (24)	1.33 (24)	1.36 (24)	Cell cycle regulated genes
 Chaperonin containing TCP1, subunit 4 (CCT4)	897880	2.01 (9)	1.64 (24)	1.57 (24)	Cell cycle regulated genes
 Chaperonin containing TCP1, subunit 7 (CCT7)	882484	2.04 (24)	1.18 (9)	1.28 (24)	Cell cycle regulated genes
 DP-2=transcription factor DP-2 (TFDP2)	814101	2.3 (24)	1.38 (24)	1.55 (24)	Cell cycle regulated genes
 Cyclin-dependent kinase 6 (CDK6)	214572	1.74 (6)	1.6 (24)	2.19 (9)	Cell cycle regulated genes
 Cyclin-dependent kinase inhibitor 1C (CDKN1C)	2413955	1.27 (1)	2.16 (6)	1.71 (3)	Cell cycle regulated genes
 Collagen, type IV, 2 (COL4A2)	769959	1.15 (1)	1.66 (9)	2.19 (9)	Filament-related genes
 Collagen, type VI, 1 (COL6A1)	263716	1.57 (1)	2.92 (24)	2.25 (9)	Filament-related genes
 Collagen, type VI, 2 (COL6A2)	2409635	1.22 (3)	2.07 (9)	2.06 (9)	Filament-related genes
 Procollagen-lysine, 2-oxoglutar (PLOD3)	810928	1.8 (3)	1.89 (24)	2.04 (9)	Filament-related genes
 Ficolin (FCN3)	858877	1.21 (3)	4.18 (6)	1.6 (9)	Filament-related genes
 Keratin 8 (KRT8)	897781	1.62 (24)	1.91 (9)	2.09 (9)	Filament-related genes
 Keratin 14 (KRT14)	183602	1.41 (6)	2.33 (24)	2.43 (3)	Filament-related genes
 Keratin 19 (KRT19)	810131	1.43 (9)	1.77 (6)	2.01 (9)	Filament-related genes
 Integrin, 2 (ITGA2)	811740	1.24 (6)	4.11 (6)	1.5 (9)	Filament-related genes
