Gene	Description	p-value	GenBank Accession	Expression
CAMK1	Calcium/calmodulin-dependent protein kinase I	0.001	NM_003656	Increased expression by bleo treatment
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	0.001	U03106	Increased expression by bleo treatment
XPC	Xeroderma pigmentosum, complementation group C	0.001	NM_004628	Increased expression by bleo treatment
H2AFZ	H2A histone family, member Z	0.001	NM_002106	Increased expression by bleo treatment
POLH	Polymerase (DNA directed), eta	0.001	NM_006502	Increased expression by bleo treatment
FDXR	Ferredoxin reductase	0.001	NM_004110	Increased expression by bleo treatment
RGS16	Regulator of G-protein signalling 16	0.001	NM_002928	Increased expression by bleo treatment
FRDA	Frataxin	0.001	NM_000144	Increased expression by bleo treatment
TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7	0.001	NM_001252	Increased expression by bleo treatment
TNFSF9	Tumor necrosis factor (ligand) superfamily, member 9	0.001	NM_003811	Increased expression by bleo treatment
UBR1	Ubiquitin protein ligase E3 component n-recognin 1	0.001	AF061556	Increased expression by bleo treatment
BBC3	BCL2 binding component 3	0.001	U82987	Increased expression by bleo treatment
CD37	CD37 antigen	0.001	NM_001774	Increased expression by bleo treatment
ANKFY1	Ankyrin repeat and FYVE domain containing 1	0.001	NM_016376	Increased expression by bleo treatment
CX3CL1	Chemokine (C-C motif) ligand 22	0.001	NM_002990	Increased expression by bleo treatment
PPM1D	Protein phosphatase 1D magnesium-dependent, delta isoform	0.001	NM_003620	Increased expression by bleo treatment
COL4A4	Collagen, type IV, alpha 4	0.002	NM_000092	Increased expression by bleo treatment
DDB2	Damage-specific DNA binding protein 2, 48kDa	0.002	NM_000107	Increased expression by bleo treatment
TKTL1	Transketolase-like1	0.002	NM_012253	Increased expression by bleo treatment
RABL4	RAB, member of RAS oncogene family-like 4	0.002	NM_006860	Increased expression by bleo treatment
SLMAP	Sarcolemma associated protein	0.002	NM_007159	Increased expression by bleo treatment
GKAP1	G kinase anchoring protein 1	0.002	AF319476	Increased expression by bleo treatment
TNFSF14	Tumor necrosis factor (ligand) superfamily, member 14	0.002	NM_003807	Increased expression by bleo treatment
HIRIP3	HIRA interacting protein 3	0.002	NM_003609	Increased expression by bleo treatment
KIF3B	Kinesin family member 3B	0.002	NM_004798	Increased expression by bleo treatment
PLK3	Polo-like kinase 3 (Drosophila)	0.002	NM_004073	Increased expression by bleo treatment
ITIH2	Inter-alpha (globulin) inhibitor H2	0.002	NM_002216	Increased expression by bleo treatment
SERPINA4	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4	0.002	NM_006215	Increased expression by bleo treatment
MYL3	Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow	0.002	NM_000258	Increased expression by bleo treatment
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	0.003	NM_001686	Increased expression by bleo treatment
GNLY	Granulysin	0.003	NM_012483	Increased expression by bleo treatment
DRP2	Dystrophin related protein 2	0.003	NM_001939	Increased expression by bleo treatment
GRID2	Glutamate receptor, ionotropic, delta 2	0.003	NM_001510	Increased expression by bleo treatment
SGSH	N-sulfoglucosamine sulfohydrolase (sulfamidase)	0.003	NM_000199	Increased expression by bleo treatment
UCN	Urocortin	0.003	NM_003353	Increased expression by bleo treatment
PGLS	6-phosphogluconolactonase	0.003	NM_012088	Increased expression by bleo treatment
PHKG2	Phosphorylase kinase, gamma 2 (testis)	0.003	NM_000294	Increased expression by bleo treatment
SLC25A5	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0.003	L32786	Increased expression by bleo treatment
ARID3A	AT rich interactive domain 3A (BRIGHT- like)	0.003	NM_005224	Increased expression by bleo treatment
TITF1	Hypothetical protein LOC253970	0.003	AK027147	Increased expression by bleo treatment
IL27RA	Interleukin 27 receptor, alpha	0.003	NM_004843	Increased expression by bleo treatment
PGS1	Phosphatidylglycerophosphate synthase	0.004	AL359590	Increased expression by bleo treatment
GP9	Glycoprotein IX (platelet)	0.004	NM_000174	Increased expression by bleo treatment
DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	0.004	NM_001935	Increased expression by bleo treatment
HSD11B2	Hydroxysteroid (11-beta) dehydrogenase 2	0.004	NM_000196	Increased expression by bleo treatment
METTL1	Methyltransferase like1	0.004	Y18643	Increased expression by bleo treatment
DNAH7	Dynein, axonemal, heavy polypeptide 7	0.004	AJ132084	Increased expression by bleo treatment
SNAP25	Synaptosomal-associated protein, 25kDa	0.004	NM_003081	Increased expression by bleo treatment
HSD3B2	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	0.004	NM_000198	Increased expression by bleo treatment
SPPL2B	Signal peptide peptidase-like 2B	0.004	AB040965	Increased expression by bleo treatment
PLG	Plasminogen	0.004	NM_000301	Increased expression by bleo treatment
RHOBTB1	Rho-related BTB domain containing 1	0.004	AB018283	Increased expression by bleo treatment
AR	Androgen receptor	0.004	L29496	Increased expression by bleo treatment
PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	0.001	NM_003557	Decreased expression by bleomycin treatment
ACSL1	Acyl-CoA synthetase long-chain family member 1	0.001	NM_001995	Decreased expression by bleomycin treatment
TPX2	TPX2, microtubule-associated protein homolog (Xenopus laevis)	0.001	AB024704	Decreased expression by bleomycin treatment
BST2	Bone marrow stromal cell antigen 2	0.001	NM_004335	Decreased expression by bleomycin treatment
PPP3CB	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	0.001	M29551	Decreased expression by bleomycin treatment
CSNK2A1	Casein kinase 2, alpha 1 polypeptide	0.001	NM_001895	Decreased expression by bleomycin treatment
CD53	CD53 antigen	0.001	M37033	Decreased expression by bleomycin treatment
CENPA	Centromere protein A, 17kDa	0.001	NM_001809	Decreased expression by bleomycin treatment
