Symbol	Description	FC	Expression
AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase) kynureninase	21.85	Up-regulation
CCK	Cholecystokinin	16	Up-regulation
PTPN12	Protein tyrosine phosphatase, nonreceptor type 12	15.78	Up-regulation
S100A9	S100 calcium-binding protein A9 (calgranulin B)	15.67	Up-regulation
TFPI2	Tissue factor pathway inhibitor 2	13.92	Up-regulation
KYNU	Kynureninase (L-kynurenine hydrolase)	10.55	Up-regulation
MAPK8	Mitogen-activated protein kinase 8	9.64	Up-regulation
ACTN4	Actinin, ?4	8.69	Up-regulation
HSPA2	Heat shock 70-kDa protein 2	6.68	Up-regulation
TGFBR2	Transforming growth factor, ? receptor II	5.93	Up-regulation
CDC42BPB	CDC42-binding protein kinase ? (DMPK-like)	4	Up-regulation
EPS8	Epidermal growth factor receptor pathway substrate 8	3.68	Up-regulation
BNIP3L	BCL2/adenovirus E1B 19-kDa interacting protein 3-like	3.55	Up-regulation
PIGPC1	p53-induced protein PIGPC1	3.09	Up-regulation
p21	Cyclin-dependent kinase inhibitor 1A (Cip1)	3	Up-regulation
NCOR2	Nuclear receptor corepressor 2	2.9	Up-regulation
PTP4A2	Protein tyrosine phosphatase type IVA, member 2	2.56	Up-regulation
STC1	Stanniocalcin 1	2.36	Up-regulation
TTRAP	TRAF and tumor necrosis factor receptor-associated protein	2.31	Up-regulation
YWHAZ	14-3-3 protein	2	Up-regulation
H2AFX	H2A histone family, member X	124.5	Down-regulation
TYMS	Thymidylate synthetase	25.99	Down-regulation
CDC6	CDC6 cell division cycle 6 homologue	22.9	Down-regulation
CENPF	Centromere protein F, 350/400 kDa (mitosin)	22.78	Down-regulation
PRC1	Protein regulator of cytokinesis 1	18.37	Down-regulation
CKS1B	CDC28 protein kinase regulatory subunit 1B	15.77	Down-regulation
SIVA	CD27-binding (Siva) protein	11.39	Down-regulation
BAD	BCL2-antagonist of cell death	9.18	Down-regulation
DNAJC9	DnaJ (Hsp40) homologue, subfamily C, member 9	7.83	Down-regulation
CKS1B	CDC28 protein kinase regulatory subunit 1B	6.19	Down-regulation
CDK2	Cyclin-dependent kinase 2	5.65	Down-regulation
ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homologue 2	4.59	Down-regulation
E2F1	E2F transcription factor 1	4	Down-regulation
Cyclin B1	Cyclin B1	4	Down-regulation
CDK4	Cyclin-dependent kinase 4	3.5	Down-regulation
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5	2.82	Down-regulation
SAP18	Sin3-associated polypeptide, 18 kDa	2.69	Down-regulation
HSBP1	Heat shock factor–binding protein 1	2.09	Down-regulation
TXNIP	Thioredoxin-interacting protein	2.04	Down-regulation
MGC32043	Hypothetical protein MGC32043	2	Down-regulation
