Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_52_P154101	142.47	9.62E-06	Calca	NM_001033954	calcitonin/calcitonin-related polypeptide, alpha (Calca), transcript variant 2, mRNA [NM_001033954]
A_51_P494822	105	7.76E-05	Stag3	NM_016964	stromal antigen 3 (Stag3), mRNA [NM_016964]
A_52_P500979	97.92	5.27E-06	Pcsk1	NM_013628	proprotein convertase subtilisin/kexin type 1 (Pcsk1), mRNA [NM_013628]
A_52_P441294	90.55	2.04E-05	Chl1	NM_007697	cell adhesion molecule with homology to L1CAM (Chl1), mRNA [NM_007697]
A_51_P297900	90.02	9.59E-04	Syt1	NM_009306	synaptotagmin I (Syt1), mRNA [NM_009306]
A_51_P278368	79.21	2.78E-05	Dner	NM_152915	delta/notch-like EGF-related receptor (Dner), mRNA [NM_152915]
A_51_P221223	75.54	1.63E-06	Scg5	NM_009162	secretogranin V (Scg5), mRNA [NM_009162]
A_51_P106591	68.86	1.41E-04	Tnrc4	NM_172434	trinucleotide repeat containing 4 (Tnrc4), mRNA [NM_172434]
A_51_P337230	64.56	5.34E-05	Galnt14	NM_027864	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (Galnt14), mRNA [NM_027864]
A_52_P470466	63.63	1.10E-04	D3Bwg0562e	NM_177664	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed (D3Bwg0562e), mRNA [NM_177664]
A_52_P664899	63.35	1.16E-05	Elavl2	NM_207685	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) (Elavl2), transcript variant 1, mRNA [NM_207685]
A_51_P167313	62.71	9.88E-05	Pgbd5	NM_171824	piggyBac transposable element derived 5 (Pgbd5), mRNA [NM_171824]
A_52_P103929	58.84	2.36E-05	Syt1	NM_009306	synaptotagmin I (Syt1), mRNA [NM_009306]
A_51_P191669	57.07	1.80E-05	Chgb	NM_007694	chromogranin B (Chgb), mRNA [NM_007694]
A_51_P122867	55.44	5.00E-03	Syt16	NM_172804	synaptotagmin XVI (Syt16), mRNA [NM_172804]
A_51_P437327	52.41	3.70E-05	Ascl1	NM_008553	achaete-scute complex homolog-like 1 (Drosophila) (Ascl1), mRNA [NM_008553]
A_51_P203620	52.09	5.15E-06	Slc18a1	NM_153054	solute carrier family 18 (vesicular monoamine), member 1 (Slc18a1), mRNA [NM_153054]
A_52_P467488	50.58	1.67E-05	Slc35d3	NM_029529	solute carrier family 35, member D3 (Slc35d3), mRNA [NM_029529]
A_51_P230098	49.23	2.27E-06	Pbk	NM_023209	PDZ binding kinase (Pbk), mRNA [NM_023209]
A_51_P140887	48.66	2.66E-05	Insm1	NM_016889	insulinoma-associated 1 (Insm1), mRNA [NM_016889]
A_52_P121342	47.66	1.16E-04	Nrxn1	NM_020252	neurexin I (Nrxn1), mRNA [NM_020252]
A_51_P416858	45.65	1.17E-05	Myl1	NM_021285	myosin, light polypeptide 1 (Myl1), mRNA [NM_021285]
A_52_P671132	42.22	2.19E-04	Dner	NM_152915	delta/notch-like EGF-related receptor (Dner), mRNA [NM_152915]
A_52_P613769	41.74	1.75E-04	Chl1	NM_007697	cell adhesion molecule with homology to L1CAM (Chl1), mRNA [NM_007697]
A_51_P327970	41.65	1.41E-04	Scg2	NM_009129	secretogranin II (Scg2), mRNA [NM_009129]
A_51_P518909	41.01	8.15E-05	Serpinb12	NM_027971	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12 (Serpinb12), mRNA [NM_027971]
A_51_P145948	38.18	7.48E-05	Neto1	NM_144946	neuropilin (NRP) and tolloid (TLL)-like 1 (Neto1), mRNA [NM_144946]
A_52_P150436	37.9	6.30E-06	1700086L19Rik	XM_358420	PREDICTED:  RIKEN cDNA 1700086L19 gene (1700086L19Rik), mRNA [XM_358420]
A_52_P154026	36.86	6.94E-05	Zcwpw1	NM_001005426	zinc finger, CW type with PWWP domain 1 (Zcwpw1), mRNA [NM_001005426]
A_52_P101399	36.21	2.58E-04	Tmem130	NM_177735	transmembrane protein 130 (Tmem130), mRNA [NM_177735]
A_52_P202770	35.55	1.27E-05	Ccnb1	NM_172301	cyclin B1 (Ccnb1), mRNA [NM_172301]
A_51_P431047	34.63	8.43E-06	St8sia3	NM_009182	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 (St8sia3), mRNA [NM_009182]
A_51_P492528	34.6	3.77E-03	D3Bwg0562e	NM_177664	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed (D3Bwg0562e), mRNA [NM_177664]
A_52_P251366	34.53	1.39E-05	Neil3	NM_146208	nei like 3 (E. coli) (Neil3), mRNA [NM_146208]
A_51_P160576	33.93	1.56E-04	Brsk2	AK014760	0 day neonate head cDNA, RIKEN full-length enriched library, clone:4833424K13 product:unclassifiable, full insert sequence [AK014760]
A_51_P200262	33.73	1.45E-06	Gfi1	NM_010278	growth factor independent 1 (Gfi1), mRNA [NM_010278]
A_51_P318123	33.61	1.48E-04	AK084660	AK084660	13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330026H24 product:unclassifiable, full insert sequence. [AK084660]
A_52_P183239	33.6	4.97E-04	Scn8a	NM_001077499	sodium channel, voltage-gated, type VIII, alpha (Scn8a), mRNA [NM_001077499]
A_51_P397876	33.17	2.50E-05	En2	NM_010134	engrailed 2 (En2), mRNA [NM_010134]
A_52_P286421	32.8	3.26E-04	Snap25	M22012	synaptosomal associated protein-25 (Snap25) mRNA, complete cds. [M22012]
A_52_P253044	31.84	1.10E-04	Syt13	NM_030725	synaptotagmin XIII (Syt13), mRNA [NM_030725]
A_51_P326502	31.13	5.70E-03	Chek1	NM_007691	checkpoint kinase 1 homolog (S. pombe) (Chek1), mRNA [NM_007691]
A_52_P520037	30.99	4.61E-04	Rimbp2	XM_132396	PREDICTED:  RIMS binding protein 2, transcript variant 1 (Rimbp2), mRNA [XM_132396]
A_51_P304478	30.67	7.68E-04	Tmem28	NM_173446	transmembrane protein 28 (Tmem28), mRNA [NM_173446]
A_51_P107039	30.63	2.02E-03	4930555G01Rik	NM_175393	RIKEN cDNA 4930555G01 gene (4930555G01Rik), mRNA [NM_175393]
A_52_P1084348	29.45	3.58E-03	AK032303	AK032303	adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430517L18 product:unclassifiable, full insert sequence. [AK032303]
A_52_P470150	29.38	5.82E-07	Ddc	NM_016672	dopa decarboxylase (Ddc), mRNA [NM_016672]
A_52_P197199	28.94	1.45E-04	Pcdh9	AY861425	protocadherin 9 isoform 1 (Pcdh9) mRNA, partial cds, alternatively spliced. [AY861425]
A_52_P401504	28.69	5.18E-04	Thbs4	NM_011582	thrombospondin 4 (Thbs4), mRNA [NM_011582]
