Probe Set ID	Gene	Ratio	95% CI	95% CI
205719_s_at	PAH	10.72	2.65	43.41
210982_s_at	HLA-DRA	9.64	4.03	23.03
207002_s_at	PLAGL1	7.45	2.76	20.14
214610_at	CYP11B1	6.72	2.65	17.04
211991_s_at	HLA-DPA1	5.99	3.59	9.98
207066_at	HRC	5.81	3.23	10.45
208894_at	HLA-DRA	5.07	2.51	10.23
219436_s_at	EMCN	4.55	2.58	8.03
214551_s_at	CD7	4.21	1.54	11.55
215193_x_at	HLA-DRB1	4.15	2.41	7.16
209312_x_at	HLA-DRB1	3.66	2.20	6.11
201137_s_at	HLA-DPB1	3.52	1.62	7.65
203381_s_at	APOE	3.46	1.76	6.78
202953_at	C1QB	3.27	1.75	6.10
204670_x_at	HLA-DRB1	3.11	1.45	6.67
215972_at	---	2.99	1.54	5.81
203669_s_at	DGAT1	2.93	1.69	5.10
208944_at	---	2.66	1.90	3.72
221087_s_at	APOL3	2.65	1.66	4.24
204342_at	SLC25A24	2.56	1.38	4.73
219388_at	TFCP2L3	2.47	1.71	3.59
201885_s_at	DIA1	2.28	1.67	3.13
219777_at	GIMAP6	2.23	1.43	3.48
203158_s_at	GLS	2.02	1.31	3.12
200914_x_at	KTN1	1.96	1.45	2.65
211256_x_at	BTN2A1	1.89	1.52	2.35
202181_at	KIAA0247	1.76	1.43	2.17
217202_s_at	GLUL	1.55	1.22	1.98
215493_x_at	BTN2A1	1.51	1.27	1.79
