CLID	Gene name	Rho	Mean Ratio Obese/Nonobese
428184	hypothetical protein MGC18216	0.62	1.95
259017	Transcribed sequence with weak similarity to protein ref:NP_071385.1 (H.sapiens) hypothetical protein FLJ20958 [Homo sapiens]	0.61	2.3
267691	hypothetical protein FLJ20360	0.6	1.85
814478	BCL2-related protein A1	0.6	1.96
1641595	KIAA1043 protein	0.59	1.94
2471879	protein tyrosine phosphatase, receptor type, C	0.59	2.31
127925	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	0.59	1.81
687875	cathepsin S	0.58	2
811590	BRIX	0.57	1.71
304908	NA	0.56	1.96
746229	mitogen-activated protein kinase kinase kinase kinase 4	0.55	2.28
268385	28kD interferon responsive protein	0.55	1.66
435509	leucyl-tRNA synthetase	0.54	2.75
412989	NA	0.54	2.04
840921	inhibitor of DNA binding 2, dominant negative helix–loop–helix protein	0.54	1.94
488130	synaptopodin 2	0.54	4.59
469549	hemoglobin, beta	0.53	5.88
844954	NA	0.52	3.07
356883	hypothetical protein SP192	0.52	1.92
266747	metalloprotease related protein 1	0.52	1.63
588661	NA	0.52	2.46
325117	hypoxia-inducible factor 1, alpha subunit (basic helix–loop–helix transcription factor)	0.52	1.82
768466	ribonucleotide reductase M2 B (TP53 inducible)	0.51	2.2
430007	transmembrane protein 5	0.51	1.93
260068	choline/ethanolaminephosphotransferase	0.51	2.02
