Symbol	Gene Name	log2 Fold change	q (%)
Cdk8	Cyclin-dependent kinase 8	1.84	0.29
Tnc	Tenascin C	1.23	0.29
Hs1bp1	HS1 binding protein	1.18	0.29
Myo10	Myosin X	0.99	0.29
Ier3	Immediate early response 3	0.90	0.29
Adamts4	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4	0.82	0.29
Pitrm1	Pitrilysin metalloprotease 1	0.79	0.29
Hdc	Histidine decarboxylase	0.76	0.29
Tes	Testis derived transcript	0.71	0.29
Sdc3	Syndecan 3	0.71	0.29
Extl3	Exostoses (multiple)-like 3	0.70	0.29
Catna1	Catenin alpha 1	0.70	0.29
Lsm2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.70	0.29
Nfyc	Nuclear transcription factor-Y gamma	0.70	0.29
Rps6ka3	Ribosomal protein S6 kinase polypeptide 3	0.69	0.29
Scmh1	Sex comb on midleg homolog 1	0.66	0.29
Odc1	Ornithine decarboxylase, structural 1	0.66	0.29
Luc7l2	LUC7-like 2 (S. cerevisiae)	0.66	0.29
Cttn	Cortactin	0.64	0.29
Hif1a	Hypoxia inducible factor 1, alpha subunit	0.63	0.29
Tia1	Cytotoxic granule-associated RNA binding protein 1	0.62	0.29
Fmnl2	Formin-like 2	0.61	0.29
Cacna1d	Calcium channel, voltage-dependent, L type, alpha 1D subunit	0.61	0.29
Tpk1	Thiamin pyrophosphokinase	0.60	0.29
Hspa14	Heat shock 70kDa protein 14	0.60	0.29
Uble1a	Ubiquitin-like 1 (sentrin) activating enzyme E1A	0.59	0.29
Limk1	LIM-domain containing, protein kinase	0.58	0.29
Crsp2	Cofactor required for Sp1 transcriptional activation, subunit 2	0.58	0.29
Ptprs	Protein tyrosine phosphatase, receptor type, S	0.58	0.29
Csrp2bp	Cysteine and glycine-rich protein 2 binding protein	0.58	0.29
Zfml	Zinc finger, matrin-like	0.58	0.29
Ccne1	Cyclin E1	0.57	0.29
Rpl7l1	Ribosomal protein L7-like 1	0.57	0.29
Cerk	Ceramide kinase	0.56	0.29
Smox	Spermine oxidase	0.56	0.29
Ppfibp1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	0.56	0.29
Ipo7	Importin 7	0.55	0.29
Mfge8	Milk fat globule-EGF factor 8 protein	0.54	0.29
Elac2	ElaC homolog 2 (E. coli)	0.54	0.29
Syt1	Synaptotagmin 1	0.54	0.29
Zfp9	Zinc finger protein 9	0.54	0.29
Luc7l	Luc7 homolog (S. cerevisiae)-like	0.54	0.29
Leprel2	Leprecan-like 2	0.54	0.29
Gpihbp1	GPI-anchored HDL-binding protein 1	0.54	0.29
Phf3	PHD finger protein 3	0.53	0.29
Mrpl9	Mitochondrial ribosomal protein L9	0.53	0.29
Myst2	MYST histone acetyltransferase 2	0.53	0.29
Polr3f	Polymerase (RNA) III (DNA directed) polypeptide F	0.52	0.29
Ctsl	Cathepsin L	0.51	0.29
Rnf3	Ring finger protein 3	0.51	0.29
Denr	Density-regulated protein	0.49	0.29
Umpk	Uridine monophosphate kinase	0.49	0.29
Fndc3	Fibronectin type III domain containing 3	0.48	0.29
Gtpbp4	GTP binding protein 4	0.46	0.29
Por	P450 (cytochrome) oxidoreductase	0.45	0.29
Dock9	Dedicator of cytokinesis 9	0.45	0.29
Pdcd4	Programmed cell death 4	0.45	0.29
Bach	Brain acyl-CoA hydrolase	0.44	0.29
Anapc4	Anaphase promoting complex subunit 4	0.44	0.29
Dnajc11	DnaJ (Hsp40) homolog, subfamily C, member 11	0.43	0.29
C1rl	Complement component 1, r subcomponent-like	0.43	0.29
Sh3d19	SH3 domain protein D19	0.42	0.29
Pkig	Protein kinase inhibitor, gamma	0.39	0.29
Mrpl15	Mitochondrial ribosomal protein L15	0.39	0.29
Pcyox1	Prenylcysteine oxidase 1	0.38	0.29
Gsto1	Glutathione S-transferase omega 1	0.38	0.29
Gusb	Glucuronidase, beta	0.38	0.29
Tfrc	Transferrin receptor	0.38	0.29
Catns	Catenin (cadherin associated protein), delta 1	0.37	0.29
Cct4	Chaperonin subunit 4 (delta)	0.37	0.29
Lrp10	Low-density lipoprotein receptor-related protein 10	0.36	0.29
Tulp3	Tubby-like protein 3	0.34	0.29
Litaf	LPS-induced TN factor	0.32	0.29
Pttg1ip	Pituitary tumor-transforming 1 interacting protein	0.32	0.29
Jarid1b	Jumonji, AT rich interactive domain 1B (Rbp2 like)	0.32	0.29
Pb1	Polybromo 1	0.32	0.29
Txndc7	Thioredoxin domain containing 7	0.32	0.29
Camk1	Calcium/calmodulin-dependent protein kinase I	0.31	0.29
Hsd17b4	Hydroxysteroid (17-beta) dehydrogenase 4	0.30	0.29
Pyp	Pyrophosphatase	0.30	0.29
Pep4	Peptidase 4	0.30	0.29
Eef1b2	Eukaryotic translation elongation factor 1 beta 2	0.29	0.29
Ppm1a	Protein phosphatase 1A, magnesium dependent, alpha isoform	0.28	0.29
Pabpc4	Poly(A)-binding protein, cytoplasmic pseudogene	0.26	0.29
Scotin	Scotin gene	0.26	0.29
Rnf166	Ring finger protein 166	0.26	0.29
Itpr5	Inositol 1,4,5-triphosphate receptor 5	0.25	0.29
Pscd2	Pleckstrin homology, Sec7 and coiled-coil domains 2	0.23	0.29
Capg	Capping protein (actin filament), gelsolin-like	0.23	0.29
Klf4	Kruppel-like factor 4 (gut)	0.23	0.29
Xpot	Exportin, tRNA (nuclear export receptor for tRNAs)	0.19	0.29
