Genes	Symbol	Expression
18-kDa antrum mucosa protein	AMP18	Down-regulated genes
ATPase, Ca2+ transporting, ubiquitous	ATP2A3	Down-regulated genes
Carbonic anhydrase I	CA1	Down-regulated genes
Deleted in azoospermia 2	DAZ2	Down-regulated genes
Deleted in azoospermia 3	DAZ3	Down-regulated genes
Deleted in azoospermia 4	DAZ4	Down-regulated genes
Fatty acid binding protein 1, liver	FABP1	Down-regulated genes
Hypothetical protein FLJ21458	FLJ21458	Down-regulated genes
Mucin 2, intestinal/tracheal	MUC2	Down-regulated genes
Mucin 5, subtype B, tracheobronchial	MUC5B	Down-regulated genes
Mucin and cadherin-like	MUCDHL	Down-regulated genes
Nudix (nucleoside diphosphate linked moiety X)–type motif 2	NUDT2	Down-regulated genes
Orosomucoid 1	ORM1	Down-regulated genes
Pepsinogen 5, group I	PGA5	Down-regulated genes
Phosphoenolpyruvate carboxykinase 1 (soluble)	PCK1	Down-regulated genes
Plasma glutamate carboxypeptidase	PGCP	Down-regulated genes
Progastricsin (pepsinogen C)	PGC	Down-regulated genes
Protease, serine, 7 (enterokinase)	PRSS7	Down-regulated genes
Secretoglobin, family 2A, member 1	SCGB2A1	Down-regulated genes
Solute carrier family 26, member 3	SLC26A3	Down-regulated genes
Sucrase-isomaltase	SI	Down-regulated genes
UDP glycosyltransferase 2 family, polypeptide B17	UGT2B17	Down-regulated genes
A disintegrin-like and metalloprotease with thrombospondin type 1 motif, 1	ADAMTS1	Up-regulated genes
Connective tissue growth factor	CTGF	Up-regulated genes
Defensin, ?4	DEFB4	Up-regulated genes
Dual specificity phosphatase 6	DUSP6	Up-regulated genes
Early growth response 3	EGR3	Up-regulated genes
Early growth response 4	EGR4	Up-regulated genes
Fibroblast growth factor receptor 2	FGFR2	Up-regulated genes
?-Aminobutyric acid A receptor, ?	GABRP	Up-regulated genes
Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	HS3ST1	Up-regulated genes
Inhibitor of growth family, member 1	ING1	Up-regulated genes
Nuclear receptor subfamily 4, group A, member 3	NR4A3	Up-regulated genes
Phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	Up-regulated genes
Pleckstrin homology-like domain, family A, member 1	PHLDA1	Up-regulated genes
Protocadherin ?12	PCDHA12	Up-regulated genes
Ribosomal protein S6 kinase, 70 kDa, polypeptide 1	RPS6KB1	Up-regulated genes
Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	SLC7A5	Up-regulated genes
SRY (sex determining region Y)-box 9	SOX9	Up-regulated genes
WEE1 homologue (Schizosaccharomyces pombe)	WEE1	Up-regulated genes
