Region	Clone ID	UniGene ID	Gene	Description	p53 Effect	Rx effect
E	306771	Hs.56145	TMSNB	Thymosin, ?, identified in neuroblastoma cells	0.39	0.07
NE	2184182	Hs.79037	HSPD1	Heat shock Mr 60,000 protein 1 (chaperonin)	0.49	0.11
E	742132	Hs.833	ISG15	Interferon-induced Mr17,000 protein	0.28	0.07
E	742132	Hs.833	ISG15	Interferon-induced Mr17,000 protein	0.28	0.07
E	262053	Hs.279923	E2IG3	Putative nucleotide-binding protein, estradiol-induced	0.33	0.07
E	325606	Hs.74346		ESTsa	0.36	0.08
NE	198453	Hs.181392	HLA-E	MHC class I = HLA-E	0.33	0.11
E	324873	Hs.180919	ID2	Id2 = Id2H = inhibitor of DNA binding 2	0.21	0.09
NE	300944	Hs.75878	EDR2	HPH2 = polyhomeotic 2 homologue	0.44	0.11
E	358214	Hs.75462	BTG2	BTG2 = p53-dependent inducible anti-proliferative gene	0.44	0.1
NE	73596	Hs.35086	USP1	Ubiquitin-specific protease 1	0.37	0.11
E	115295	Hs.77602	DDB2	Damage-specific DNA-binding protein 2	0.4	0.07
NE	243882	Hs.100980	PPM1D	Protein phosphatase Wip1	0.27	0.2
NE	299745	Hs.82359	TNFRSF6	CD95 = Fas	0.29	0.15
NE	752631	Hs.1420	FGFR3	FGFR3 = fibroblast growth factor receptor 3	0.21	0.13
NE	810999	Hs.76686	GPX1	Glutathione peroxidase 1	0.25	0.11
NE	460673	Hs.87465	HEAB	ATP/GTP-binding protein	0.28	0.17
NE	358162	Hs.23642	HSU79266	Protein predicted by clone 23627	0.25	0.12
NE	744917	Hs.11342	NINJ1	Ninjurin 1	0.24	0.13
NE	139681	Hs.117546	NNAT	Neuronatin	0.27	0.13
NE	739192	Hs.153640	CNK	PRK = putative serine/threonine protein kinase	0.2	0.16
N	269295	Hs.79197	CD83	CD83 = B-cell activation protein	0.08	0.14
N	769890	Hs.75514	NP	Nucleoside phosphorylase	0.07	0.14
N	68950	Hs.9700	CCNE1	Cyclin E1	?0.05	0.16
