Category	Gene ID	Symbol	Gene description	10 ?mol/L MGd + 50 ?mol/L zinc FC†	P	10 ?mol/L MGd + 25 ?mol/L zinc FC†	P	10 ?mol/L MGd FC†	P	50 ?mol/L zinc FC†	P
Metal sequestration	4493	MT1E	Metallothionein 1E (functional)	3.2	0.05	1.9	0.025	1.1	0.128	1.3	0.112
Metal sequestration	4494	MT1F	Metallothionein 1F (functional)	18.7	0.003	8.5	0.001	3.5	0	4.7	0.001
Metal sequestration	4495	MT1G	Metallothionein 1G	9.1	0.005	5.1	0.022	1.6	0.176	2	0.124
Metal sequestration	4496	MT1H	Metallothionein 1H	27.4	0.002	13.6	0.001	2.5	0.017	5	0.008
Metal sequestration	—	—	Metallothionein 1 H-like	26.4	0.013	24.6	0.001	3.7	0.002	7.5	0.002
Metal sequestration	4501	MT1X	Metallothionein 1X	24.6	0.002	14.3	0.001	3.4	0.008	5.2	0.004
Metal sequestration	—	MT2A	Metallothionein 2A	42.4	0.003	20.4	0.004	5.5	0	8.2	0.004
Metal sequestration	—	—	Similar to human metallothionein-IF	10.6	0.005	7	0.001	2.6	0.004	3.4	0.001
Metal transporters	7779	SLC30A1	Solute carrier family 30 (zinc transporter), member 1	20	0.001	12	0.001	7.6	0	7.3	0.005
Metal transporters	7779	SLC30A1	Solute carrier family 30 (zinc transporter), member 1	6.7	0.007	2.7	0.002	1.3	0.108	2.1	0.02
Metal transporters	57181	SLC39A10	Solute carrier family 39 (zinc transporter), member 10	2.8	0.003	2.7	0	2.1	0.002	1.9	0.006
Metal transporters	57181	SLC39A10	Solute carrier family 39 (zinc transporter), member 10	?2.4	0.005	?2.4	0.005	?2.4	0.005	?2.4	0.005
Metal transporters	23516	SLC39A14	Solute carrier family 39 (zinc transporter), member 14	2.6	0.01	?1.0	0.423	1	0.482	2.3	0.007
Metal transporters	55334	SLC39A9	Solute carrier family 39 (zinc transporter), member 9	3.7	0.015	1.2	0.205	1.2	0.43	2.4	0.072
Metal transporters	7037	TFRC	Transferrin receptor (p90, CD71)	5.3	0.001	1.3	0.357	1.6	0.111	5.4	0.002
Antioxidant	3162	HMOX1	Heme oxygenase (decycling) 1	4.4	0.01	1	1	1	1	1	1
Antioxidant	5034	P4HB	Procollagen-proline, 2-oxoglutarate 4-dioxygenase	2.7	0.001	1.4	0.039	1.4	0.062	2.4	0.002
Antioxidant	6415	SEPW1	Selenoprotein W, 1	2.8	0.003	1.9	0.005	1.4	0.11	1.4	0.095
Antioxidant	83667	SESN2	Sestrin 2	4.4	0	2.2	0.007	1.2	0.315	1.3	0.103
Antioxidant	7296	TXNRD1	Thioredoxin reductase 1	2	0.004	2.1	0	1.2	0.12	1.3	0.006
Chaperone related	22824	APG-1	Heat shock protein (hsp110 family)	2.6	0	1.6	0.003	1	0.91	1.4	0.102
Chaperone related	9531	BAG3	BCL2-associated athanogene 3	8	0.005	3.1	0	1.4	0.031	1.2	0.251
Chaperone related	821	CANX	DnaJ (Hsp40) homologue, subfamily B, member 1	2.5	0.002	1.2	0.19	1.2	0.263	2	0.004
Chaperone related	3337	DNAJB1	DnaJ (Hsp40) homologue, subfamily B, member 4	4.7	0	2.3	0	1.3	0.013	?1.5	0.017
Chaperone related	11080	DNAJB4	DnaJ (Hsp40) homologue, subfamily B, member 6	3	0.002	1.5	0.003	1.1	0.354	1.3	0.03
Chaperone related	10049	DNAJB6	DnaJ (Hsp40) homologue, subfamily C, member 3	3.2	0	1.9	0.006	1.3	0.047	1.4	0.021
Chaperone related	5611	DNAJC3	Heat shock 105 kDa/110 kDa protein 1	3.3	0.001	1.2	0.27	1.1	0.418	3.1	0.007
Chaperone related	3303	HSPA1A	Heat shock 27 kDa protein 1	26.7	0.001	6.8	0	2.3	0.002	2.2	0.002
Chaperone related	3304	HSPA1B	Heat shock 60 kDa protein 1 (chaperonin)	10.7	0	4.7	0	1.9	0.004	1.7	0.01
Chaperone related	3308	HSPA4	Heat shock 70 kDa protein 1A/1B	3.6	0.001	1.7	0.061	1.5	0.116	2	0.016
Chaperone related	3315	HSPB1	Heat shock 70 kDa protein 1B	4.2	0.02	1.9	0.009	1.1	0.09	1.2	0.113
Chaperone related	3326	HSPCB	Heat shock 70 kDa protein 4	2.2	0.003	1.4	0.064	1.3	0.154	1.7	0.025
Chaperone related	3329	HSPD1	Heat shock 90 kDa protein 1, ?	4.6	0.002	1.2	0.344	1.3	0.226	1.6	0.007
Chaperone related	10808	HSPH1	Heat shock protein (hsp110 family)	6.6	0	2.6	0.008	1.4	0.148	2.3	0.009
Glutathione related	1491	CTH	Cystathionase (cystathionine ?-lyase)	3.9	0	2.2	0.005	1.3	0.12	1.7	0.007
Glutathione related	2730	GCLM	Glutamate-cysteine ligase, modifier subunit	2.4	0.005	1.6	0	1	0.623	1.2	0.223
Glutathione related	84706	GPT2	Glutamic pyruvate transaminase 2	1.8	0.001	1.2	0.081	1.1	0.471	1.3	0.046
Glutathione related	2744	GLS	Glutaminase	?2.0	0.001	?1.7	0.001	?1.2	0.027	?1.2	0.066
Glutathione related	2936	GSR	Glutathione reductase	2.2	0.008	1.2	0.123	1.1	0.347	1.9	0.001
Transporters	6509	SLC1A4	Solute carrier family 1, member 4	3.3	0	1.5	0.011	1.1	0.377	2	0.009
Transporters	6520	SLC3A2	Solute carrier family 16, member 1	2.1	0.006	1.4	0.027	1.1	0.244	1.3	0.108
Transporters	6566	SLC16A1	Solute carrier family 16, member 6	3.4	0.006	1.3	0.273	1.6	0.06	3.7	0.002
Transporters	9120	SLC16A6	Solute carrier family 3, member 2	2.8	0	1.6	0.016	1.1	0.552	1.5	0.013
Transporters	54407	SLC38A2	Solute carrier family 38, member 2	10.1	0	4	0	1.6	0.012	2.2	0.002
Transporters	8501	SLC43A1	Solute carrier family 43, member 1	2.1	0.001	1.6	0.001	1.2	0.009	1.3	0.03
Transporters	6541	SLC7A1	Solute carrier family 7, member 1	2.4	0.01	1.3	0.263	1	0.986	1.8	0.057
Transporters	23657	SLC7A11	Solute carrier family 7, member 11	10.2	0.003	4.8	0.003	1.8	0.018	2.2	0.107
Metabolism	178	AGL	Amylo-1,6-glucosidase, 4-?-glucanotransferase	?1.6	0.009	?1.3	0.029	?1.1	0.321	?1.1	0.362
Metabolism	7915	ALDH5A1	Aldehyde dehydrogenase 5 family, member A1	3.5	0	1.6	0.003	1.3	0.026	3.5	0.019
Metabolism	4329	ALDH6A1	Aldehyde dehydrogenase 6 family, member A1	1.9	0.001	1.1	0.222	?1.1	0.377	1.3	0.077
Metabolism	1717	DHCR7	7-Dehydrocholesterol reductase	?1.6	0.004	?1.3	0.078	?1.2	0.045	?1.3	0.024
Metabolism	2023	ENO1	Enolase 1 (?)	1.7	0.004	1.2	0.001	1.2	0.005	1.5	0.005
