Gene symbol	Median change	Description	Function
POSTN	34.67	Periostin, osteoblast-specific factor	Cell adhesion
FN1	21	Fibronectin 1	Cell adhesion
CD99	7.87	CD99 antigen	Cell adhesion
TNC	5.79	Tenascin C	Cell adhesion
MSN	5.02	Moesin	Cell adhesion
IGFBP3	4.9	Insulin-like growth factor binding protein 3	Cell adhesion
TIMP1	4.4	Tissue inhibitor of metalloproteinase 1	Cell adhesion
APOC1	4.19	Apolipoprotein C-I	Cell adhesion
CCL20	3.26	Chemokine (C-C motif) ligand 20	Cell adhesion
MET	-2.9	Met proto-oncogene (hepatocyte growth factor receptor)	Cell adhesion
CNTN1	-5.66	Contactin 1	Cell adhesion
STMN1	-8.21	Stathmin 1/oncoprotein 18	Cell adhesion
RAMP	8.2	RA-regulated nuclear matrix-associated protein	Signal transduction
P2RY5	6.01	Purinergic receptor P2Y, G-protein coupled, 5	Signal transduction
MAP3K1	5.42	Mitogen-activated protein kinase kinase kinase 1	Signal transduction
FGFR4	5.27	Fibroblast growth factor receptor 4	Signal transduction
HLA-DPA1	5.21	Major histocompatibility complex, class II, DP a 1	Signal transduction
EGR1	4.25	Early growth response 1	Signal transduction
CXCR4	3.57	Chemokine (C-X-C motif) receptor 4	Signal transduction
PDGFC	3.19	Platelet-derived growth factor C	Signal transduction
ITGB3BP	3.07	Integrin b3 binding protein	Signal transduction
LBR	2.97	Lamin B receptor	Signal transduction
GPR51	-16.36	G protein-coupled receptor 51	Signal transduction
CHN1 (ARHGAP2)	-21.32	Chimerin 1	Signal transduction
ASPM	11.47	Asp (abnormal spindle)-like, microcephaly associated	Cell cycle
NRAS	10.81	Neuroblastoma RAS viral (v-ras) oncogene homolog	Cell cycle
CDC2	10.45	Cell division cycle 2, G1 to S and G2 to M	Cell cycle
CDCA7	3.82	Cell division cycle-associated 7	Cell cycle
CDKN2C	3.45	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Cell cycle
MAD2L1	3.4	MAD2 mitotic arrest deficient-like 1	Cell cycle
PTTG1	2.98	Pituitary tumor-transforming 1	Cell cycle
CCNA2	2.7	Cyclin A2	Cell cycle
CDK4	2.66	Cyclin-dependent kinase 4	Cell cycle
PCNA	2.65	Proliferating cell nuclear antigen	Cell cycle
RRAS	2.26	Related RAS viral (r-ras) oncogene homolog	Cell cycle
CAMK2G	-3.71	Calcium/calmodulin-dependent protein kinase (CaM kinase) II g	Cell cycle
CDKN2D	-4.49	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	Cell cycle
PAK3	-6.76	P21 (CDKN1A)-activated kinase 3	Cell cycle
CALM3	-10.05	Calmodulin 3	Cell cycle
APOD1	-14.3	Apolipoprotein D1	Cell cycle
USP7	-15.77	Ubiquitin specific protease 7	Cell cycle
ANXA1	13.84	Annexin A1	Apoptosis
NME3	9.31	Nonmetastatic cells 3	Apoptosis
ANXA5	4.45	Protein expressed in Annexin A5	Apoptosis
CASP1	3.56	Caspase 1, apoptosis-related cysteine protease	Apoptosis
LGALS1	3.21	Lectin, galactoside-binding, soluble, 1 (galectin 1)	Apoptosis
ANXA4	2.49	Annexin A4	Apoptosis
VCAM1	6.75	Vascular cell adhesion molecule 1	Vascular involvement/angiogenesis
EGFL7	3.35	EGF-like-domain, multiple 7	Vascular involvement/angiogenesis
HIF1A	3.25	Hypoxia-inducible factor 1, a subunit	Vascular involvement/angiogenesis
