Probe set name	Gene name(symbol)	qup	Expression
101975_at	Delta-like 1 homolog (Drosophila) (Dlk1)	0.004	Up-progression
100046_at	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 (Mthfd2)	0.03	Up-progression
93866_s_at	Matrix gamma-carboxyglutamate (gla) protein (Mglap)	0.025	Up-progression
101900_at	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (Cdkn2b)	0.026	Up-progression
98531_g_at	Growth arrest specific 5 (Gas5)	0.004	Up-progression
96717_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 (Ddx47)	0.014	Up-progression
102044_at	WNT1 inducible signaling pathway protein 1 (Wisp1)	0.026	Up-progression
95529_at	Drebrin-like (Dbnl)	0.004	Up-progression
94367_at	Uridine-cytidine kinase 2 (Uck2)	0.006	Up-progression
160857_at	Ephrin B2 (Efnb2)	0.004	Up-progression
104048_at	Cysteinyl-tRNA synthetase (Cars)	0.03	Up-progression
94238_at	RIKEN cDNA 2310046G15 gene (2310046G15Rik)	0.008	Up-progression
161067_at	Tribbles homolog 3 (Trib3)	0.004	Up-progression
93383_at	Procollagen, type VII, alpha 1 (Col7a1)	0.01	Up-progression
100127_at	Cellular retinoic acid binding protein II (Crabp2)	0.004	Up-progression
92323_at	Mitogen-activated protein kinase 12 (Mapk12)	0.004	Up-progression
100600_at	CD24a antigen (Cd24a)	0.004	Up-progression
97500_g_at	Four and a half LIM domains 1 (Fhl1)	0.004	Up-progression
104449_at	Glycine receptor, beta subunit (Glrb)	0.018	Up-progression
96272_at	Protein tyrosine phosphatase, receptor type, F (Ptprf)	0.013	Up-progression
98862_at	Wingless related MMTV integration site 10a (Wnt10a)	0.018	Up-progression
101059_at	Necdin (Ndn)	0.004	Up-progression
97994_at	Transcription factor 7, T-cell specific (Tcf7)	0.004	Up-progression
104509_at	Cholesterol 25-hydroxylase (Ch25h)	0.004	Up-progression
96747_at	Ras homolog gene family, member U (Rhou)	0.004	Up-progression
94815_at	2,3-bisphosphoglycerate mutase (Bpgm)	0.004	Up-progression
97733_at	Adenosine A2b receptor (Adora2b)	0.026	Up-progression
97520_s_at	Neuronatin (Nnat)	0.014	Up-progression
160905_s_at	RIKEN cDNA A030009H04 gene (A030009H04Rik)	0.004	Up-progression
161028_at	Bone morphogenetic protein 6 (Bmp6)	0.024	Up-progression
104232_at	Gap junction membrane channel protein beta 3 (Gjb3)	0.012	Up-progression
162011_f_at	Ras homolog gene family, member U (Rhou)	0.012	Up-progression
94776_f_at	Killer cell lectin-like receptor, subfamily A, member 4 (Klra4)	0.005	Up-progression
93503_at	Secreted frizzled-related sequence protein 2 (Sfrp2)	<0.001	Down-progression
95493_at	Procollagen, type VI, alpha 1 (Col6a1)	0.003	Down-progression
101110_at	Procollagen, type VI, alpha 3 (Col6a3)	<0.001	Down-progression
99586_at	Cystatin C (Cst3)	0.003	Down-progression
93077_s_at	Lymphocyte antigen 6 complex, locus C (Ly6c)	0.003	Down-progression
95516_at	RAB9, member RAS oncogene family (Rab9)	<0.001	Down-progression
100064_f_at	Gap junction membrane channel protein alpha 1 (Gja1)	0.004	Down-progression
99552_at	Snail homolog 2 (Drosophila) (Snai2)	0.007	Down-progression
95016_at	Neuropilin (Nrp)	<0.001	Down-progression
101039_at	Procollagen, type IV, alpha 2 (Col4a2)	0.003	Down-progression
94338_g_at	Growth arrest specific 2 (Gas2)	<0.001	Down-progression
162459_f_at	Procollagen, type VI, alpha 1 (Col6a1)	0.002	Down-progression
97942_g_at	Calpain 6 (Capn6)	<0.001	Down-progression
97943_at	Calpain 6 (Capn6)	0.002	Down-progression
94345_at	Interleukin 6 signal transducer (Il6st)	0.002	Down-progression
92877_at	Transforming growth factor, beta induced (Tgfbi)	0.003	Down-progression
96662_at	Phosphatidic acid phosphatase type 2B (Ppap2b)	<0.001	Down-progression
160638_at	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) (Cdkn2c)	<0.001	Down-progression
93188_at	Dickkopf homolog 3 (Xenopus laevis) (Dkk3)	<0.001	Down-progression
98136_at	Spermine synthase (Sms)	<0.001	Down-progression
100435_at	Endothelial differentiation, lysophos. acid G-prot-coupled rcptr 2 (Edg2)	0.006	Down-progression
103756_at	cDNA sequence BC023829 (BC023829)	0.003	Down-progression
102223_at	Periplakin (Ppl)	0.002	Down-progression
93728_at	Transforming growth factor beta 1 induced transcript 4 (Tgfb1i4)	0.007	Down-progression
104003_at	Phosphorylase kinase alpha 2 (Phka2)	0.002	Down-progression
93743_at	Heat shock factor binding protein 1 (Hsbp1)	0.027	Down-progression
93914_at	Interleukin 1 receptor, type I (Il1r1)	0.002	Down-progression
92555_at	Transmembrane 4 superfamily member 6 (Tm4sf6)	<0.001	Down-progression
93913_at	RIKEN cDNA 3110018A08 gene (3110018A08Rik)	<0.001	Down-progression
95731_at	Sestrin 1 (Sesn1)	0.003	Down-progression
95019_at	Glutathione S-transferase, theta 1 (Gstt1)	0.007	Down-progression
104174_at	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Enpp1)	<0.001	Down-progression
162081_f_at	RIKEN cDNA 0610010E05 gene (0610010E05Rik)	0.004	Down-progression
99444_at	Receptor (calcitonin) activity modifying protein 2 (Ramp2)	<0.001	Down-progression
104601_at	Thrombomodulin (Thbd)	<0.001	Down-progression
102327_at	Amine oxidase, copper containing 3 (Aoc3)	0.003	Down-progression
160319_at	SPARC-like 1 (mast9, hevin) (Sparcl1)	<0.001	Down-progression
92357_at	A disintegrin and metalloprotease domain 23 (Adam23)	0.003	Down-progression
92722_f_at	Sine oculis-related homeobox 1 homolog (Drosophila) (Six1)	<0.001	Down-progression
98924_at	ADP-ribosyltransferase 3 (Art3)	<0.001	Down-progression
102657_at	H2.0-like homeo box 1 (Drosophila) (Hlx)	0.006	Down-progression
98960_s_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase (B3galt3)	0.006	Down-progression
102871_at	Eph receptor B6 (Ephb6)	0.003	Down-progression
96122_at	RIKEN cDNA 2310016A09 gene (2310016A09Rik)	0.003	Down-progression
100065_r_at	Gap junction membrane channel protein alpha 1 (Gja1)	0.007	Down-progression
97941_at	Calpain 6 (Capn6)	0.006	Down-progression
160530_at	Growth hormone inducible transmembrane protein (Ghitm)	0.022	Down-progression
100697_at	Paired box gene 3 (Pax3)	0.007	Down-progression
104519_at	Inter-alpha trypsin inhibitor, heavy chain 2 (Itih2)	0.012	Down-progression
161173_f_at	Interferon activated gene 202B (Ifi202b)	0.018	Down-progression
101991_at	Flavin containing monooxygenase 1 (Fmo1)	0.003	Down-progression
103484_at	Popeye domain containing 3 (Popdc3)	0.003	Down-progression
100567_at	Fatty acid binding protein 4, adipocyte (Fabp4)	0.007	Down-progression
103493_at	Neuromedin B (Nmb)	0.017	Down-progression
