Gene symbol	Gene description	Fold change EAC vs NE	BE vs NE	Function
TNFRSF10C	Tumor necrosis factor receptor superfamily, member 10c	4.7	3.12	Antiapoptosis or apoptosis b
LTA	Lymphotoxin alpha (TNF superfamily, member 1)	4.58	4.04	Antiapoptosis or apoptosis b
MAL	Mal, T-cell differentiation protein	0.21	0.43	Antiapoptosis or apoptosis b
LGALS7	Lectin, galactoside-binding, soluble 7	0.07	0.33	Antiapoptosis or apoptosis b
ARPC3	Actin related protein 2/3 complex, subunit 3	9.34	20.59	Cell adhesion, motility and proliferation
GAL5	Galectin-5	9.23	11.9	Cell adhesion, motility and proliferation
TSPAN-1	Tetraspan TM4SF	8.23	7.3	Cell adhesion, motility and proliferation
LAMC2	Laminin, gamma 2	6.27	2.9	Cell adhesion, motility and proliferation
TS4SF8	Transmembrane 4 superfamily member 9	4.51	3.64	Cell adhesion, motility and proliferation
RELN	Reelin	0.16	0.42	Cell adhesion, motility and proliferation
ANXA1	Annexin A1	0.14	0.3	Cell adhesion, motility and proliferation
ARS	ARS component B	0.03	0.28	Cell adhesion, motility and proliferation
CRIP1	Cysteine-rich protein 1	5.33	3.7	Cell cycle, cell growth and proliferation
EMP1	Epithelial membrane protein 1	0.2	0.28	Cell cycle, cell growth and proliferation
VAT1	Vesicle amine transport protein 1 homolog	0.18	0.27	Cell cycle, cell growth and proliferation
ALOX12	Arachidonate 12-lipoxygenase	0.09	0.3	Cell cycle, cell growth and proliferation
KRT6A	Keratin 6A	0.04	0.22	Cell cycle, cell growth and proliferation
TM4SF3	Transmembrane 4 superfamily member 4	8.26	4.54	Cellular physiological process
KRT8	Keratin 8	7.73	5.19	Cellular physiological process
COL4A2	Collagen, type IV, alpha 2	5.38	2.02	Cellular physiological process
SERPINH1	Serine proteinase inhibitor, clade H	4.7	2.36	Cellular physiological process
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	0.24	0.32	Cellular physiological process
KRT4	Keratin 4	0.17	0.23	Cellular physiological process
PGD	Phosphogluconate dehydrogenase	0.15	0.24	Cellular physiological process
KRT1	Keratin 1 (epidermolytic hyperkeratosis)	0.06	0.15	Cellular physiological process
LYZ	Lysozyme (renal amyloidosis)	7.5	6.99	Metabolism and catabolism
CYBA	Cytochrome b-245, alpha polypeptide	7.32	4.32	Metabolism and catabolism
HGD	Homogentisate 1,2-dioxygenase	6.38	4.15	Metabolism and catabolism
PSMB8	Proteasome subunit, beta type 8	5.37	2.13	Metabolism and catabolism
AZGP1	Alpha-2-glycoprotein 1, zinc	4.98	4.68	Metabolism and catabolism
FDXR	Ferredoxin reductase	0.24	0.47	Metabolism and catabolism
CDA	Cytidine deaminase	0.17	0.47	Metabolism and catabolism
GPX3	Glutathione peroxidase 3	0.17	0.31	Metabolism and catabolism
CBR3	Carbonyl reductase 3	0.16	0.29	Metabolism and catabolism
SULT2B1	Sulfotransferase family, cytosolic 2B, member 1	0.12	0.33	Metabolism and catabolism
CREB3L1	CAMP responsive element binding protein 3-like 1	9.4	9.08	Regulation of transcription
FOXA3	Forkhead box A3	9.16	5.31	Regulation of transcription
TCEAL1	Transcription elongation factor A(SII)-like 1	5.8	3.24	Regulation of transcription
NR0B2	Nuclear receptor subfamily 0, group B, member 2	4.67	4.95	Regulation of transcription
PAX9	Paired box gene 9	0.2	0.35	Regulation of transcription
RARG	Retinoic acid receptor, gamma	0.2	0.24	Regulation of transcription
TRIM29	Tripartite motif-containing 29	0.14	0.21	Regulation of transcription
CRABP2	Cellular retinoic acid binding protein 3	0.13	0.18	Regulation of transcription
MAFG	V-maf musculoaponeurotic fibrosarcoma oncogene homologG	0.11	0.21	Regulation of transcription
NFRKB	Nuclear factor related to kappa B binding protein	0.09	0.33	Regulation of transcription
ECM1	Extracellular matrix protein 1	0.08	0.47	Regulation of transcription
CXCL3	Chemokine (C-X-C motif) ligand 3	9.18	3.53	Signal transduction
GDF15	Growth differentiation factor 15	6.07	3.82	Signal transduction
PDGFA	Platelet-derived growth factor alpha polypeptide	5.18	2.35	Signal transduction
GJB1	Gap junction protein, beta 2	4.83	5.58	Signal transduction
INSR	Insulin receptor	4.68	2.92	Signal transduction
INI1A	Integrase interactor 1a protein	0.25	0.36	Signal transduction
ARF4L	ADP-ribosylation factor 4-like	0.16	0.39	Signal transduction
NEDD9	Neural precursor cell expressed, developmentally down-regulated 9	0.13	0.32	Signal transduction
PNPLA2	Patatin-like phospholipase domain containing 2	16.33	6.46	Biological processing unknown
AGR2	Anterior gradient 2 homolog	14.63	7.87	Biological processing unknown
AADAT	Aminoadipate aminotransferase	4.6	2.38	Biological processing unknown
ANXA8	Annexin A8	0.22	0.39	Biological processing unknown
SERPINB3	Serine proteinase inhibitor, clade B member 3	0.21	0.26	Biological processing unknown
SPRR2C	Small proline-rich protein 2C	0.19	0.45	Biological processing unknown
CSTA	Cystatin A (stefin A)	0.17	0.27	Biological processing unknown
LY6G6C	Lymphocyte antigen 6 complex, locus G6C	0.15	0.2	Biological processing unknown
S100A2	S100 calcium-binding protein A2	0.14	0.25	Biological processing unknown
TPD52L2	Tumor protein D52-like 2	0.14	0.27	Biological processing unknown
CSTB	Cystatin B (stefin B)	0.11	0.29	Biological processing unknown
KIAA0657	KIAA0657 Protein	0.11	0.2	Biological processing unknown
PPL	Periplakin	0.06	0.27	Biological processing unknown
