Probe set ID	Gene symbol	Gene name
1035_g_at	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
1038_s_at	IFNGR1	interferon gamma receptor 1
1054_at	RFC4	replication factor C (activator 1) 4 (37kD)
1105_s_at	TRB	T cell receptor beta locus
1375_s_at	TIMP2	tissue inhibitor of metalloproteinase 2
1460_g_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
1506_at	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)
1583_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B
1633_g_at	PIM2	pim-2 oncogene
1641_s_at	DDB1	damage-specific DNA binding protein 1 (127kD)
174_s_at	U61167	Human SH3 domain-containing protein SH3P18 mRNA, complete cds
1884_s_at	PCNA	proliferating cell nuclear antigen
1892_s_at	Trk
203_at	GATA2	GATA binding protein 2
262_at	AMD1	S-adenosylmethionine decarboxylase 1
31797_at	TBPL1	TBP-like 1
31805_at	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
31880_at	D8S2298E	reproduction 8
32206_at	KIAA0451	KIAA0451 gene product
32249_at	HFL1	H factor (complement)-like 1
32250_at	HF1	H factor 1 (complement)
32617_at	FLJ10719	hypothetical protein FLJ10719
32663_at	RHAG	Rhesus blood group-associated glycoprotein
32805_at	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
32827_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2
33063_at	GP1BA	glycoprotein Ib (platelet), alpha polypeptide
33227_at	IL10RB	interleukin 10 receptor, beta
33252_at	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
33355_at	DKFZp586J2118	Homo sapiens mRNA; cDNA DKFZp586J2118 (from clone DKFZp586J2118)
33390_at	STK17B	serine/threonine kinase 17b (apoptosis-inducing)
33411_g_at	ITGA6	integrin, alpha 6
33412_at	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)
33421_s_at	SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like
33598_r_at	CIAS1	cold autoinflammatory syndrome 1
33791_at	DLEU1	deleted in lymphocytic leukemia, 1
33813_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B
33821_at	HELO1	homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2
33894_at	NET1	neuroepithelial cell transforming gene 1
34280_at	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon
34339_at	CYB5-M	cytochrome b5 outer mitochondrial membrane precursor
34356_at	SURB7	SRB7 suppressor of RNA polymerase B homolog (yeast)
34376_at	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
34412_s_at	PNUTL1	peanut-like 1 (Drosophila)
34517_at	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
34673_r_at	CGI-142	hepatoma-derived growth factor 2
34714_at	SAMHD1	SAM domain and HD domain, 1
34764_at	LARS2	leucyl-tRNA synthetase, mitochondrial
34792_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1
34795_at	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2
34819_at	CD164	CD164 antigen, sialomucin
34916_s_at	TNFRSF4	tumor necrosis factor receptor superfamily, member 4
35101_at	GP9	glycoprotein IX (platelet)
35160_at	LDB1	LIM domain binding 1
35172_at	TPST2	tyrosylprotein sulfotransferase 2
35177_at	KIAA0725	KIAA0725 protein
35218_at	PDCD10	programmed cell death 10
35291_at	BAG2	BCL2-associated athanogene 2
35318_at	KIAA0475	KIAA0475 gene product
35364_at	APPBP1	amyloid beta precursor protein binding protein 1, 59kD
35481_at	KIAA0865	KIAA0865 protein
35627_at	SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kD, acidic component)
35628_at	TM7SF2	transmembrane 7 superfamily member 2
35638_at	CBFA2T1	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related
35640_at	CBFA2T1	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related
35724_at	PIR	Pirin
35752_s_at	PROS1	protein S (alpha)
35756_at	RGS19IP1	regulator of G-protein signalling 19 interacting protein 1
35771_at	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)
35800_at	PAFAH1B3	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit (29kD)
35839_at	SQLE	squalene epoxidase
35869_at	MD-1	MD-1, RP105-associated
35939_s_at	POU4F1	POU domain, class 4, transcription factor 1
