Public ID	Gene title	Gene symbol	Fold change	AdjustedP	Function
X70058	Chemokine (C-C motif) ligand 7	Ccl7	82	0.007094	Chemotaxis
AJ223208	Cathepsin S	Ctss	74	0.002918	Proteolysis and peptidolysis
AB023418	Chemokine (C-C motif) ligand 8	Ccl8	66	0.033688	Chemotaxis
J04491	Chemokine (C-C motif) ligand 3	Ccl3	64	0.000088	Chemotaxis
M90388	Protein tyrosine phosphatase, nonreceptor type 8	Ptpn8	47	0.000003	Protein amino acid dephosphorylation
X98471	Epithelial membrane protein 1	Emp1	34	0.000134	Cell growth
X16834	Lectin, galactose binding, soluble 3	Lgals3	33	0.002719	NA
M80778	Selectin, endothelial cell	Sele	28	0.000222	Cell adhesion
Z80112	Chemokine (C-X-C motif) receptor 4	Cxcr4	27	0.000426	Chemotaxis
U83148	Nuclear factor, interleukin 3, regulated	Nfil3	25	0.000747	Regulation of transcription
U35330	Histocompatibility 2, class II, locus Mb1	H2-DMb1	25	0.000036	Antigen presentation
M37897	Interleukin 10	Il10	25	0.002238	Immune response
L00039	Myelocytomatosis oncogene	Myc	25	0.000406	Regulation of cell cycle
M94584	Chitinase 3-like 3	Chi3l3	24	0.00027	Inflammatory response
D13458	Prostaglandin E receptor 4 (subtype EP4)	Ptger4	24	0.000527	G-protein signaling
X62502	Chemokine (C-C motif) ligand 4	Ccl4	23	0.000888	Chemotaxis
AW124113	Brain abundant, membrane attached signal protein 1	Basp1	21	0.001284	Regulation of transcription
M55181	Preproenkephalin 1	Penk1	19	0.000057	Neuropeptide signaling, angiogenesis
M19681	Chemokine (C-C motif) ligand 2	Ccl2	18	0.005244	Chemotaxis
AI120844	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein	Pscdbp	18	0.001328	Regulation of cell adhesion
AB006361	Prostaglandin D2 synthase (brain)	Ptgds	15	0.01312	Prostaglandin biosynthesis
L24118	Tumor necrosis factor, ?-induced protein 2	Tnfaip2	14	0.006839	Angiogenesis
AI120844	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein	Pscdbp	13	0.0019	Regulation of cell adhesion
X53526	CD48 antigen	Cd48	12	0.00018	NA
AF030185	chemokine (C-C motif) receptor-like 2	Ccrl2	12	0.001361	G protein–coupled receptor protein signaling
Y17860	Ganglioside-induced differentiation-associated-protein 10	Gdap10	12	0.003327	NA
X87128	Tumor necrosis factor receptor superfamily, member 1b	Tnfr2	12	0.001153	Inflammatory response
U39827	G protein–coupled receptor 65	Gpr65	12	0.001125	G protein–coupled receptor protein signaling
Y12657	Cytochrome P450, family 26, subfamily a, polypeptide 1	Cyp26a1	12	0.001221	Electron transport
AV223216	Interleukin 1 receptor, type II	Il1r2	11	0.009835	Transport
Y11666	Hexokinase 2	Hk2	11	0.009072	Glycolysis
X62700	Urokinase plasminogen activator receptor	uPAR	11	0.000118	Angiogenesis
AF000236	Chemokine orphan receptor 1	Cmkor1	11	0.005225	Chemotaxis
AF065947	Chemokine (C-C motif) ligand 5	Ccl5	11	0.007047	Chemotaxis
U23778	B-cell leukemia/lymphoma 2 related protein A1d	Bcl2a1d	11	0.001365	NA
M34896	Ecotropic viral integration site 2a	Evi2a	10	0.000412	Cell growth and/or maintenance
M58004	Chemokine (C-C motif) ligand 6	Ccl6	10	0.027468	Chemotaxis
U56819	Chemokine (C-C motif) receptor 2	Ccr2	9	0.000773	Chemotaxis
AW122039	Coronin, actin binding protein 1A	Coro1a	9	0.000308	NA
U87948	Epithelial membrane protein 3	Emp3	9	0.000852	Cell growth
