Affymetrix probe set I.D.	Fold change	Gene title	Gene symbol
204439_at	238.86	interferon-induced protein 44-like	IFI44L
203153_at	51.98	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1	IFIT1
226757_at	3.48	interferon-induced protein with tetratricopeptide repeats 2	IFIT2
229450_at	4.92	interferon-induced protein with tetratricopeptide repeats 3	IFIT3
204747_at	2.30	interferon-induced protein with tetratricopeptide repeats 3	IFIT3
203595_s_at	2.64	interferon-induced protein with tetratricopeptide repeats 5	IFIT5
201601_x_at	2.30	interferon induced transmembrane protein 1 (9-27)	IFITM1
202411_at	18.38	interferon, alpha-inducible protein 27	IFI27
214453_s_at	6.50	interferon-induced protein 44	IFI44
214059_at	4.00	Interferon-induced protein 44	IFI44
219209_at	2.64	interferon induced with helicase C domain 1	IFIH1
202086_at	13.00	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) /// myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1
204994_at	3.73	myxovirus (influenza virus) resistance 2 (mouse)	MX2
205552_s_at	6.96	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1
202869_at	2.83	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1
204972_at	4.29	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2
218400_at	4.00	2-5-oligoadenylate synthetase 3, 100kDa	OAS3
228617_at	5.66	XIAP associated factor-1	BIRC4BP
206133_at	2.83	XIAP associated factor-1	BIRC4BP
205483_s_at	4.92	interferon, alpha-inducible protein (clone IFI-15K)	G1P2
204415_at	4.00	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3
202270_at	3.03	guanylate binding protein 1, interferon-inducible, 67kDa /// guanylate binding protein 1, interferon-inducible, 67kDa	GBP1
202269_x_at	2.30	guanylate binding protein 1, interferon-inducible, 67kDa /// guanylate binding protein 1, interferon-inducible, 67kDa	GBP1
208436_s_at	2.46	interferon regulatory factor 7	IRF7
209969_s_at	2.14	signal transducer and activator of transcription 1, 91kDa	STAT1
AFFX-HUMISGF3A/M97935_5_at	2.00	signal transducer and activator of transcription 1, 91kDa	STAT1
210029_at	3.73	indoleamine-pyrrole 2,3 dioxygenase	INDO
206367_at	51.98	renin	REN
206026_s_at	8.57	tumor necrosis factor, alpha-induced protein 6	TNFAIP6
206025_s_at	4.92	tumor necrosis factor, alpha-induced protein 6	TNFAIP6
205609_at	5.66	angiopoietin 1	ANGPT1
229461_x_at	3.25	neuronal growth regulator 1	NEGR1
206337_at	2.64	chemokine (C-C motif) receptor 7 /// chemokine (C-C motif) receptor 7	CCR7
