Gene	Title	Fold change
TOP2A	Topoisomerase (DNA) II ? 170 kDa	103.2
????RRM2	Ribonucleotide reductase M2 polypeptide	38.5
????HEC	Highly expressed in cancer	35.7
????ZIC1	Zic family member 1 (odd-paired homologue, Dros.)	35.5
????TRO	Trophinin	28.3
????CDC2	Cell division cycle 2, G1-S and G2-M	19.9
????FOXD1	Forkhead box D1	17.9
????HCAP-G	Chromosome condensation protein G	17.2
????CDK4	Cyclin-dependent kinase 4	14
????MELK	Maternal embryonic leucine zipper kinase	13.3
????CDC20	CDC20 cell division cycle 20 homologue, spindle	9.9
????MDM2	Mdm2, p53 binding protein	9.6
????TYMS	Thymidylate synthetase	9.2
????CDKN2A	Cyclin-dependent kinase inhibitor 2A (p16)	7.7
????CKS2	CDC28 protein kinase regulatory subunit 2	7.5
????BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homologue ?	7
????MAD2L1	MAD2 mitotic arrest deficient-like 1	6.3
????RACGAP1	Rac GTPase-activating protein 1	6.1
????SAS	Sarcoma-amplified sequence	5.7
????CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	5.2
????RRM2	Ribonucleotide reductase M2 polypeptide	5.2
????SOX4	Sex-determining region Y–box 4	4.7
????CCNB2	Cyclin B2	4.3
????SMO	Smoothened homologue (Drosophila)	3.4
????TCF3	Transcription factor 3	3.4
????CCNE2	Cyclin E2	3.2
????BAX	BCL2-associated X protein	3.2
????SSX2IP	Synovial sarcoma, X breakpoint 2 interacting protein	3.1
????CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-assoc dual specificity phosphatase)	2.9
????UBE2C	Ubiquitin-conjugating enzyme E2C	2.9
????GLI2	GLI-Kruppel family member GLI2	2.8
????RBL1	Retinoblastoma-like 1 (p107)	2.8
????CKS1B	CDC28 protein kinase regulatory subunit 1B	2.8
????MARKS	Myristoylated alanine-rich protein kinase C substrate	2.8
????CCNB1	Cyclin B1	2.8
????CDC7	CDC7 cell division cycle 7, G1-S transition of mitotic cell cycle	2.7
????FUBP1	FUSE binding protein 1	2.7
????CALR	Calreticulin	2.6
????PLOD	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase	2.5
????CDC25B	Cell division cycle 25B	2.5
????RFC4	Replication factor C (activator 1) 4, 37 kDa, DNA replication	2.4
????CHEK1	CHK1 checkpoint homologue, DNA damage response	2
