Accession no.	Unigene ID	Symbol	Description	Fold of change
AA194983	Hs.81791	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	?95.28
AA486444	Hs.505687	PYM	Within bgcn homologue (Drosophila)	?30.49
AA598794	Hs.410037	CTGF	Connective tissue growth factor	?27.45
N35316	Hs.153952	NT5E	5?-nucleotidase, ecto (CD73)	?27.19
AA629591	Hs.35052	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	?26.86
AA917374	Hs.104839	TIMP2	Tissue inhibitor of metalloproteinase 2	?25.98
AI262978	Hs.435974	MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	?20.70
H13623	Hs.26139	EPS8	Epidermal growth factor receptor pathway substrate 8	?20.60
H23235	Hs.74615	PDGFRA	Platelet-derived growth factor receptor, ?-polypeptide	?20.51
H88540	Hs.187199	MALAT1	Metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	?16.50
AA136710	Hs.268849	GLO1	Glyoxalase I	?16.36
AA495936	Hs.389700	MGST1	Microsomal glutathione S-transferase 1	?15.68
AA487429	Hs.352018	TAP1	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	?14.88
R09561	Hs.527653	DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	?13.88
AA598817	Hs.30743	PRAME	Preferentially expressed antigen in melanoma	?13.75
T62048	Hs.458355	C1S	Complement component 1, s subcomponent	?13.35
AA670438	Hs.518731	UCHL1	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	?13.12
AA130042	Hs.438970	TBL1XR1	Transducin (?)-like 1X-linked receptor 1	?12.99
N66644	Hs.132513	HSD17B12	Hydroxysteroid (17-?) dehydrogenase 12	?12.60
AA464246	Hs.534125	HLA-C	MHC, class I, C	?12.07
H11003	Hs.511899	EDN1	Endothelin 1	?12.02
AA937895	Hs.495605	CD99	CD99 antigen	?11.79
AA043133	Hs.75231	SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	?11.70
AA181300	Hs.180062	PSMB8	Proteasome (prosome, macropain) subunit, ? type, 8 (large multifunctional protease 7)	?11.59
N21573	Hs.514685	TWSG1	Twisted gastrulation homologue 1 (Drosophila)	?11.10
H99676	Hs.474053	COL6A1	Collagen, type VI, ?1	?10.72
H15574	Hs.127826	EPOR	Erythropoietin receptor	?10.53
AA447561	Hs.90691	NPM3	Nucleophosmin/nucleoplasmin, 3	?10.53
AA630771	Hs.413812	RAC1	Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	?10.48
W73874	Hs.418123	CTSL	Cathepsin L	?10.42
AA878257	Hs.173894	CSF1	Colony-stimulating factor 1 (macrophage)	?10.21
R76394	Hs.25338	PRSS23	Protease, serine, 23	?10.13
AA865464	Hs.521903	LY6E	Lymphocyte antigen 6 complex, locus E	?10.11
AA504482	Hs.185597	SPG7	Spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	?9.82
AA056232	Hs.75652	GSTM5	Glutathione S-transferase M5	?9.80
AA486570	Hs.348387	GSTM4	Glutathione S-transferase M4	?9.62
N52911	Hs.436687	SET	SET translocation (myeloid leukemia-associated)	?9.46
AI356709	Hs.332197	D2S448	Melanoma associated gene	?9.45
AI084613	Hs.56186	EGFL3	EGF-like-domain, multiple 3	?9.36
AA424956	Hs.151777	EIF2S1	Eukaryotic translation initiation factor 2, subunit 1 ?, 35 kDa	?9.34
R25377	Hs.484813	DEK	DEK oncogene (DNA binding)	?9.22
AA453749	Hs.506748	HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)	?8.98
AA487486	Hs.523852	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	?8.93
AA485353	Hs.514535	LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein	?8.83
AA504348	Hs.156346	TOP2A	Topoisomerase (DNA) II ? 170 kDa	?8.80
AA479090	Hs.295137	AMFR	Autocrine motility factor receptor	?8.69
AA464849	Hs.434367	TXNRD1	Thioredoxin reductase 1	?8.57
AA676466	Hs.160786	ASS	Argininosuccinate synthetase	?8.54
AA410636	Hs.445403	IARS	Isoleucine-tRNA synthetase	?8.51
R38933	Hs.491582	PLAT	Plasminogen activator, tissue	?8.32
