Affymetrix ID	Gene Symbol	Fold Up
204712_at	WIF1	18.9
213593_s_at	TRA2A	12.8
220614_s_at	C6orf103	11.7
213943_at	TWIST1	11.5
215338_s_at	NKTR	11.4
201635_s_at	FXR1	11.2
206552_s_at	TAC1	11
220390_at	FLJ23598	11
206438_x_at	FLJ12975	10.5
210172_at	SF1	10.1
63825_at	ABHD2	9.8
201305_x_at	ANP32B	9.5
206460_at	AJAP1	9.3
208022_s_at	CDC14B	8.8
219301_s_at	CNTNAP2	8.5
212775_at	KIAA0657	8.3
211422_at	TRPM3	8.3
200679_x_at	HMGB1	8.1
213742_at	SFRS11	8.1
214933_at	CACNA1A	8
209715_at	CBX5	7.9
214499_s_at	BCLAF1	7
214016_s_at	SFPQ	7
218191_s_at	C6orf209	-13.7
208248_x_at	APLP2	-12.5
212944_at	MRPS6	-12.3
208704_x_at	APLP2	-11.8
202169_s_at	AASDHPPT	-11.6
209656_s_at	TM4SF10	-11.3
200795_at	SPARCL1	-11.1
202749_at	WRB	-10
205978_at	KL	-9.7
209397_at	ME2	-9.6
201132_at	HNRPH2	-9.6
202502_at	ACADM	-9.4
201769_at	EPN4	-9.4
201041_s_at	DUSP1	-9.1
201150_s_at	TIMP3	-9
212195_at	IL6ST	-8.4
202228_s_at	SDFR1	-8.1
212907_at	SLC30A1	-7.8
208943_s_at	TLOC1	-7.7
201410_at	PLEKHB2	-7.7
212077_at	CALD1	-7.6
209046_s_at	GABARAPL2	-7.6
217781_s_at	ZFP106	-7.5
212410_at	EFHA1	-7.5
211945_s_at	ITGB1	-7.4
201653_at	CNIH	-7.4
210592_s_at	SAT	-7.3
212958_x_at	PAM	-7.2
211995_x_at	ACTG1	-7
201312_s_at	SH3BGRL	-7
