Probe	Expression in MRD-positive cases on day 19	Gene name	Gene symbol
212021_s_at	Low	Antigen identified by monoclonal antibody Ki-67	MKI67
218115_at	Low	Anti-silencing function 1 homolog B	ASF1B
219918_s_at	Low	Asp (abnormal spindle)-like microcephaly associated	ASPM
212949_at	Low	Barren homolog 1	BRRN1
201457_x_at	Low	Budding uninhibited by benzimidazoles 3	BUB3
209715_at	Low	Chromobox homolog 5	CBX5
202705_at	Low	Cyclin B2	CCNB2
203214_x_at	Low	Cell division cycle 2	CDC2
210559_s_at	Low	Cell division cycle 2	CDC2
204962_s_at	Low	Centromere protein A (17kD)	CENPA
201897_s_at	Low	CDC28 protein kinase regulatory subunit 1B	CKS1B
218039_at	Low	Nucleolar and spindle associated protein	NUSAP1
204228_at	Low	Cyclophilin H	PPIH
203764_at	Low	Discs, large homolog 7	DLG7
204603_at	Low	Exonuclease 1	EXO1
219650_at	Low	FLJ20105	FLJ20105
200853_at	Low	H2A histone family, member Z	H2AFZ
213911_s_at	Low	H2A histone family, member Z	H2AFZ
208808_s_at	Low	High-mobility group box 2	HMGB2
220651_s_at	Low	Mini-chromosome maintenance deficient 10	MCM10
202503_s_at	Low	KIAA0101	KIAA0101
209408_at	Low	Kinesin family member 2C	KIF2C
205036_at	Low	U6 small nuclear RNA associated	LSM6
203362_s_at	Low	MAD2 mitotic arrest deficient-like 1	MAD2L1
204441_s_at	Low	Polymerase (DNA-directed), alpha 2 (70kD)	POLA2
213008_at	Low	KIAA1794	KIAA1794
205024_s_at	Low	RAD51 homolog	RAD51
204023_at	Low	Replication factor C (activator 1) 4 (37kD)	RFC4
203022_at	Low	ribonuclease H2, large subunit	RNASEH2A
204887_s_at	Low	Polo-like kinase 4	PLK4
201292_at	Low	Topoisomerase (DNA) II alpha (170kD)	TOP2A
201291_s_at	Low	Topoisomerase (DNA) II alpha (170kD)	TOP2A
204033_at	Low	Thyroid hormone receptor interactor 13	TRIP13
209142_s_at	Low	Ubiquitin-conjugating enzyme E2G 1	UBE2G1
210365_at	High	Runt-related transcription factor 1	RUNX1
200885_at	High	Ras homolog gene family, member C	RHOC
209287_s_at	High	Cdc42 effector protein 3	CDC42EP3
209288_s_at	High	Cdc42 effector protein 3	CDC42EP3
201438_at	High	Collagen, type VI, alpha 3	COL6A3
212208_at	High	Thyroid hormone receptor associated protein 2	THRAP2
212054_x_at	High	KIAA0676	KIAA0676
207191_s_at	High	Immunoglobulin superfamily containing leucine-rich repeat	ISLR
204334_at	High	Kruppel-like factor 7	KLF7
207563_s_at	High	O-linked N-acetylglucosamine transferase	OGT
