Gene symbol	Gene name	Fold change	Type
Net1	Neuroepithelial cell transforming gene 1	11.5	Cancer genes resource
Ptgs2 / Cox-2	Prostaglandin-endoperoxide synthase 2	6.6	Cancer genes resource
Kpnb1	Karyopherin (importin) ? 1	6.1	Cancer genes resource
Cebpb	CCAAT/enhancer binding protein (C/EBP), ?	10.9, 2.9, 2.2	Cancer genes resource
Actb	Actin, ?	5.1, 3.5, 2.4	Cancer genes resource
Klf6	Kruppel-like factor 6	4.1, 3.3	Cancer genes resource
Cttn	Cortactin	3.4, 3.0	Cancer genes resource
Fus	Fusion (involved in t(12;16) in malignant liposarcoma)	3.5	Cancer genes resource
Runx1	Runt-related transcription factor 1	2.9	Cancer genes resource
Akt1	V-akt murine thymoma viral oncogene homologue 1	2.7	Cancer genes resource
Araf	V-raf murine sarcoma 3611 viral oncogene homologue	2.2	Cancer genes resource
Mdm2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	2.2	Cancer genes resource
Gli3	GLI-Kruppel family member GLI3	?3.1	Cancer genes resource
Maf	V-maf musculoaponeurotic fibrosarcoma oncogene homologue (avian)	?3.1	Cancer genes resource
Timp3	TIMP metallopeptidase inhibitor 3	?6.3, ?9.2	Cancer genes resource
Aff3	AF4/FMR2 family, member 3	?9.8	Cancer genes resource
Ptgs2 / Cox-2	Prostaglandin-endoperoxide synthase 2	6.6	NF-?B transcriptional targets
Hgf	Hepatocyte growth factor	4.9, 4.8, 3.1	NF-?B transcriptional targets
Serpine1	Serine (or cysteine) peptidase inhibitor, clade E, member 1	4.2	NF-?B transcriptional targets
Nr4a2	Nuclear receptor subfamily 4, group A, member 2	3.8, 3.6, 2.8	NF-?B transcriptional targets
Gadd45b	Growth arrest and DNA-damage–inducible 45 ?	2.8	NF-?B transcriptional targets
Csf1	Colony stimulating factor 1 (macrophage)	2.6	NF-?B transcriptional targets
Cflar	CASP8 and FADD-like apoptosis regulator	2.3	NF-?B transcriptional targets
C3	Complement component 3	?2.8	NF-?B transcriptional targets
Mmp9	Matrix metallopeptidase 9	?2.8, ?6.8	NF-?B transcriptional targets
Sox9	SRY-box containing gene 9	?2.9	NF-?B transcriptional targets
