Gene symbol	Gene name	Fold change	P
FOSL1	FOS-like antigen 1	3.8	< .001
SERPINB13	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 13	3.66	< .001
MMP12	Matrix metalloproteinase 12 (macrophage elastase)	3.41	0.004
SERPINB4	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	3.33	< .001
EVA1	Epithelial V–like antigen 1	3.12	< .001
SELE	Selectin E (endothelial adhesion molecule 1)	3.08	< .001
IL13RA2	Interleukin-13 receptor ?2	3.05	0.006
TP73L	Tumor protein p73–like	2.94	< .001
FGFBP1	Fibroblast growth factor–binding protein 1	2.86	< .001
KRT17	Keratin 17	2.71	< .001
IL1RN	Interleukin-1 receptor antagonist	2.58	< .001
CD24	CD24 antigen (small-cell lung carcinoma cluster 4 antigen)	2.57	< .001
KRT16	Keratin 16 (focal nonepidermolytic palmoplantar keratoderma)	2.54	< .001
TNFAIP6	Tumor necrosis factor ?-induced protein 6	2.51	0.006
ID1	Inhibitor of DNA binding 1, dominant-negative helix-loop-helix protein	2.38	< .001
SERPINB3	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	2.36	< .001
DUSP1	Dual specificity phosphatase 1	2.24	0.001
CCL2	Chemokine (C-C motif) ligand 2	2.22	0.002
ITGA6	Integrin ?6	2.14	< .001
CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	2.07	0.002
SOCS3	Suppressor of cytokine signaling 3	2	0.001
LTB4R	Leukotriene B4 receptor	1.95	< .001
DUSP3	Dual specificity phosphatase 3 (vaccinia virus phosphatase VH1–related)	1.91	< .001
ITGB4	Integrin ?4	1.89	< .001
KRT6A, B, C, E	Keratin 6A, keratin 6B, keratin 6C, keratin 6E	1.89	< .001
JAG1	Jagged 1 (Alagille syndrome)	1.88	< .001
VEGF	Vascular endothelial growth factor	1.88	< .001
IVL	Involucrin	1.87	0.002
MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	1.82	0.008
TGFA	Transforming growth factor ?	1.8	0.004
SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1.79	0.001
S100A2	S100 calcium-binding protein A2	1.79	< .001
YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	1.77	< .001
FGFR2	Fibroblast growth factor receptor 2	1.72	< .001
TNFRSF21	Tumor necrosis factor receptor superfamily, member 21	1.69	< .001
RAB6A	RAB6A, member RAS oncogene family	1.69	0.003
JUNB	jun B proto-oncogene	1.68	< .001
WNT5A	Wingless-type MMTV integration site family, member 5A	1.65	0.006
