Gene Symbol	Probe Set	FoldChange AI/AD	Parametric p-value	Description	Map	GenBank Accession	UniGene Cluster
AP2A2	215764_x_at	0.6	0.0001	adaptor-related protein complex 2, alpha 2 subunit	11p15.5	AA877641	Hs.19121
ADORA2A	205013_s_at	0.69	0.003	adenosine A2a receptor	22q11.23	NM_000675.2	Hs.197029
ADPRTL2	215773_x_at	1.41	0.0039	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2	14q11.2-q12	AJ236912.1	Hs.409412
AKR7A2	202139_at	0.62	0.0006	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	1p35.1-p36.23	NM_003689.1	Hs.6980
STAT5B	212550_at	0.71	0.0001	signal transducer and activator of transcription 5B	17q11.2	AL080218.1	Hs.434992
ST3GALVI	213355_at	3.44	0.0045	alpha2,3-sialyltransferase	3q12.2	AK001922.1	Hs.440913
A2M	217757_at	2.07	0.003	alpha-2-macroglobulin	12p13.3-p12.3	NM_000014.3	Hs.74561
ALS2CR3	202125_s_at	1.72	0.0006	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	2q33	NM_015049.1	Hs.154248
ASPN	219087_at	2.87	0.0017	asporin (LRR class 1)	9q22	NM_017680.1	Hs.435655
ATP5L	208746_x_at	0.68	0.003	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	11q23	AF070655.1	Hs.107476
ATP6V0B	200078_s_at	0.6	0.0018	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c	1p32.3	BC005876.1	Hs.7476
ABCG2	209735_at	1.87	0.0014	ATP-binding cassette, sub-family G (WHITE), member 2	4q22	AF098951.2	Hs.194720
BAIAP2	209502_s_at	0.4	0.0012	BAI1-associated protein 2	17q25	BC002495.1	Hs.188332
BLZF1	32088_at	2.67	0.0025	basic leucine zipper nuclear factor 1 (JEM-1)	1q24	U79751	Hs.444697
BCKDK	202030_at	0.57	0.0004	branched chain alpha-ketoacid dehydrogenase kinase	16p11.2	NM_005881.1	Hs.20644
BIN3	222199_s_at	0.62	0.0027	bridging integrator 3	8p21.2	AK001289.1	Hs.68090
BTG2	201236_s_at	0.5	0.0021	BTG family, member 2	1q32	NM_006763.1	Hs.75462
BPAG1	212254_s_at	2.78	0.0001	bullous pemphigoid antigen 1, 230/240kDa	6p12-p11	BG253119	Hs.443518
