Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	H61758	1,55	7	0,024	Up-regulated
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	AA043506	1,55	7	0,01	Up-regulated
MAT2A	methionine adenosyltransferase II, alpha	T59286	1,53	6	0,04	Up-regulated
ACTG2	actin, gamma 2, smooth muscle, enteric	T60048	1,52	8	0,016	Up-regulated
NCOA3	nuclear receptor coactivator 3	AA156793	1,48	8	0,001	Up-regulated
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	AA600217	1,46	8	0,005	Up-regulated
LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein (galectin 6 binding protein)	AA485353	1,45	8	0,001	Up-regulated
GTF2F1	general transcription factor IIF, polypeptide 1 (74kD subunit)	AA282092	1,45	8	0,008	Up-regulated
CCNI	cyclin I	AA434408	1,42	7	0,002	Up-regulated
LAMR1	laminin receptor 1 (67kD, ribosomal protein SA)	AA629897	1,41	8	0,001	Up-regulated
MLF2	Myeloid leukemia factor 2	AA480835	1,4	8	0,001	Up-regulated
MAPK4	Mitogen-activated protein kinase 4	AA401035	1,4	8	0,003	Up-regulated
CYP2C8	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 8	N53136	1,39	8	0,018	Up-regulated
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	AA496576	1,38	8	<0.001	Up-regulated
MCM3	minichromosome maintenance deficient (S. cerevisiae) 3	AA455786	1,38	8	0,001	Up-regulated
CAMP	cathelicidin antimicrobial peptide	AA609759	1,36	8	0,001	Up-regulated
NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	AA679278	1,36	7	0,011	Up-regulated
MYPT2	myosin phosphatase, target subunit 2	AA463926	1,36	7	0,004	Up-regulated
GSTT1	glutathione S-transferase theta 1	H99813	1,36	8	0,004	Up-regulated
HSRTSBETA	rTS beta protein	N66132	1,35	8	0,002	Up-regulated
ANXA4	Annexin A4	AA419108	1,35	6	0,034	Up-regulated
ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	AA464163	1,33	8	0,001	Up-regulated
CSDA	cold shock domain protein A	AA465019	1,33	4	0,03	Up-regulated
PPIG	Peptidyl-prolyl isomerase G (cyclophilin G)	AA458502	1,33	8	0,008	Up-regulated
BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	AA477298	1,33	8	0,019	Up-regulated
MAP1B	microtubule-associated protein 1B	AA219045	1,33	8	0,001	Up-regulated
IGF2R	insulin-like growth factor 2 receptor	T62547	1,32	8	0,028	Up-regulated
LMO2	LIM domain only 2 (rhombotin-like 1)	AA464644	1,32	8	0,002	Up-regulated
GSTM5	glutathione S-transferase M5	AA056232	1,31	8	0,004	Up-regulated
NP	nucleoside phosphorylase	AA430382	1,3	8	0,002	Up-regulated
DSP	desmoplakin (DPI, DPII)	H90899	1,3	7	0,031	Up-regulated
BAK1	BCL2-antagonist/killer 1	H52673	1,29	8	0,017	Up-regulated
STK12	serine/threonine kinase 12	AA071486	1,28	8	0,006	Up-regulated
TJ6	TJ6 protein	N70122	1,28	7	0,003	Up-regulated
ANXA11	Annexin A11	AA465051	1,27	8	0,023	Up-regulated
DPYD	dihydropyrimidine dehydrogenase	AA428170	1,27	8	0,008	Up-regulated
PCDH1	protocadherin 1 (cadherin-like 1)	AA443557	1,27	8	<0.001	Up-regulated
SYPL	synaptophysin-like protein	AA430698	1,27	8	0,004	Up-regulated
PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	H23235	1,27	8	0,019	Up-regulated
CDC6	CDC6 (cell division cycle 6, S. cerevisiae) homolog	H59203	1,26	8	0,008	Up-regulated
CIN85	c-Cbl-interacting protein	AA989257	1,26	8	0,008	Up-regulated
HLA-C	major histocompatibility complex, class I, C	AA464246	1,26	8	0,002	Up-regulated
MRPS21	mitochondrial ribosomal protein S21	AA443497	1,26	8	0,002	Up-regulated
MDH1	malate dehydrogenase 1, NAD (soluble)	AA403295	1,26	8	0,017	Up-regulated
