Parametric P value	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Unique ID
p < 1e-07	23.051	1.203	19.161	MDM2
1.00E-07	16.848	1.557	10.821	MDM2
4.00E-07	7.677	0.502	15.293	BTG2
5.00E-07	9.3	1.099	8.462	MDM2
9.00E-07	9.01	1.531	5.885	MGC5370
1.00E-06	7.227	1.476	4.896	TP53I3
1.30E-06	17.253	1.075	16.049	SULF2
1.60E-06	13.951	1.206	11.568	GDF15
2.30E-06	4.682	0.88	5.32	CYFIP2
2.90E-06	4.122	0.937	4.399	NINJ1
3.00E-06	5.785	0.662	8.739	TP53I3
3.20E-06	3.863	0.908	4.254	TP53I3
3.20E-06	2.78	0.578	4.81	LOC728364
3.90E-06	2.346	0.422	5.559	ANK1
4.70E-06	12.503	1.059	11.806	PLTP
5.20E-06	9.292	1.675	5.547	MGC5370
5.30E-06	12.678	1.428	8.878	MDM2
5.30E-06	13.586	0.932	14.577	PLTP
9.90E-06	1.869	0.227	8.233	DCAMKL1
1.02E-05	4.912	0.772	6.363	SESN1
1.30E-05	5.059	0.715	7.076	KRT17
1.34E-05	2.632	0.465	5.66	FLJ41841
1.78E-05	3.29	0.974	3.378	TMEM68
2.12E-05	1.409	0.404	3.488	COLEC12
2.13E-05	3.903	1.022	3.819	LRDD
2.42E-05	4.096	0.858	4.774	SPATA18
2.47E-05	1.752	0.516	3.395	TM7SF2
2.69E-05	2.26	0.682	3.314	CTSZ
2.74E-05	1.218	0.133	9.158	PIP5K1A
2.92E-05	4.625	0.677	6.832	C4orf18
2.97E-05	5.493	1.371	4.007	TP53I3
3.26E-05	3.045	1.075	2.833	TRAF4
3.29E-05	1.507	0.527	2.86	PSD3
3.30E-05	1.953	0.417	4.683	THSD1
3.42E-05	1.83	0.383	4.778	TMEM35
3.43E-05	1.947	0.499	3.902	MASP1
3.58E-05	2.96	0.904	3.274	DEAF1
3.58E-05	3.257	1.155	2.82	KIAA0247
3.64E-05	2.724	0.966	2.82	COL4A5
3.67E-05	1.684	0.545	3.09	LOC203274
3.95E-05	2.475	0.823	3.007	ANK1
3.97E-05	6.349	0.952	6.669	C4orf18
4.25E-05	3.067	0.574	5.343	OSAP
4.70E-05	1.502	0.391	3.841	DPYSL4
4.83E-05	1.162	0.228	5.096	FGF9
5.29E-05	1.83	0.664	2.756	CFLAR
5.51E-05	2.47	0.727	3.398	FOLR3
6.01E-05	1.835	0.458	4.007	C1RL
6.53E-05	1.585	0.149	10.638	SGIP1
6.56E-05	1.471	0.317	4.64	LOC440456
6.69E-05	2.178	0.707	3.081	KCNJ2
6.87E-05	0.966	0.291	3.32	MAP3K7IP3
7.12E-05	1.372	0.384	3.573	ZNF652
7.19E-05	2.514	0.853	2.947	PHPT1
7.34E-05	1.557	0.327	4.761	MCC
7.41E-05	1.116	0.375	2.976	MGC9712
8.04E-05	1.777	0.594	2.992	PSD3
8.09E-05	3.529	1.217	2.9	NADSYN1
8.63E-05	3.155	1.206	2.616	PSG4
8.68E-05	2.18	0.722	3.019	ZNF337
9.22E-05	1.445	0.511	2.828	BPNT1
9.74E-05	3.324	0.635	5.235	RRAD
0.0001062	1.666	0.384	4.339	FAM55C
0.0001085	3.103	0.833	3.725	SNRPN
0.0001118	1.726	0.425	4.061	LAMB2
0.0001139	1.918	0.502	3.821	LOC728295
0.0001158	3.702	1.405	2.635	TRIAP1
0.0001188	1.666	0.581	2.867	ENTPD7
0.0001225	3.029	1.2	2.524	PSG1
0.0001262	0.626	0.076	8.237	TNRC5
0.000128	2.403	0.333	7.216	PPP1R3C
0.0001309	1.393	0.535	2.604	HFE
0.0001348	1.384	0.479	2.889	DFNB31
0.000136	1.199	0.131	9.153	APOL6
0.0001368	1.375	0.438	3.139	LOC257396
0.0001394	1.928	0.464	4.155	PSTPIP2
0.0001401	1.993	0.393	5.071	SNRPN
0.0001453	1.195	0.421	2.838	JMJD2B
0.0001457	3.237	0.922	3.511	LAMA4
0.0001459	2.559	0.417	6.137	C5orf4
0.0001484	2.934	1.133	2.59	PPM1D
0.0001535	4.407	1.578	2.793	C12orf5
0.0001549	3.044	0.606	5.023	PRKY
0.0001552	2.492	0.671	3.714	TP53AP1
0.0001582	0.986	0.265	3.721	S100A3
0.0001583	3.679	1.304	2.821	APOBEC3C
0.0001594	2.243	0.612	3.665	GAMT
0.0001615	3.151	1.01	3.12	ASCC3
0.0001667	1.059	0.29	3.652	EZH1
0.0001699	1.171	0.212	5.524	PRDM2
0.0001719	0.98	0.381	2.572	FLJ39198
0.0001728	1.868	0.586	3.188	BBC3
0.000176	2.935	0.529	5.548	PGF
0.000181	1.258	0.366	3.437	ZNF345
0.0001825	1.577	0.573	2.752	CEL
0.0001863	1.668	0.563	2.963	KIF26B
0.0001982	5.294	1.573	3.366	PAPPA
0.0002035	0.877	0.211	4.156	GOLGA8B
0.0002091	1.421	0.431	3.297	MGC15523
0.0002156	3.524	1.267	2.781	PSG5
0.0002171	2.054	0.745	2.757	INSM1
0.0002244	3.066	1.339	2.29	C20orf108
0.0002263	2.967	1.216	2.44	PSG5
0.0002322	2.917	1.23	2.372	TMEM142C
0.0002334	7.122	1.548	4.601	TP53INP1
0.0002396	2.022	0.833	2.427	C10orf54
0.0002513	1.157	0.306	3.781	ZNF501
0.0002537	2.735	1.103	2.48	CES2
0.0002546	6.782	0.952	7.124	VWCE
0.0002563	1.594	0.647	2.464	TNFSF14
0.0002641	1.173	0.392	2.992	ARPC1B
0.0002646	0.804	0.255	3.153	MGC3207
0.0002679	2.058	0.848	2.427	PANK1
0.0002756	3.211	1.041	3.085	PSG7
0.0002759	3.294	1.257	2.621	PSG8
0.000285	2.259	1.003	2.252	BLCAP
0.000289	2.451	0.867	2.827	RALGDS
0.0002906	1.074	0.295	3.641	UNC84A
0.000292	2.432	0.776	3.134	HMCN1
0.0002942	2.792	1.15	2.428	EPS8L2
0.0002991	4.123	1.487	2.773	CCNG1
0.0003026	1.178	0.291	4.048	TRIM2
0.0003131	1.418	0.605	2.344	GLB1L
0.0003266	1.411	0.597	2.363	LOC728903
0.0003339	0.943	0.417	2.261	TAF11
0.0003355	1.507	0.367	4.106	APBB1IP
0.0003518	1.123	0.393	2.858	COL14A1
0.0003622	2.019	0.831	2.43	PGPEP1
0.0003633	2.744	1.178	2.329	DHRS3
0.0003652	1.698	0.588	2.888	TBC1D2
0.0003659	3.162	1.322	2.392	PSG1
0.0003787	1.994	0.861	2.316	SLC9A7
0.0003816	3.671	1.048	3.503	APOBEC3C
0.0003825	1.05	0.345	3.043	FLJ21865
0.0003932	0.917	0.21	4.367	LOC646214
0.0003994	1.026	0.284	3.613	MRPL55
4.00E-04	0.866	0.317	2.732	TMEM16B
0.0004084	2.953	1.184	2.494	CD82
0.0004185	3.622	1.048	3.456	DGKA
0.0004261	1.104	0.317	3.483	PTAR1
0.0004335	4.037	1.073	3.762	ZMAT3
0.0004549	1.064	0.412	2.583	SEZ6
0.0004594	1.393	0.481	2.896	MGC3207
0.0004701	1.387	0.569	2.438	HFE
0.0004778	3.279	1.524	2.152	TNFRSF10B
0.0004936	1.047	0.274	3.821	POLR1C
0.0005231	2.776	1.287	2.157	STC2
0.0005249	2.801	1.328	2.109	C14orf43
0.0005325	2.03	0.259	7.838	TNFRSF14
0.0005347	1.969	0.754	2.611	GAL3ST4
0.0005348	1.536	0.549	2.798	DENND2D
0.0005358	2.478	1.125	2.203	TNFRSF10D
0.0005506	3.104	1.313	2.364	PSG3
0.0005549	2.731	1.335	2.046	DDB2
0.0005594	1.125	0.302	3.725	RPS23
0.000561	2.649	0.889	2.98	MCC
0.0005654	1.859	0.837	2.221	VDR
0.0005695	1.747	0.653	2.675	LOC221091
0.0005764	0.92	0.289	3.183	LOC731625
0.00058	3.264	1.195	2.731	PSG4
0.0005913	3.134	1.337	2.344	ISCU
0.0005922	1.108	0.457	2.425	NFIA
0.0005981	2.014	0.955	2.109	EPHA4
0.0006174	2.2	0.707	3.112	LOC643133
0.000629	1.008	0.295	3.417	PRDM7
0.000643	1.89	0.669	2.825	KLHL24
0.0006539	3.382	0.979	3.455	MASP1
0.0006562	1.611	0.778	2.071	HSDL2
0.0006662	1.657	0.551	3.007	ANKRD28
0.0006686	0.787	0.373	2.11	WDR78
0.0006698	1.455	0.691	2.106	NFAT5
0.0006761	1.301	0.547	2.378	IFNAR1
0.0006842	1.283	0.598	2.145	SFRS16
0.0006924	1.108	0.387	2.863	PIGZ
0.0007019	3.005	1.263	2.379	PSG8
0.0007083	3.02	0.799	3.78	HSPA4L
0.0007162	2.045	0.417	4.904	TNFRSF10A
0.0007165	0.891	0.392	2.273	C20orf119
0.0007255	0.813	0.295	2.756	UNKL
0.0007402	2.877	1.284	2.241	CDH13
0.0007406	3.7	1.626	2.276	GPC1
0.0007419	2.948	1.465	2.012	SULF1
0.0007432	0.943	0.425	2.219	PCDHGA4
0.0007442	1.292	0.516	2.504	GRID2
0.0007619	2.512	0.206	12.194	CPA4
