Gene name	Affymetrix probe no.	Genbank	Description	Basal raw signal	Max fold induction by agonist	Max fold induction by antagonist	Functional Group
HOXA1	214639_s_at	S79910	Homeobox A1	8	95.3	18.3	Oncogenes Cell-associated
RGC32	218723_s_at	NM_014059	Response gene to complement 32	9	49.6	34	Oncogenes Cell-associated
ATF3	202672_s_at	NM_001674	Activating transcription factor 3	24	6.9	3.3	Oncogenes Cell-associated
CXCR4	217028_at	AJ224869	Homo sapiensCXCR4 gene encoding receptor CXCR4.	213	5.5	2.5	Oncogenes Cell-associated
ELF3	210827_s_at	U73844	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	318	4.9	2.9	Oncogenes Cell-associated
SIX1	228347_at	N79004	Sine oculis homeobox homologue 1	179	4.6	2.3	Oncogenes Cell-associated
MITF	226066_at	AL117653	Microphthalmia-associated transcription factor	27	4.1	3.2	Oncogenes Cell-associated
FGFR2	203638_s_at	NM_022969	Fibroblast growth factor receptor 2	57	3.3	4.1	Oncogenes Cell-associated
BHLHB2	201170_s_at	NM_003670	Basic helix-loop-helix domain containing, class B, 2	95	3.5	2.1	Oncogenes Cell-associated
MDM2	217373_x_at	AJ276888	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein	39	3.1	1.9	Oncogenes Cell-associated
LYN	202625_at	AI356412	V-yes-1 Yamaguchi sarcoma viral related oncogene homologue	77	2.8	3	Oncogenes Cell-associated
JUN	201464_x_at	BG491844	V-jun sarcoma virus 17 oncogene homologue	190	2.6	2.6	Oncogenes Cell-associated
S100P	204351_at	NM_005980	S100 calcium binding protein P	523	2.3	2.1	Oncogenes Cell-associated
JAG1	209099_x_at	U73936	Jagged 1	111	2.2	1.9	Oncogenes Cell-associated
IL-8	202859_x_at	NM_000584	Interleukin-8	10	14.4	8.2	Oncogenes Secreted
PLA2G2A	203649_s_at	NM_000300	Phospholipase A2, group IIA	30	7.4	1.9	Oncogenes Secreted
EDN1	222802_at	J05008	Endothelin-1	22	4.1	1.7	Oncogenes Secreted
CLU	208792_s_at	M25915	Clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	723	3.4	2.7	Oncogenes Secreted
PDGFC	218718_at	NM_016205	Platelet-derived growth factor C	11	3.4	2.6	Oncogenes Secreted
FGF13	205110_s_at	NM_004114	Fibroblast growth factor 13	186	2.9	2.2	Oncogenes Secreted
TGFA	205016_at	NM_003236	Transforming growth factor, ?	61	2.7	1.5	Oncogenes Secreted
PSAP	200866_s_at	M32221	Prosaposin	674	1.9	1.8	Oncogenes Secreted
UBD	205890_s_at	NM_006398	Ubiquitin D	36	35.9	17.5	Tumor suppressors Cell-associated
SOX9	202935_s_at	AI382146	SRY (sex-determining region Y)-box 9	50	26	10.8	Tumor suppressors Cell-associated
EPLIN	217892_s_at	NM_016357	Epithelial protein lost in neoplasm ?	128	18.8	7.4	Tumor suppressors Cell-associated
CEACAM1	206576_s_at	NM_001712	Carcinoembryonic antigen-related cell adhesion molecule 1	15	16.2	2.8	Tumor suppressors Cell-associated
PPARG	208510_s_at	NM_015869	Peroxisome proliferative activated receptor, ?	64	15.9	4	Tumor suppressors Cell-associated
MARCKS	201669_s_at	NM_002356	Myristoylated alanine-rich protein kinase C substrate	64	9.3	4.6	Tumor suppressors Cell-associated
BTG2	201236_s_at	NM_006763	BTG family, member 2	87	8.3	6.5	Tumor suppressors Cell-associated
NKX3-1	209706_at	AF247704	NK3 transcription factor-related, locus 1	35	7.5	2.9	Tumor suppressors Cell-associated
IRF1	202531_at	NM_002198	IFN regulatory factor 1	43	5.3	2.4	Tumor suppressors Cell-associated
SOD2	215223_s_at	W46388	Superoxide dismutase 2, mitochondrial	327	4.9	4.8	Tumor suppressors Cell-associated
NBL1	37005_at	D28124	Neuroblastoma, suppression of tumorigenicity 1	61	4	3	Tumor suppressors Cell-associated
GADD45G	204121_at	NM_006705	Growth arrest and DNA-damage-inducible, ?	37	3.8	2.7	Tumor suppressors Cell-associated
PHLDA1	217996_at	AA576961	Pleckstrin homology-like domain, family A, member 1	359	3.7	2.7	Tumor suppressors Cell-associated
HIPK2	225368_at	BF218115	Homeodomain interacting protein kinase 2	114	3.7	2.8	Tumor suppressors Cell-associated
CDKN2B	236313_at	AW444761	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	14	3.2	3.1	Tumor suppressors Cell-associated
BATF	205965_at	NM_006399	Basic leucine zipper transcription factor, ATF-like	213	2.7	2.9	Tumor suppressors Cell-associated
VHL	1559227_s_at	BF972755	Von Hippel-Lindau tumor suppressor	25	2	2.7	Tumor suppressors Cell-associated
EI24	216396_s_at	AF131850	Etoposide induced 2.4 mRNA	147	2.2	2.6	Tumor suppressors Cell-associated
KLF6	208961_s_at	AB017493	Kruppel-like factor 6	25	2.2	2.5	Tumor suppressors Cell-associated
BTG1	200921_s_at	NM_001731	B-cell translocation gene 1, antiproliferative	509	2.5	1.8	Tumor suppressors Cell-associated
