Symbol	Name	Expression ratios FVPC/PC Under	Over	Functional Category
CDK5R1	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)	0.2		Cell cycle and proliferation
FAT2	FAT tumor suppressor (Drosophila) homolog 2		2	Cell cycle and proliferation
CSE1L	CSE1 chromosome segregation 1-like (yeast)		2	Cell cycle and proliferation
CCND1	Cyclin D1		3	Cell cycle and proliferation
ZNF151	Zinc finger protein 151 (pHZ-67)		3	Cell cycle and proliferation
MAT2B	Methionine adenosyltransferase II, ?		3	Cell cycle and proliferation
NUDEL	LIS1-interacting protein NUDEL; endooligopeptidase A		3	Cell cycle and proliferation
CDK2AP1	CDK2-associated protein 1		3	Cell cycle and proliferation
CENPC1	Centromere protein C 1		4	Cell cycle and proliferation
APLP1	Amyloid beta (A4) precursor-like protein 1	0.5		Cell adhesion, shape and maintenance
TYRO3	TYRO3 protein tyrosine kinase		2	Cell adhesion, shape and maintenance
WNT7B	Wingless-type MMTV integration site family, member 7B		2	Cell adhesion, shape and maintenance
ADD1	Adducin 1 (?)		2	Cell adhesion, shape and maintenance
SCARB1	Scavenger receptor class B, member 1		2	Cell adhesion, shape and maintenance
PSK-1	Type I transmembrane receptor (seizure-related protein)		3	Cell adhesion, shape and maintenance
LAD1	Ladinin 1		3	Cell adhesion, shape and maintenance
KRT19	Keratin 19		3	Cell adhesion, shape and maintenance
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)		3	Cell adhesion, shape and maintenance
CNN3	Calponin 3, acidic		3	Cell adhesion, shape and maintenance
GJA8	Gap junction protein, ?8, 50kD		4	Cell adhesion, shape and maintenance
DSP	Desmoplakin		4	Cell adhesion, shape and maintenance
MSN	Moesin		4	Cell adhesion, shape and maintenance
MAP4	Microtubule-associated protein 4		4	Cell adhesion, shape and maintenance
SSPN	Sarcospan (Kras oncogene-associated gene)		4	Cell adhesion, shape and maintenance
MGEA5	Meningioma expressed antigen 5 (hyaluronidase)		5	Cell adhesion, shape and maintenance
SDC4	Syndecan 4 (amphiglycan, ryudocan)		9	Cell adhesion, shape and maintenance
PDCD2	Programmed cell death 2		2	Apoptosis
PDCD6IP	Programmed cell death 6-interacting protein		3	Apoptosis
RPL35A	Ribosomal protein L35a	0.4		Protein metabolism, catabolism and modification
COPS3	COP9 subunit 3	0.5		Protein metabolism, catabolism and modification
DPP6	Dipeptidylpeptidase VI		2	Protein metabolism, catabolism and modification
PSMA5	Proteasome subunit, ? type, 5		2	Protein metabolism, catabolism and modification
PSMD1	Proteasome 26S subunit, non-ATPase, 1		2	Protein metabolism, catabolism and modification
P5CR2	Pyrroline 5-carboxylate reductase isoform		2	Protein metabolism, catabolism and modification
PEPD	Peptidase D		2	Protein metabolism, catabolism and modification
FURIN	Furin (paired basic amino acid cleaving enzyme)		2	Protein metabolism, catabolism and modification
SIAH1	Seven in absentia homolog 1 (Drosophila)		2	Protein metabolism, catabolism and modification
UBAP2	Ubiquitin associated protein 2		2	Protein metabolism, catabolism and modification
PTK9	Protein tyrosine kinase 9		2	Protein metabolism, catabolism and modification
DDOST	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase		2	Protein metabolism, catabolism and modification
THTPA	Thiamine triphosphatase		2	Protein metabolism, catabolism and modification
GCC1	Golgi coiled coil 1		2	Protein metabolism, catabolism and modification
EIF4A1	Eukaryotic translation initiation factor 4A, isoform 1		3	Protein metabolism, catabolism and modification
SGT	Small glutamine-rich tetratricopeptide repeat (TPR)-containing		3	Protein metabolism, catabolism and modification
DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4		3	Protein metabolism, catabolism and modification
AANAT	Arylalkylamine N-acetyltransferase		4	Protein metabolism, catabolism and modification
EIF3S7	Eukaryotic translation initiation factor 3, subunit 7		4	Protein metabolism, catabolism and modification
DPP3	Dipeptidylpeptidase III		5	Protein metabolism, catabolism and modification
RPL19	Ribosomal protein L19		6	Protein metabolism, catabolism and modification
RPS25	Ribosomal protein S25		9	Protein metabolism, catabolism and modification
UBE3A	Ubiquitin protein ligase E3A		11	Protein metabolism, catabolism and modification
RPL7A	Ribosomal protein L7a		22	Protein metabolism, catabolism and modification
NTRK2	Neurotrophic tyrosine kinase, receptor, type 2	0.2		Signal transduction
FGFR1	Fibroblast growth factor receptor 1	0.5		Signal transduction
GRB2	Growth factor receptor-bound protein 2		2	Signal transduction
FREQ	Frequenin (Drosophila) homolog		2	Signal transduction
ITPK1	Inositol 1,3,4-triphosphate 5/6 kinase		2	Signal transduction
DAB2IP	DAB2 interacting protein		2	Signal transduction
NOTCH2	Notch homolog 2		2	Signal transduction
CENTA1	Centaurin, ? 1		2	Signal transduction
KIAA0720	KIAA0720 protein		2	Signal transduction
GNG12	Guanine nucleotide binding protein, gamma 12		2	Signal transduction
PTPRE	Protein tyrosine phosphatase, receptor type, E		3	Signal transduction
ARHGEF12	Rho guanine exchange factor (GEF) 12		3	Signal transduction
GNAZ	Guanine nucleotide binding protein, ? z polypeptide		3	Signal transduction
PPAP2C	Phosphatidic acid phosphatase type 2C		3	Signal transduction
AIP	Aryl hydrocarbon receptor-interacting protein		4	Signal transduction
DGKA	Diacylglycerol kinase, ? (80kD)		4	Signal transduction
GNAL	Guanine nucleotide binding protein		4	Signal transduction
ARHA	Ras homolog gene family, member A		4	Signal transduction
EPHB1	Receptor for members of the ephrin-b family		5	Signal transduction
GPR51	G protein-coupled receptor 51		5	Signal transduction
YWHAE	Tyrosine 3-monooxygenase		5	Signal transduction
NR0B2	Nuclear receptor subfamily 0, group B, member 2		7	Signal transduction
NTRK3	Neurotrophic tyrosine kinase, receptor, type 3		7	Signal transduction
ERCC2	Excision repair complementation group 2 (XPD)		2	DNA metabolism maintenance and repair
DGUOK	Deoxyguanosine kinase		2	DNA metabolism maintenance and repair
RPA1	Replication protein A1 (70kD)		3	DNA metabolism maintenance and repair
RFC1	Replication factor C (activator 1) 1 (145kD)		3	DNA metabolism maintenance and repair
POLG	Polymerase (DNA directed), ?		3	DNA metabolism maintenance and repair
CGGBP1	CGG triplet repeat binding protein 1		4	DNA metabolism maintenance and repair
NME2	Nonmetastatic cells 2, protein (NM23B) expressed in		13	DNA metabolism maintenance and repair
FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)	0.2		Cytokine, inflammation, immune response
CSF1	Colony stimulating factor 1	0.4		Cytokine, inflammation, immune response
BAP29	B-cell receptor-associated protein BAP29	0.5		Cytokine, inflammation, immune response
TNFRSF25	Tumor necrosis factor receptor superfamily, member 12a		3	Cytokine, inflammation, immune response
TNF	Tumor necrosis factor (TNF superfamily, member 2)		4	Cytokine, inflammation, immune response
LNK	Lymphocyte adaptor protein		5	Cytokine, inflammation, immune response
HLA-DQA1	Major histocompatibility complex, class II, DQ ?1		6	Cytokine, inflammation, immune response
HOXC6	Homeo box C6	0.1		Transcription factor
ID4	Inhibitor of DNA binding 4	0.4		Transcription factor
TRIM28	Tripartite motif-containing 28		2	Transcription factor
CUTL1	Cut-like 1, CCAAT displacement protein (Drosophila)		2	Transcription factor
MSL3L1	Male-specific lethal 3-like 1 (Drosophila)		3	Transcription factor
SNW1	SKI-interacting protein		3	Transcription factor
E4F1	E4F transcription factor 1		3	Transcription factor
CGBP	CpG binding protein		3	Transcription factor
JUNB	Jun B proto-oncogene		4	Transcription factor
ASCL1	Mammalian achaete-scute homolog-1		4	Transcription factor
ISGF3G	Interferon-stimulated transcription factor 3, ? (48kD)		5	Transcription factor
HCNGP	Transcriptional regulator protein		6	Transcription factor
HCNP	tetratricopeptide repeat protein involved in transcription		6	Transcription factor
SSX1	Synovial sarcoma, X breakpoint 1		19	Transcription factor
ZNT6	Likely ortholog of mouse zinc transporter 6	0.3		Ion/metal binding and transport
KCNF1	Potassium voltage-gated channel, subfamily F, member 1	0.4		Ion/metal binding and transport
SELENBP1	Selenium binding protein 1	0.5		Ion/metal binding and transport
SLC12A4	Solute carrier family 12 potassium/chloride transporters		2	Ion/metal binding and transport
VSNL1	Visinin-like 1		3	Ion/metal binding and transport
NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4 (18kD)		3	Ion/metal binding and transport
ANXA5	Annexin A5		3	Ion/metal binding and transport
ATP2B2	ATPase Ca++		3	Ion/metal binding and transport
CPNE7	Copine VII		5	Ion/metal binding and transport
KPNA4	Karyopherin ? 4 (importin ? 3)		2	Transport, trafficking secretory pathway
RABEX5	Putative Rab5 GDP/GTP exchange factor homologue		2	Transport, trafficking secretory pathway
SYT11	Synaptotagmin XI		2	Transport, trafficking secretory pathway
ENTH	Enthoprotin		2	Transport, trafficking secretory pathway
ABCC8	ATP-binding cassette, subfamily C (CFTR/MRP), member 8		2	Transport, trafficking secretory pathway
ALS2CR3	ALS2CR3, KIAA0549, CALS-C		2	Transport, trafficking secretory pathway
ABCF2	ATP-binding cassette, subfamily F (GCN20), member 2		2	Transport, trafficking secretory pathway
SV2	Likely ortholog of mouse synaptic vesicle glycoprotein 2a		3	Transport, trafficking secretory pathway
VAPA	Vesicle-associated membrane protein)-associated A		3	Transport, trafficking secretory pathway
ARCN1	Archain 1		3	Transport, trafficking secretory pathway
GLO1	Glyoxalase I	0.5		Diverse metabolism
UGP2	UDP-glucose pyrophosphorylase 2		2	Diverse metabolism
PC	Pyruvate carboxylase		2	Diverse metabolism
TALDO1	Transaldolase 1		4	Diverse metabolism
CYP51	Cytochrome P450, family 51		6	Diverse metabolism
PXR1	Peroxisome receptor 1		2	Stress
OSR1	Oxidative-stress responsive 1		6	Stress
CIRBP	Cold inducible RNA binding protein		6	Stress
SRRM1	Serine/arginine repetitive matrix 1	0.5		RNA
QKI	Homolog of mouse quaking QKI		2	RNA
PPP1R8	Protein phosphatase 1, regulatory (inhibitor) subunit 8		2	RNA
PEG10	PateRNAlly expressed 10		2	Miscellaneous
DGS-A	DiGeorge syndrome gene A		2	Miscellaneous
BGLAP	Bone ?-carboxyglutamate (gla) protein (osteocalcin)		2	Miscellaneous
SDNSF	Neural stem cell derived neuronal survival protein		2	Miscellaneous
PLP1	Proteolipid protein 1 (Pelizaeus-Merzbacher disease)		2	Miscellaneous
TAZ	Tafazzin (cardiomyopathy, dilated 3A (X-linked)		2	Miscellaneous
