Gene symbol	False discovery rate	Fold Change
CCL20	1.39E?3	17.9
IL8	2.65E?3	11
PTX3	1.08E?2	4.4
CXCL1	2.75E?3	3.8
BDKRB1	5.28E?3	3.1
NFKB2	6.37E?2	3
NFKBIA	1.47E?4	3
BIRC3	1.65E?2	2.7
IL6	7.63E?5	2.7
BLR1	1.32E?1	2.6
IL1A	2.36E?2	2.3
WT1	2.47E?1	2.2
IRF1	7.71E?4	2.2
MYB	2.90E?1	2.2
TNFAIP3	1.21E?3	2.2
SOD2	2.76E?1	2.2
CCND1	4.69E?3	2.1
TNF	3.52E?1	2
HLA-E	2.25E?3	1.8
HLA-F	1.09E?2	1.7
CSF1	2.98E?2	1.7
HLA-B	2.18E?2	1.6
ICAM1	2.47E?1	1.6
VCAM1	4.63E?1	1.5
HLA-G	5.25E?2	1.5
MMP1	6.59E?1	1.5
TAP1	9.42E?2	1.5
HLA-C	3.26E?2	1.5
TNFRSF6	1.38E?1	1.5
IL12A	5.06E?1	1.4
IL2RA	6.26E?1	1.4
PSMB9	3.91E?1	1.4
TNFSF6	6.28E?1	1.3
PSMD2	7.83E?2	1.3
HLA-A	2.42E?1	1.3
NOS2A	7.71E?1	1.2
BIRC2	4.86E?1	1.2
PTGS2	7.53E?1	1.2
LAMB2	5.65E?1	1.2
CDKN2A	3.02E?1	1.2
IL2	8.96E?1	1.2
TRAF1	8.88E?1	1.1
MYC	7.20E?1	1.1
MMP9	9.12E?1	1.1
SELE	9.65E?1	1.1
MADCAM1	9.86E?1	1
TP53	9.97E?1	?1.0
IFNB1	9.78E?1	?1.0
F3	7.82E?1	?1.1
CSF2	8.85E?1	?1.2
BIRC4	5.64E?1	?1.3
TRAF2	2.46E?1	?1.4
SERPINE1	2.72E?1	?1.5
NFKB1	3.92E?2	?1.6
BCL2A1	6.05E?1	?1.7
ABCB1	5.26E?1	?1.7
