GeneSymbol	Fold Change	p-value	Description
Adrb2	-2.72	1.15E-05	adrenergic receptor, beta 2
Ager	-2.45	5.37E-06	advanced glycosylation end product-specific receptor
Ahr	-2.37	1.90E-05	aryl-hydrocarbon receptor
Aldh1a7	2.09	1.92E-03	aldehyde dehydrogenase family 1, subfamily A7
Apba2	2.49	3.90E-04	amyloid beta (A4) precursor protein-binding, family A, member 2
Aplp1	7.11	3.25E-06	amyloid beta (A4) precursor-like protein 1
App	-2.49	5.27E-06	Mouse amyloid beta protein precursor
Ascl1	52.41	3.70E-05	achaete-scute complex homolog-like 1 (Drosophila)
Atf5	2.44	1.04E-04	activating transcription factor 5
Bcl2	-2.06	2.03E-04	RIKEN clone:6030439K11 product:B-cell leukemia/lymphoma 2
Bmp2	2.99	6.99E-05	bone morphogenetic protein 2
Bmp4	-2.27	4.62E-03	bone morphogenetic protein 4
Bmp7	3.35	4.65E-05	bone morphogenetic protein 7
Cacna1a	5.94	4.33E-04	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
Cd24a	2.86	7.47E-06	CD24a antigen
Cdh2	9.60	4.17E-06	cadherin 2
Cdk5r1	12.37	4.17E-07	cyclin-dependent kinase 5, regulatory subunit (p35) 1
Cdkn1b	2.08	5.17E-04	RIKEN  clone:C920025D19 product:hypothetical protein
Cdkn2a	11.15	1.87E-05	cyclin-dependent kinase inhibitor 2A
Chrm1	2.05	2.64E-02	mRNA for m1 muscarinic acetylcholine receptor protein, partial.
Cit	3.12	4.10E-04	RIKEN  clone:C130020H05 product:unclassifiable
Cntf	2.23	1.91E-03	ciliary neurotrophic factor
Crmp1	21.29	2.85E-04	collapsin response mediator protein 1
Cspg5	4.43	8.01E-03	chondroitin sulfate proteoglycan 5
Dagla	2.20	2.66E-02	RIKEN  clone:M5C1025K20 product:neural stem cell-derived dendrite regulator
Dll3	13.93	6.42E-04	delta-like 3 (Drosophila)
Doc2a	2.47	7.78E-03	double C2, alpha
Dok4	-2.08	7.46E-05	docking protein 4
Drd2	24.46	2.02E-03	dopamine receptor 2
Edg2	-2.15	3.17E-03	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
Efna1	-2.57	2.21E-05	ephrin A1
