Affy ID	Symbol	Gene Name	PAX3-FKHR	PAX7-FKHR	PAX-FKHR	p-value†
205389_s_at	ANK1	ankyrin 1, erythrocytic /// ankyrin 1, erythrocytic	2.5	2.2	2.4	1.00E-09
207076_s_at	ASS	argininosuccinate synthetase	2.9	2.5	2.7	1.00E-09
212097_at	CAV1	caveolin 1, caveolae protein, 22kDa	10.4	6.9	8.7	1.00E-09
211919_s_at	CXCR4	chemokine (C-X-C motif) receptor 4 /// chemokine (C-X-C motif) receptor 4	2.8	3.3	3.0	1.00E-09
204602_at	DKK1	dickkopf homolog 1 (Xenopus laevis)	5.3	5.8	5.6	1.00E-09
219908_at	DKK2	dickkopf homolog 2 (Xenopus laevis)	3.7	3.3	3.5	1.00E-09
203723_at	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B	2.3	2.8	2.5	1.00E-09
206835_at	STATH	statherin	28.5	63.7	46.1	1.00E-09
202644_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2.4	2.1	2.3	1.00E-09
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	1.8	2.1	1.9	1.00E-08
201466_s_at	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	3.4	4.7	4.1	1.00E-08
210794_s_at	MEG3	maternally expressed 3	2.6	2.9	2.8	1.00E-08
201110_s_at	THBS1	thrombospondin 1	2.8	3.5	3.1	1.00E-08
218717_s_at	LEPREL1	leprecan-like 1	3.2	5.3	4.2	2.00E-08
219894_at	MAGEL2	MAGE-like 2	2.0	1.9	2.0	2.00E-08
209365_s_at	ECM1	extracellular matrix protein 1	2.0	1.8	1.9	3.00E-08
212190_at	SERPINE2	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	4.3	7.6	6.0	3.00E-08
209201_x_at	CXCR4	chemokine (C-X-C motif) receptor 4	2.7	3.4	3.1	4.00E-08
201325_s_at	EMP1	epithelial membrane protein 1	2.4	2.6	2.5	4.00E-08
204948_s_at	FST	follistatin	3.2	4.7	3.9	4.00E-08
201464_x_at	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	3.3	4.2	3.7	4.00E-08
205479_s_at	PLAU	plasminogen activator, urokinase	2.5	2.0	2.3	5.00E-08
212956_at	KIAA0882	KIAA0882 protein	3.7	6.6	5.2	6.00E-08
211042_x_at	MCAM	melanoma cell adhesion molecule /// melanoma cell adhesion molecule	1.9	2.3	2.1	7.00E-08
204105_s_at	NRCAM	neuronal cell adhesion molecule	2.4	3.4	2.9	8.00E-08
