Gene	Accession number	MCF7 SD	MCF7 MF	SF539 SD	SF539 MF	DU145 SD	DU145 MF
CTGF	NM_001901	1.8	1.8	1.6	2.5	1.4	1.7
CYR61	NM_001554	1.1	1.4	1.3	4.4	1	1.4
COL6A3	NM_004369	2.1	2.1	1.6	3.3	1.5	1.5
COL6A1	NM_001848	1.6	1.6	1.4	2.1	1	1.3
COL6A2	NM_001849	2	1.3	1.6	2.9	1	1.2
COL4A1	NM_001845	1	1	1.3	2.5	1	1
TGFB1I4	NM_006022	1.5	1	1.3	1.9	1.2	1.2
TGFB2	NM_003238	1.3	1.4	1.3	2.3	1.9	1
THBS1	NM_003246	1.5	1.9	1.3	3.4	1	1
VEGF	NM_003376	1.2	1.2	1.6	2.4	1.1	1.3
VEGFC	NM_005429	1.6	1.9	1.2	1.9	1	1.2
EGR1	NM_001964	1.6	2.6	1.9	5.4	1	1.4
SERPINE1	NM_000602	1.7	2.7	1.8	3.4	1.4	1.5
PLAT	NM_000930	1.7	2.1	1.7	3.1	1.1	1.6
SMAD3	NM_005902	1.5	2.4	1.2	1.7	1	1.1
IGFBP5	NM_000599	2	3.4	1.3	1.2	1.3	1.2
IL-6	AF372214	1.4	1.5	1.9	12.5	1.3	2.1
TGFBR2	NM_003242	1.4	1.7	1.2	1.2	1.1	1.1
TGFBR3	NM_003243	1.6	1.9	1.7	1.4	1	1
