ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue	log2(glo/brain_capillary)	Pvalue2
ENSMUSG00000041378	Claudin-5 (Brain endothelial cell clone 1 protein) (Lung-specific membra	MTG_602469286	2.96	0.00306	-2.81	0.00043
ENSMUSG00000029648	Vascular endothelial growth factor receptor 1 precursor (EC 2.7.1.112) (	VMTG_602474378	1.64	0.00422	-2.19	0.00115
ENSMUSG00000028978	Nitric-oxide synthase, endothelial (EC 1.14.13.39) (EC-NOS) (NOS, typ	MTG_602475506	1.11	0.00373	-2.69	0.00011
ENSMUSG00000002885	CD97 antigen precursor. [Source:Uniprot/SWISSPROT;Acc:Q9Z0M6]	MTG_602467822	1.23	0.00976	-2.46	0.00226
ENSMUSG00000033960		gbctl04_plate6_H24	1.34	0.03567	-2.33	0.0012
ENSMUSG00000016934	DNA topoisomerase I (EC 5.99.1.2). [Source:Uniprot/SWISSPROT;Acc:	MTG_602471490	1.1	0.01392	-2.47	0.00013
ENSMUSG00000001123	Galectin-9. [Source:Uniprot/SWISSPROT;Acc:O08573]	MTG_602472684	1.95	0.00269	-1.51	0.00819
ENSMUSG00000009687	FXYD domain-containing ion transport regulator 5 precursor (Oncoprote	MTG_602472810	1.66	0.02679	-1.72	0.0308
ENSMUSG00000020717	Platelet endothelial cell adhesion molecule precursor (PECAM-1) (CD31	gbctl04_plate10_B08	1.26	0.01303	-2.03	0.00064
ENSMUSG00000045092	Sphingosine 1-phosphate receptor Edg-1 (Lysophospholipid receptor B	MTG_602467520	1.07	0.00772	-2.22	0.00245
ENSMUSG00000062960	Vascular endothelial growth factor receptor 2 precursor (EC 2.7.1.112) (	Vgbctl04_plate8_K20	1.87	0.00421	-1.4	0.00222
ENSMUSG00000016087	Friend leukemia integration 1 transcription factor (Retroviral integration	MTG_602469456	1.78	0.02219	-1.47	0.0317
ENSMUSG00000024168		gbctl04_plate5_N09	1.54	0.00387	-1.67	0.00158
ENSMUSG00000018845	cardiomyopathy associated 4; striated muscle UNC45. [Source:RefSeq;	AMTG_602475484	1.52	0.00316	-1.66	0.00577
ENSMUSG00000031805	Janus kinase 3. [Source:RefSeq;Acc:NM_010589]	MTG_602471519	1.08	0.00812	-2.06	0.00096
ENSMUSG00000044562		MTG_602471891	1.68	0.00272	-1.43	0.00588
ENSMUSG00000032562	Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyc	lgbctl04_plate3_H08	1.02	0.02499	-2.07	0.015
ENSMUSG00000000530	Serine/threonine-protein kinase receptor R3 precursor (EC 2.7.1.37) (S	MTG_602471210	1.02	0.00768	-2.05	0.00034
ENSMUSG00000016494	Hematopoietic progenitor cell antigen CD34 precursor. [Source:Uniprot/	gbctl04_plate8_G22	1.53	0.00272	-1.53	0.00187
ENSMUSG00000041445	elastin microfibril interfacer 3. [Source:RefSeq;Acc:NM_153127]	MTG_602469476	1.18	0.00375	-1.83	0.00025
ENSMUSG00000024440	Protocadherin 12 precursor (Vascular cadherin-2) (Vascular endothelial	MTG_602468710	1.69	0.0042	-1.27	0.00382
ENSMUSG00000026921	vascular endothelial statin isoform 1 precursor; NEU1 protein; vascular	MTG_602476194	1.25	0.0038	-1.71	0.00056
ENSMUSG00000001029	Intercellular adhesion molecule-2 precursor (ICAM-2) (CD102) (Lympho	cgbctl04_plate8_G19	1.28	0.03408	-1.59	0.00446
ENSMUSG00000006445	Ephrin type-A receptor 2 precursor (EC 2.7.1.112) (Tyrosine-protein kin	MTG_602473722	1.29	0.00884	-1.56	0.00881
ENSMUSG00000022220	Adenylate cyclase, type IV (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Ad	eMTG_602470186	1.03	0.00436	-1.82	0.00095
ENSMUSG00000020099	unc-5 homolog B; unc5 homolog (C. elegans) 2. [Source:RefSeq;Acc:N	MTG_602468418	1.46	0.00357	-1.33	0.00632
ENSMUSG00000005583	myocyte enhancer factor 2C. [Source:RefSeq;Acc:NM_025282]	MTG_602310658	1.29	0.02051	-1.35	0.0419
ENSMUSG00000024238	Transcription factor 8 (Zinc finger homeobox protein 1a) (MEB1) (Delta	MTG_602475969	1.4	0.00365	-1.13	0.00777
ENSMUSG00000026796	Niban-like protein. [Source:Uniprot/SWISSPROT;Acc:Q8R1F1]	MTG_602475412	1.3	0.00452	-1.19	0.00902
ENSMUSG00000010034	SOX-13 protein. [Source:Uniprot/SWISSPROT;Acc:Q04891]	MTG_602476517	1.21	0.00421	-1.27	0.0308
ENSMUSG00000041308	Beta-2-syntrophin (59 kDa dystrophin-associated protein A1, basic com	MTG_602475755	1.17	0.01013	-1.31	0.0155
ENSMUSG00000031824		MTG_602472654	1.34	0.00418	-1.03	0.0189
ENSMUSG00000038387	Ras-related protein R-Ras (P23). [Source:Uniprot/SWISSPROT;Acc:P1	gbctl04_plate6_H16	1.24	0.01327	-1.02	0.0104
ENSMUSG00000034422		gbctl04_plate7_N11	1.1	0.00801	-1.08	0.015
	EST	gbctl04_plate16_O03	1.21	0.0231	-1.44	0.0204
