Accession no.	Symbol	Function	Quantitative gene expression TBCs	TPCs	BPCs	MM
D28364	ANXA2	Annexin family	?	+	+	?/+
U81787	WNT10B	Signaling; ligand	?	+	++	?/++
U88898	LOC51581a	Unknown	?	+	+	?/+
X12451	CTSL	Protease; cysteine	?	++	++	?
Z25347	CDK8	Cell cycle; kinase	?	++++	++++	?/++
D38548	KIAA0076a	Unknown	+	++	++	+/++
D86479	AEBP1	Extracellular matrix	+	++	++	+
U04689	OR1D2	Signaling; receptor	+	++	+	+
M31328	GNB3	Signaling; G protein	+	++	++	+
U13395	WWOX	Metabolism; oxidoreductase	+	++	++	+
X14675	BCR	Signaling; GTPase for RAC	+	++	++	+
X16665	HOXB2	Transcription; homeobox domain	+	++	++	?/+
Z11899	POU5F1	Transcription; homeobox domain	+	++	++	+
Z36531	FGL2	Secreted fibrinogenlike	+	++	++	+
X80907	PIK3R2	Signaling; kinase adaptor	+	+++	+++	++
D31846	AQP2	Aquaporin	++	+++	+++	++
L18983	PTPRN	Phosphatase; membrane	++	++++	++++	++
M23323	CD3E	Signaling; T-cell receptor partner	++	++++	++++	++
D83781	K1AA0197a	Unknown	+	?	?	+
HT4824	CBS	Metabolism; cystathionine-beta-synthase	+	?	?	?/++
S78873	RABIF	Signaling; GTP-releasing factor	+	?	?	+/++
U32645	ELF4	Transcription;ets domain	+	?	?	?/+
X97630	EMK1	Signaling; kinase; ELK domain	+	?	?	+
Z24724	UNKNOWNa	Cell cycle	+	?	?	+/++
D16480	HADHA	Mitochondrial oxidation	++	?	?	?/++
L77701	COX17	Mitochondrial oxidation	++	?	?	?/++
M90356	BTF3L2	Transcription; NAC domain	++	?	?	++
U08815	SF3A3	Spliceosome	++	?	?	+/++
U53225	SNX1	Intracellular trafficking	++	?	?	+/++
M25753	CCNB1	Cell cycle	++	+	?	?/++
D87448	TOPBP1a	Topoisomerase II binding protein	++	+	+	+/++
L38810	PSMC5	26S proteasome subunit 5	++	+	+	++
M29551	PPP3CB	Signaling; calcium-dependent phosphatase	++	+	+	+/++
M32886	SRI	Signaling; calcium binding	++	+	+	++
U24704	PSMD4	26S proteasome subunit 4	++	+	+	++
U25165	FXR1	RNA binding protein	++	+	+	++
U37022	CDK4	Cell cycle; kinase	++	+	+	++
U53003	C21orf33	Unknown; highly conserved	++	+	+	++
X89985	BCL7B	Actin crosslinking	++	+	+	++
D49738	CKAP1	Tubulin folding	+++	+	+	++
D43950	CCT5	Chaperonin	+++	++	++	+++
D82348	ATIC	Metabolism; purine biosynthesis	+++	++	++	+++
D86550	DYRK1A	Signaling; kinase	+++	++	++	+++
L06132	VDAC1	Anion channel	+++	++	++	++/+++
L43631	SAFB	Nuclear scaffold factor	+++	++	++	++/+++
M30448	CSNK2B	Signaling; casein kinase regulation	+++	++	++	++/++++
X76013	QARS	Metabolism; glutaminyl tRNA synthetase	+++	++	++	++/+++
D83735	CNN2	Actin binding	++++	++	++	++/++++
M86667	NAP1L1	Nucleosome assembly	++++	++	++	+++
X04828	GNAI2	Signaling; G protein	++++	++	++	++/+++
