UniGene ID	Symbol	Gene Name	tumor/normala	P value
Hs.23118	CA1	carbonic anhydrase I	0.03	<0.001
Hs.50002	CCL19	chemokine (C-C motif) ligand 19	0.03	<0.001
Hs.74466	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	0.04	<0.001
Hs.227059	CLCA4	chloride channel, calcium activated, family member 4	0.05	<0.001
Hs.274981	SLC21A8	solute carrier family 21 (organic anion transporter), member 8	0.06	<0.001
Hs.176658	AQP8	aquaporin 8	0.06	<0.001
Hs.284258	GUCA1B	guanylate cyclase activator 1B (retina)	0.07	<0.001
Hs.89485	CA4	carbonic anhydrase IV	0.08	<0.001
Hs.155097	CA2	carbonic anhydrase II	0.09	<0.001
Hs.98855	FLJ20909	hypothetical protein FLJ20909	0.1	<0.001
Hs.279005	SLC21A14	solute carrier family 21 (organic anion transporter), member 14	0.1	<0.001
Hs.302738		cDNA: FLJ21425 fis, clone COL04162, mRNA sequence	0.11	<0.001
Hs.232165	PRV1	polycythemia rubra vera 1	0.12	<0.001
Hs.194659	CLCA1	chloride channel, calcium activated, family member 1	0.13	<0.001
Hs.2667	MT1H	metallothionein 1H	0.13	<0.001
Hs.123044	SLC9A3	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3	0.14	<0.001
Hs.179608	RDHL	NADP-dependent retinol dehydrogenase/reductase	0.14	<0.001
Hs.296323	SGK	serum/glucocorticoid regulated kinase	0.14	<0.001
Hs.272789	MS4A12	membrane-spanning 4-domains, subfamily A, member 12	0.14	<0.001
Hs.84905	KRT20	cytokeratin 20	0.15	<0.001
Hs.18953	PDE9A	phosphodiesterase 9A	0.15	<0.001
Hs.89751	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	0.16	<0.001
Hs.185807	COG7	component of oligomeric golgi complex 7	0.17	<0.001
		metallothionein MT-1g isoform [human, monocytes, mRNA Partial, 93 nt]	0.17	<0.001
Hs.155109	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	0.18	<0.001
Hs.151734	NUTF2	nuclear transport factor 2	0.19	<0.001
Hs.73843	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	0.19	<0.001
Hs.38972	TSPAN-1	tetraspan 1	0.2	<0.001
Hs.275775	SEPP1	selenoprotein P, plasma, 1	0.2	<0.001
Hs.1408	EDN3	endothelin 3	0.2	<0.001
Hs.112377	CTXL	cortical thymocyte receptor (X. laevis CTX) like	0.2	<0.001
Hs.320147	C4orf7	chromosome 4 open reading frame 7	0.21	<0.001
Hs.179704	MEP1A	meprin A, alpha (PABA peptide hydrolase)	0.21	<0.001
Hs.239069	FHL1	four and a half LIM domains 1	0.21	<0.001
Hs.125864	TMOD2	tropomodulin 2 (neuronal)	0.21	<0.001
Hs.194710	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	0.21	<0.001
Hs.57907	CCL21	chemokine (C-C motif) ligand 21	0.22	<0.001
Hs.111732	FCGBP	Fc fragment of IgG binding protein	0.22	<0.001
Hs.355460		cDNA: FLJ21763 fis, clone COLF6967, mRNA sequence	0.22	<0.001
Hs.79368	EMP1	epithelial membrane protein 1	0.23	<0.001
Hs.10587	DMN	desmuslin	0.23	<0.001
Hs.112242	NMES1	normal mucosa of esophagus specific 1	0.23	<0.001
Hs.75516	TYK2	tyrosine kinase 2	0.24	<0.001
Hs.111577	ITM2C	integral membrane protein 2C	0.24	<0.001
Hs.1376	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	0.24	<0.001
Hs.50964	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	0.24	<0.001
Hs.109672	ST6GALNAC6	CMP-NeuAC:(beta)-N-acetylgalactosaminide (alpha)2,6-sialyltransferase member VI	0.24	<0.001
Hs.315	MUC2	mucin 2, intestinal/tracheal	0.24	<0.001
Hs.183617		Similar to RIKEN cDNA 2310014B08 gene [Homo sapiens], mRNA sequence	0.25	<0.001
Hs.21223	CNN1	calponin 1, basic, smooth muscle	0.25	0.006
		hypothetical protein FLJ11348 (FLJ11348), mRNA	0.26	<0.001
Hs.59889	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	0.26	<0.001
Hs.50964	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	0.26	<0.001
Hs.78452	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	0.27	<0.001
Hs.274230	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	0.27	<0.001
Hs.165619	MUCDHL	mucin and cadherin-like	0.27	<0.001
Hs.285885		cDNA FLJ11321 fis, clone PLACE1010324, mRNA sequence	0.27	<0.001
Hs.284199	MUC12	mucin 12	0.28	<0.001
Hs.82749	TM4SF2	transmembrane 4 superfamily member 2	0.28	<0.001
Hs.146182	GBA3	glucosidase, beta, acid 3 (cytosolic)	0.29	<0.001
Hs.375555	UGT1A6	UDP glycosyltransferase 1 family, polypeptide A6	0.29	<0.001
Hs.178589	LOC63928	hepatocellular carcinoma antigen gene 520	0.29	<0.001
Hs.8821	HAMP	hepcidin antimicrobial peptide	0.29	<0.001
Hs.334841	SELENBP1	selenium binding protein 1	0.29	<0.001
Hs.53973	VIP	vasoactive intestinal peptide	0.3	<0.001
Hs.11114	C20orf110	chromosome 20 open reading frame 110	0.3	<0.001
Hs.173724	CKB	creatine kinase, brain	0.3	<0.001
Hs.80975	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	0.31	<0.001
Hs.1239	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	0.31	<0.001
Hs.7917	HIG1	likely ortholog of mouse hypoxia induced gene 1	0.31	<0.001
Hs.42945	ASM3A	acid sphingomyelinase-like phosphodiesterase	0.31	<0.001
Hs.77768	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	0.31	<0.001
Hs.50813	ITLN	intelectin	0.31	<0.001
Hs.80776	PLCD1	phospholipase C, delta 1	0.32	<0.001
Hs.179100	FLJ20127	hypothetical protein FLJ20127	0.32	<0.001
Hs.31297	FLJ23462	duodenal cytochrome b	0.32	<0.001
Hs.378774	ACTG2	actin, gamma 2, smooth muscle, enteric	0.32	0.008
Hs.7486	YF13H12	protein expressed in thyroid	0.32	<0.001
Hs.20981	DKFZp547M236	hypothetical protein DKFZp547M236	0.33	<0.001
Hs.5338	CA12	carbonic anhydrase XII	0.33	<0.001
Hs.118786	MT2A	metallothionein 2A	0.33	<0.001
Hs.5462	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	0.33	<0.001
Hs.6721	MGLL	monoglyceride lipase	0.33	<0.001
Hs.211582	MYLK	myosin, light polypeptide kinase	0.33	<0.001
Hs.145296	ADAMDEC1	ADAM-like, decysin 1	0.34	<0.001
Hs.77837	UGP2	UDP-glucose pyrophosphorylase 2	0.34	<0.001
Hs.155597	DF	D component of complement (adipsin)	0.34	<0.001
Hs.285290		cDNA: FLJ21556 fis, clone COL06353, mRNA sequence	0.34	<0.001
Hs.46847	TTRAP	TRAF and TNF receptor-associated protein	0.34	<0.001
Hs.282975	CES2	carboxylesterase 2 (intestine, liver)	0.35	<0.001
Hs.7644	H1F2	H1 histone family, member 2	0.35	<0.001
Hs.2	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	0.35	<0.001
Hs.236642	HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	0.35	<0.001
Hs.7306	SFRP1	secreted frizzled-related protein 1	0.35	<0.001
Hs.299329	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	0.35	<0.001
		mRNA fragment	0.36	0.004
Hs.103378	MGC11034	hypothetical protein MGC11034	0.36	<0.001
Hs.5394	MYO1A	myosin IA	0.36	<0.001
Hs.26216		cDNA: FLJ22811 fis, clone KAIA2944, mRNA sequence	0.36	<0.001
Hs.825	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	0.36	<0.001
Hs.225949	BTNL3	butyrophilin-like 3	0.37	<0.001
Hs.100001	SLC17A1	solute carrier family 17 (sodium phosphate), member 1	0.37	<0.001
Hs.287733	FLJ23189	hypothetical protein FLJ23189	0.37	<0.001
Hs.351558	FLJ32389	hypothetical protein FLJ32389	0.37	<0.001
Hs.107882	DIP13B	DIP13 beta	0.38	<0.001
Hs.6603	FLJ20296	hypothetical protein FLJ20296	0.38	<0.001
Hs.380778	MT1L	metallothionein 1L	0.38	<0.001
Hs.266746	FLJ22615	hypothetical protein FLJ22615	0.38	<0.001
Hs.100322	CA6	carbonic anhydrase VI	0.38	<0.001
Hs.42957	METTL1	methyltransferase-like 1	0.38	<0.001
Hs.287702	FLJ22595	hypothetical protein FLJ22595	0.38	<0.001
Hs.205481		full length insert cDNA clone YR43G06, mRNA sequence	0.38	<0.001
Hs.31412	SYNPO2	synaptopodin 2	0.38	<0.001
Hs.169249	PYY	peptide YY	0.39	<0.001
Hs.417060		mRNA; cDNA DKFZp586F2323 (from clone DKFZp586F2323), mRNA sequence	0.39	<0.001
		aldo-keto reductase family 1, member B11 (aldose reductase-like) (AKR1B11), mRNA	0.39	<0.001
Hs.399996	GCG	glucagon	0.39	<0.001
Hs.310286		partial mRNA; ID YG39-2B, mRNA sequence	0.39	<0.001
Hs.109590	GENX-3414	genethonin 1	0.39	<0.001
Hs.406043	PPAP2A	phosphatidic acid phosphatase type 2A	0.4	<0.001
Hs.268700	FLJ21736	hypothetical protein FLJ21736	0.4	<0.001
Hs.9615	MYL9	myosin, light polypeptide 9, regulatory	0.4	0.004
Hs.90431		cDNA: FLJ22842 fis, clone KAIA4958, mRNA sequence	0.4	<0.001
Hs.404077	MGP	matrix Gla protein	0.4	<0.001
Hs.288771	DKFZP586A0522	DKFZP586A0522 protein	0.4	<0.001
Hs.24192		cDNA FLJ20767 fis, clone COL06986, mRNA sequence	0.4	<0.001
Hs.129742	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.41	<0.001
