Gene symbol	Gene title	Mean APC	Mean Placebo	Fold increase, APC relative to placebo	Probeset ID
TLK1	Tousled-like kinase 1	15.7	70.3	0.22	210379_s_at
LRAP	Leukocyte-derived arginine aminopeptidase	199.5	862.5	0.23	219759_at
ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	43.9	138.6	0.32	214012_at
ATP6V1A	ATPase, H+ transporting, lysosomal 70 kDa, V1 subunit A	382.3	964.1	0.4	201971_s_at
DNCLI1	Dynein, cytoplasmic, light intermediate polypeptide 1	493.4	1088.5	0.45	217976_s_at
HDGFRP3	Likely ortholog of mouse hepatoma-derived growth factor, related protein 3	87.2	182.3	0.48	209526_s_at
AHCYL1	S-adenosylhomocysteine hydrolase-like 1	253.2	516.1	0.49	200848_at
FLOT1	Flotillin 1	756.4	1510.8	0.5	208748_s_at
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	352.1	656	0.54	205193_at
FLJ21439	Hypothetical protein FLJ21439	869.5	1614	0.54	203513_at
SSFA2	Sperm specific antigen 2	455.8	811.5	0.56	202506_at
ZFX	Zinc finger protein, X-linked	178	310.8	0.57	207920_x_at
EIF2S3	Eukaryotic translation initiation factor 2, subunit 3 gamma, 52 kDa	490.1	853	0.58	205321_at
ALOX5	Arachidonate 5-lipoxygenase	3467.4	6004.8	0.58	214366_s_at
PRKAB1	Protein kinase, AMP-activated, beta 1 noncatalytic subunit	220.7	379.5	0.58	201834_at
C19orf6	Chromosome 19 open reading frame 6	247.7	425.8	0.58	212574_x_at
TIPR	Homo sapiensTIPR mRNA for inositol 1,4,5-trisphosphate receptor type 2	272.6	448.8	0.61	202662_s_at
KIAA0252	KIAA0252 protein	265.5	436.1	0.61	212301_at
ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	621.8	1007.6	0.62	215485_s_at
RRM2B	Ribonucleotide reductase M2 B (TP53 inducible)	199.9	320.9	0.62	208883_at
FLJ14345	Hypothetical protein FLJ14345	224.9	356.1	0.63	220760_x_at
NFYC	Nuclear transcription factor Y, gamma	706.7	1073.4	0.66	211251_x_at
BRD1	Bromodomain containing 1	339.4	506.8	0.67	215460_x_at
EKI1	Ethanolamine kinase	147.7	217.9	0.68	222262_s_at
CASP9	Caspase 9, apoptosis-related cysteine protease	829.9	1129.7	0.74	210775_x_at
nexilin	Likely ortholog of rat F-actin binding protein nexilin	187.8	254.1	0.74	212847_at
ZNF434	Zinc finger protein 434	498.9	667	0.75	218937_at
FLJ10948	Hypothetical protein FLJ10948	303.3	244.2	1.24	218552_at
MGC11256	Hypothetical protein MGC11256	828.4	581.7	1.42	218358_at
SPEC1	Small protein effector 1 of Cdc42	1623.4	1121.4	1.45	218157_x_at
RPL38	Ribosomal protein L38	1164.4	733.7	1.59	202028_s_at
RPS20	Ribosomal protein S20	213.4	116.4	1.83	216246_at
ZPBP	Zona pellucida binding protein	198.1	84.6	2.34	207021_at
