Unigene	Gene name	Symbol	Hypoxia	AdCA5	Function
Hs.408658	Cyclin E2	CCNE2	-1.7	-4.1	CDC/cyclins
Hs.244723	Cyclin E1	CCNE1	-1.9	-3.9	CDC/cyclins
Hs.1973	Cyclin F	CCNF	-2.1	-3	CDC/cyclins
Hs.408658	Cyclin E2	CCNE2	-2.4	-2.8	CDC/cyclins
Hs.334562	Cell division cycle 2	CDC2	-1.5	-2.2	CDC/cyclins
Hs.405958	Cell division cycle 6	CDC6	-2.7	-2.1	CDC/cyclins
Hs.334562	Cell division cycle 2	CDC2	-1.8	-2.1	CDC/cyclins
Hs.28853	Cell division cycle 7	CDC7	-1.6	-2.1	CDC/cyclins
Hs.334562	Cell division cycle 2	CDC2	-1.8	-1.9	CDC/cyclins
Hs.460184	Minichromosome maintenance deficient 4	MCM4	-2.4	-3.1	MCM proteins
Hs.460184	Minichromosome maintenance deficient 4	MCM4	-2.2	-3.1	MCM proteins
Hs.57101	Minichromosome maintenance deficient 2	MCM2	-2.2	-3.1	MCM proteins
Hs.77171	Minichromosome maintenance deficient 5	MCM5	-2.4	-2.7	MCM proteins
Hs.444118	Minichromosome maintenance deficient 6	MCM6	-1.9	-2.4	MCM proteins
Hs.198363	Minichromosome maintenance deficient 10	MCM10	-2.2	-2.3	MCM proteins
Hs.179565	Minichromosome maintenance deficient 3	MCM3	-1.5	-2.2	MCM proteins
Hs.460184	Minichromosome maintenance deficient 4	MCM4	-1.8	-2.1	MCM proteins
Hs.460184	Minichromosome maintenance deficient 4	MCM4	-2	-1.8	MCM proteins
Hs.437186	Polymerase (RNA) III polypeptide K	POLR3K	-2.1	-4.3	DNA/RNA polymerases
Hs.441072	Polymerase (RNA) II polypeptide L	RNAPOL2	-2	-3.3	DNA/RNA polymerases
Hs.99185	Polymerase (DNA directed), epsilon 2	POLE2	-2	-2.6	DNA/RNA polymerases
Hs.282387	Polymerase (RNA) III (32kD)	RPC32	-1.9	-1.9	DNA/RNA polymerases
Hs.306791	Polymerase (DNA directed), delta 2	POLD2	-1.5	-1.7	DNA/RNA polymerases
Hs.290921	Polymerase (DNA directed), gamma	POLG	-1.7	-1.6	DNA/RNA polymerases
Hs.79018	Chromatin assembly factor 1, subunit A	CHAF1A	-6	-10	Replication factors
Hs.433180	DNA replication complex GINS protein PSF2	PFS2	-2.2	-3.4	Replication factors
Hs.194665	DNA replication helicase 2-like	DNA2L	-1.7	-3.3	Replication factors
Hs.443227	Replication factor C5	RFC5	-1.9	-3.2	Replication factors
Hs.115474	Replication factor C (activator 1) 3	RFC3	-1.9	-2.9	Replication factors
Hs.443227	Replication factor C5	RFC5	-1.6	-2.3	Replication factors
Hs.49760	Origin recognition complex, subunit 6-like	ORC6L	-1.9	-1.9	Replication factors
Hs.139226	Replication factor C (activator 1) 2	RFC2	-1.6	-1.6	Replication factors
Hs.23348	S-phase kinase-associated protein 2	SKP2	-2.4	-3.1	Other cell cycle
Hs.79078	MAD2 mitotic arrest deficient-like 1	MAD2L1	-1.7	-2.9	Other cell cycle
Hs.511945	Block of proliferation 1	BOP1	-1.7	-2.8	Other cell cycle
Hs.42650	ZW10 interactor	ZWINT	-2	-2.5	Other cell cycle
Hs.445084	M-phase phosphoprotein 9	MPHOSPH9	-1.7	-2.5	Other cell cycle
Hs.75337	Nucleolar and coiled-body phosphoprotein 1	NOLC1	-1.6	-2.4	Other cell cycle
Hs.374491	Proliferation-associated 2G4	PA2G4	-1.6	-2.1	Other cell cycle
Hs.152759	Activator of S-phase kinase	ASK	-2.7	-2	Other cell cycle
Hs.344037	Protein regulator of cytokinesis 1	PRC1	-2	-1.6	Other cell cycle
Hs.433008	NIMA (never in mitosis a)-related kinase 4	NEK4	-1.5	-1.5	Other cell cycle
Hs.226390	Ribonucleotide reductase M2 polypeptide	RRM2	-2.4	-7.2	Ribonucleotide metabolism
Hs.464813	Dihydrofolate reductase	DHFR	-2	-4.5	Ribonucleotide metabolism
Hs.251871	CTP synthase	CTPS	-1.8	-3.2	Ribonucleotide metabolism
Hs.226390	Ribonucleotide reductase M2 polypeptide	RRM2	-1.8	-2.4	Ribonucleotide metabolism
