ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	Ratio1	Pvalue	Ratio2	Pvalue2	Ratio3	Pvalue3
ENSMUSG00000036390	Growth arrest and DNA-damage-inducible protein GAD	MTG_602468308	2.48	0.00451	4.28	2.00E-05	1.25	0.05777
ENSMUSG00000024921		MTG_602471205	2.41	0.00756	3.91	0.00016	-1.07	0.28643
ENSMUSG00000030717	Nuclear protein 1	gbctl04_plate9_C21	2.77	0.01335	3.44	0.00077	0.38	0.88
ENSMUSG00000033502	Dual-specificity phosphatase homolog (Fragment)	MTG_602476009	1.89	0.01032	3.49	5.00E-05	1.27	0.21817
ENSMUSG00000035929	H-2 class I histocompatibility antigen, Q10 alpha chain p	MTG_602139046	2.47	0.01132	2.64	0.00689	0.25	0.73508
ENSMUSG00000022206	Atrial natriuretic peptide clearance receptor precursor	MTG_602310638	2.56	0.00307	2.29	0.00053	1.39	0.08392
ENSMUSG00000064196		gbctl04_plate10_H24	2.22	0.00239	2.49	0.0182	0.71	0.29802
ENSMUSG00000028031	Dickkopf related protein-2 precursor	gbctl04_plate15_H23	2.64	0.00373	1.98	0.0423	-1.6	0.49151
ENSMUSG00000062515	Fatty acid-binding protein, adipocyte	MTG_602474869	1.47	0.01581	3.12	0.00092	-1.92	0.18164
ENSMUSG00000020552	D-glycosaminyl 3-O-sulfotransferase-3B	gbctl04_plate16_J03	1.38	0.04309	3.19	0.0004	0.18	0.68784
ENSMUSG00000023959	Chloride intracellular channel protein 5	MTG_602468931	1.76	0.00423	2.8	0.00129	0.96	0.08671
ENSMUSG00000057123	Gap junction alpha-5 protein	MTG_602477362	2.35	0.01206	2.11	0.00217	-1.66	0.3465
ENSMUSG00000008384	SERTA domain-containing protein 1	MTG_602472022	1.88	0.0468	2.42	0.00134	0.05	0.96783
ENSMUSG00000018899	Interferon regulatory factor 1	MTG_602473423	1.04	0.01018	3.18	0.00234	-1.55	0.06533
