Expression	miRNA	Mean  LG DN	Mean  HG DN	Mean  HCC G1	Mean  HCC G2	Mean HCC G3	Total	Chromosome Location	Potential and Known Targets
Increased expression > 2-fold	miR-9	3.77	2.26	1.24	2.96	1.3	2.53	1q23.1	CTNNA1
Increased expression > 2-fold	miR-10a	2.08	1.91	2.05	2.19	2.47	2.14	17q21.32	HOXA1
Increased expression > 2-fold	miR-15a	1.8	2.01	2.28	2.34	2.31	2.15	13q14.2	BCL2, DMTF1
Increased expression > 2-fold	miR-16	1.47	1.6	1.37	2.2	2.2	1.82	13q14.2	C10orf46, BCL2
Increased expression > 2-fold	miR-299	2.53	2.46	3.03	0.89	2.54	2.14	14q32.31	CDKN1A
Increased expression > 2-fold	miR-370	2.84	2.88	3.41	2.93	3.35	3.04	14q32.2	AKT1
Increased expression > 2-fold	miR-326	2.05	1.74	2	1.03	2	1.69	11q13.4	FZD5
Increased expression > 2-fold	miR-let-7g	2.58	2.58	2.06	1.98	2.71	2.39	3p21.2	TGFRII
Increased expression > 2-fold	miR-100	2.04	1.88	2.53	2.3	2.17	2.14	11q24.1	BAZ2A
Increased expression > 2-fold	miR-125b	2.15	2.01	2.39	2.27	2.33	2.2	11q24.1	VEGF, ARID3B
Decreased expression < 0.4-fold	miR-198	0.12	0.07	0.04	0.05	0.02	0.06	19p13.3	FGFR1, C6orf25
Decreased expression < 0.4-fold	miR-302b	0.01	0.05	0.04	0.04	0.02	0.04	4q25	ZBTB41, ARID4B
Decreased expression < 0.4-fold	miR-302b	0.04	0.07	0.05	0.06	0.04	0.05	4q25	ZBTB41, ARID4B
Decreased expression < 0.4-fold	miR-145	0.15	0.1	0.02	0.01	0.05	0.06	5q32	MAP3K, MAP4K4
Decreased expression < 0.4-fold	miR-368	0.01	0.05	0.04	0.04	0.02	0.04	14q32.31	TGFBRII
Decreased expression < 0.4-fold	miR-218	0.1	0.17	0.14	0.08	0.09	0.11	4p15.31	STK10, BCL9
Decreased expression < 0.4-fold	miR-330	0.05	0.09	0.07	0.08	0.05	0.07	19q13.32	CDK9, FRK
Decreased expression < 0.4-fold	miR-137	0.38	0.1	0.05	0.08	0.21	0.16	1p21.3	MITF, SNF1LK
Decreased expression < 0.4-fold	miR-147	0.62	0.12	0.19	0.17	0.28	0.19	9q33.2	ALG12, NRXN3
Decreased expression < 0.4-fold	miR-104	0.14	0.17	0.03	0.15	0.12	0.13	Unknown	Unknown
Decreased expression < 0.4-fold	miR-9	0.14	0.09	0.18	0.27	0.17	0.17	1q23.1	HOXA1
Decreased expression < 0.4-fold	miR-106a	0.06	0.1	0.02	0.12	0.03	0.07	Xq26.2	KIAA1404
Decreased expression < 0.4-fold	miR-204	0.08	0.07	0.05	0.15	0.05	0.09	9q21.13	RAB22A
Decreased expression < 0.4-fold	miR-159a	0.04	0.09	0.05	0.06	0.03	0.06	Unknown	Unknown
Decreased expression < 0.4-fold	miR-134	0.32	0.19	0.13	0.38	0.07	0.23	14q32.31	KRAS2
Decreased expression < 0.4-fold	miR-29c	0.17	0.1	0.06	0.18	0.05	0.12	1q32.2	CXXC6
Decreased expression < 0.4-fold	miR-95	0.1	0.11	0.21	0.04	0.05	0.09	4p16.1	SELS
Decreased expression < 0.4-fold	miR-199b	0.07	0.11	0.06	0.05	0.07	0.07	9q34.11	LAMC2
Decreased expression < 0.4-fold	miR-185	0.39	0.49	0.17	0.36	0.22	0.34	22q11.21	RAE1
