Gene	PBMC1	PBMC2	PBMC3	PBMC4	Average	SEM
HDAC1	17.7	17.2	16.6	16.9	17.1	0.27
HDAC2	17.6	17.4	17	17	17.3	0.18
HDAC3	16.9	16.7	16	16.2	16.4	0.26
HDAC4	19.1	20.4	17.6	17.5	18.7	0.78
HDAC5	19.7	19.5	19.5	18.9	19.4	0.22
HDAC6	16.9	17	16.6	16.2	16.6	0.21
HDAC7A	16.4	16.6	16.4	16	16.3	0.14
HDAC8	18.3	18.2	17.8	17.6	18	0.19
HDAC9	18.5	18.8	18.1	18	18.3	0.21
HDAC10	17.2	16.4	16.5	16.2	16. 6	0.25
HDAC11	21.6	21.5	21.4	20.6	21.3	0.28
SIRT1	16.2	15.5	15.5	15.6	15.7	0.19
SIRT2	17	16.6	16.7	16.3	16.7	0.17
SIRT3	18.3	18.5	17.6	17.6	18	0.25
SIRT4	21.3	21.5	21.3	21.3	21.4	0.04
SIRT5	22.6	22.8	23.1	23	22.9	0.12
SIRT6	18.4	18.1	18.2	17.5	18	0.23
SIRT7	16.9	16.4	16.7	16.3	16.6	0.17
SIN3A	15.5	15.6	14.9	14.8	15.2	0.23
SET7	19.7	19.9	19.4	18.6	19.4	0.31
MLL	15.6	16	15.3	15.1	15.5	0.23
RBBP4	25.4	26.8	25.9	26.3	26.1	0.34
RBBP7	18	15.6	15.5	15.1	16.1	0.76
