ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
214057_at	MCL1	1q21	5.105	3.31E-07	0.00367
216493_s_at	IGF2BP3	7p11	-5.020	5.17E-07	0.00367
204009_s_at	KRAS	12p12.1	4.959	7.08E-07	0.00367
208973_at	PRNPIP	1p32	-4.935	8.02E-07	0.00367
222130_s_at	FTSJ2	7p22	-4.929	8.27E-07	0.00367
202567_at	SNRPD3	22q11.23	-4.753	2.01E-06	0.00697
203820_s_at	IGF2BP3	7p11	-4.735	2.19E-06	0.00697
212795_at	KIAA1033	12q24.11	4.686	2.79E-06	0.00708
212099_at	RHOB	2p24	4.680	2.87E-06	0.00708
221650_s_at	MED18	1p35.3	-4.631	3.63E-06	0.00807
214056_at	MCL1	1q21	4.553	5.30E-06	0.01071
213685_at	PAC 886K2	1p36.11	-4.486	7.27E-06	0.01240
218356_at	FTSJ2	7p22	-4.468	7.91E-06	0.01240
218219_s_at	LANCL2	7q31.1-q31.33	-4.461	8.14E-06	0.01240
207213_s_at	USP2	11q23.3	-4.455	8.37E-06	0.01240
214352_s_at	KRAS	12p12.1	4.407	1.05E-05	0.01456
220707_s_at	FOXRED2	22q12.3	-4.352	1.35E-05	0.01736
211942_x_at	RPL13A	19q13.3	4.322	1.55E-05	0.01736
213624_at	SMPDL3A	6q22.31	4.316	1.59E-05	0.01736
208855_s_at	STK24	13q31.2-q32.3	4.310	1.63E-05	0.01736
36711_at	MAFF	22q13.1	4.304	1.68E-05	0.01736
221967_at	NXPH4	12q13.3	-4.285	1.82E-05	0.01736
203819_s_at	C7orf30	7p15.3	-4.267	1.98E-05	0.01736
215215_s_at	LOC81691	16p12.2	-4.267	1.98E-05	0.01736
215747_s_at	SNHG3-RCC1	1p36.1	-4.267	1.98E-05	0.01736
221952_x_at	TRMT5	14q23.1	-4.261	2.03E-05	0.01736
210502_s_at	PPIE	1p32	-4.249	2.15E-05	0.01736
201362_at	IVNS1ABP	1q25.1-q31.1	4.243	2.21E-05	0.01736
208892_s_at	DUSP6	12q22-q23	4.237	2.27E-05	0.01736
209158_s_at	PSCD2	19q13.3	4.207	2.59E-05	0.01920
205076_s_at	MTMR11	1q12-q21	4.194	2.74E-05	0.01951
202047_s_at	CBX6	22q13.1	-4.188	2.81E-05	0.01951
