Probe ID	Gene Symbol	Description	Relative Expression	P value
1005_at	DUSP1	dual specificity phosphatase 1	-0.61	0.0088
1108_s_at	EPHA1	EPH receptor A1	0.84	0.0029
1130_at	MAP2K1	mitogen-activated protein kinase kinase 1	2.89	0.0012
1189_at	CDK8	cyclin-dependent kinase 8	-0.8	0.0049
1280_i_at	---	---	0.69	0.0096
1352_at	IL8RA	interleukin 8 receptor, alpha	1.1	0.0003
1388_g_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-0.67	0.0034
1403_s_at	CCL5	chemokine (C-C motif) ligand 5	0.89	0.0026
152_f_at	HIST2H4	histone 2, H4	0.89	0.0019
1550_at	MRPL28	mitochondrial ribosomal protein L28	-0.76	0.001
1551_g_at	MRPL28	mitochondrial ribosomal protein L28	2.36	0.0081
1652_at	PIM2	pim-2 oncogene	-1.07	0.0067
1685_at	SPHAR	S-phase response (cyclin-related)	1.02	0.0075
1722_at	MAP2K5	mitogen-activated protein kinase kinase 5	0.49	0.0021
1801_at	BARD1	BRCA1 associated RING domain 1	-1.29	0.0061
1832_at	MCC	mutated in colorectal cancers	-0.42	0.0019
1852_at	TNF	tumor necrosis factor (TNF superfamily, member 2)	0.98	0.0054
1877_g_at	---	---	0.95	0.0063
1913_at	CCNG2	cyclin G2	-1.46	0.004
1920_s_at	CCNG1	cyclin G1	-1.13	0.0002
2017_s_at	CCND1	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	-0.92	0.0008
2053_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	-0.83	0
229_at	CEBPZ	CCAAT/enhancer binding protein zeta	2.55	0.0026
278_at	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	1.09	0
293_at	---	---	0.76	0.0021
299_i_at	---	---	0.5	0.0075
31315_at	IGLC2	Immunoglobulin lambda variable 3-21	-0.7	0.0022
31348_at	RFC1	replication factor C (activator 1) 1, 145kDa	0.55	0.0064
31472_s_at	CD44	CD44 antigen (homing function and Indian blood group system)	0.8	0.0068
31488_s_at	PGK1	phosphoglycerate kinase 1	2.05	0.0034
31506_s_at	DEFA1 /// DEFA3	defensin, alpha 1, myeloid-related sequence /// defensin, alpha 3, neutrophil-specific	-0.65	0.0014
31603_at	AIM2	absent in melanoma 2	0.61	0.0082
31738_at	---	---	0.6	0.0028
31773_at	---	---	0.72	0.0098
40791_AT	POLR2A	RNA polymerase II (220kD)	-2.892	0.008
31903_at	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	-0.81	0.0048
31936_s_at	LKAP	limkain b1	-0.99	0.0058
31943_g_at	TULP3	tubby like protein 3	0.79	0.0049
31948_at	RPS21	ribosomal protein S21	1.68	0.002
31987_at	---	DKFZp564G103 (from clone DKFZp564G103)	0.9	0.0038
32023_at	LOC346157	similar to dJ153G14.3 (novel C2H2 type Zinc Finger protein)	0.58	0.0053
32038_s_at	SRP46	Splicing factor, arginine/serine-rich, 46kD	-0.77	0.0021
32048_at	---	Gene from PAC 886K2, chromosome 1	1.32	0.009
32102_at	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)	1.49	0.0003
32162_r_at	---	---	1.38	0.0019
32170_g_at	FBXO21	F-box protein 21	-0.9	0.0001
32197_at	SLC25A11	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	1.88	0.0094
32230_at	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	2.3	0.0035
32234_at	TOR1A	torsin family 1, member A (torsin A)	1.33	0.0057
32253_at	RERE	arginine-glutamic acid dipeptide (RE) repeats	-2.15	0.0005
32297_s_at	KLRC1 /// KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	1.15	0.0015
32354_at	NPAS3	neuronal PAS domain protein 3	0.75	0.0018
32391_g_at	LOC388714	similar to Putative dimethylaniline monooxygenase [N-oxide forming] 6 (Flavin-containing monooxygenase 6) (FMO 6) (Dimethylaniline oxidase 6)	1.38	0
32440_at	RPL17	ribosomal protein L17	2.89	0.0015
32528_at	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	2.16	0.0036
32551_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.89	0.0002
32566_at	CHPF	chondroitin polymerizing factor	-1.14	0.0046
32588_s_at	ZFP36L2	zinc finger protein 36, C3H type-like 2	-0.76	0.0015
326_i_at	---	---	2.47	0.0024
