Probe Set ID	Higher Group	Fold Change	P value	Gene	Gene Symbol
217755_at	short-term	1.7	1.44E-06	hematological and neurological expressed 1	HN1
206391_at	long-term	2.8	3.14E-06	retinoic acid receptor responder (tazarotene induced) 1	RARRES1
201998_at	long-term	1.7	3.16E-06	sialyltransferase 1	SIAT1
204092_s_at	short-term	1.4	3.19E-06	serine/threonine kinase 6	STK6
203854_at	long-term	2.6	3.45E-06	I factor (complement)	IF
201425_at	long-term	1.6	4.03E-06	aldehyde dehydrogenase 2 family (mitochondrial)	ALDH2
206392_s_at	long-term	3.1	4.89E-06	retinoic acid receptor responder (tazarotene induced) 1	RARRES1
204033_at	short-term	1.5	5.94E-06	thyroid hormone receptor interactor 13	TRIP13
221591_s_at	short-term	1.3	1.30E-05	hypothetical protein FLJ10156	FLJ10156
206697_s_at	long-term	3.6	1.58E-05	haptoglobin	HP
208613_s_at	short-term	1.6	2.02E-05	filamin B, beta (actin binding protein 278)	FLNB
201236_s_at	long-term	1.5	2.09E-05	BTG family, member 2	BTG2
202094_at	short-term	1.3	2.31E-05	baculoviral IAP repeat-containing 5 (survivin)	BIRC5
218355_at	short-term	1.5	2.32E-05	kinesin family member 4A	KIF4A
203623_at	short-term	1.3	2.65E-05	likely ortholog of mouse plexin 3	PLXNA3
213288_at	short-term	1.3	2.67E-05	O-acyltransferase domain containing 2	OACT2
208470_s_at	long-term	3.8	2.72E-05	haptoglobin-related protein	HPR
218586_at	short-term	1.3	2.77E-05	chromosome 20 open reading frame 20	C20orf20
208079_s_at	short-term	1.6	2.78E-05	serine/threonine kinase 6	STK6
204825_at	short-term	1.6	2.86E-05	maternal embryonic leucine zipper kinase	MELK
208002_s_at	short-term	1.6	2.94E-05	brain acyl-CoA hydrolase	BACH
205167_s_at	short-term	1.2	2.97E-05	cell division cycle 25C	CDC25C
219490_s_at	short-term	1.2	3.11E-05	DNA cross-link repair 1B	DCLRE1B
204621_s_at	long-term	2.0	3.17E-05	nuclear receptor subfamily 4, group A, member 2	NR4A2
221872_at	long-term	2.7	3.25E-05	retinoic acid receptor responder (tazarotene induced) 1	RARRES1
