Grp1 Mean	Grp1 SEM	Grp2 Mean	Grp2 SEM	Ratio	Direction	p-value	Gene Identifier	Other ID	Gene Name	UG Cluster	LocusLink	Gene ID
4.116217	0.023368	12.657733	0.164879	372.61	Up	8.65E-07	S79910	214639_s_at	Homeobox A1	Hs.67397	3198	HOXA1
3.981407	0.086261	11.901833	0.032716	242.26	Up	1.10E-07	BF593636	228642_at	Homeobox A2	Hs.445239	3199	HOXA2
4.429717	0.070077	11.801	0.074321	165.57	Up	2.21E-07	CA448125	1557051_s_at	Homeobox A2	Hs.445239	3199	HOXA2
4.118957	0.238566	10.906233	0.135245	110.45	Up	1.58E-05	N21390	225639_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
5.83555	0.074471	12.395867	0.295085	94.37	Up	2.74E-05	NM_003240	206012_at	Pyrroline-5-carboxylate reductase family, member 2	Hs.520187	29920	PYCR2
4.419683	0.083926	10.8109	0.176683	83.94	Up	5.23E-06	AC_003999	216899_s_at	-	-	-	-
5.557487	0.048211	11.605233	0.164958	66.15	Up	3.89E-06	AB014486	204362_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
4.366513	0.171605	10.361533	0.008409	63.78	Up	4.03E-06	AK026415	213385_at	Chimerin (chimaerin) 2	Hs.151880	1124	CHN2
4.176893	0.17399	10.09293	0.122172	60.38	Up	9.92E-06	AB014486	204361_s_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
3.81234	0.118611	9.49911	0.105327	51.51	Up	3.61E-06	CA448125	1557050_at	Homeobox A2	Hs.445239	3199	HOXA2
3.52943	0.128865	8.932993	0.157487	42.33	Up	1.20E-05	BF223214	244867_at	Transcribed locus	Hs.265194	-	-
4.662433	0.061998	9.946773	0.190679	38.97	Up	1.23E-05	NM_005328	206432_at	Hyaluronan synthase 2	Hs.571528	3037	HAS2
8.266963	0.469288	13.381533	0.091036	34.64	Up	0.000432395	NM_000783	206424_at	Cytochrome P450, family 26, subfamily A, polypeptide 1	Hs.150595	1592	CYP26A1
4.48706	0.16716	9.596317	0.16017	34.52	Up	2.50E-05	AI374739	230372_at	Transcribed locus	Hs.159226	-	-
5.92273	0.136159	10.554733	0.10323	24.8	Up	1.10E-05	AA912476	229073_at	Hypothetical protein LOC145786	Hs.599998	145786	LOC145786
4.764517	0.299122	9.394497	0.128196	24.76	Up	0.00014175	NM_000965	205080_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.897797	0.100096	9.5234	0.212431	24.69	Up	3.92E-05	NM_016152	208530_s_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.863987	0.048154	9.245763	0.329928	20.85	Up	0.000193621	AW903934	232668_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
6.846197	0.280417	11.225133	0.120574	20.81	Up	0.000137185	NM_016651	219179_at	Dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	Hs.48950	51339	DACT1
3.941207	0.049749	8.267843	0.043242	20.07	Up	3.23E-07	BG261252	226420_at	Ecotropic viral integration site 1	Hs.554762	2122	EVI1
3.967803	0.066118	8.258257	0.041607	19.57	Up	6.58E-07	U73304	213436_at	cannabinoid receptor 1 (brain)	-	1268	-
3.8947	0.048523	8.109597	0.316922	18.57	Up	0.000193362	NM_019102	213844_at	Homeobox A5	Hs.533357	3202	HOXA5
3.994917	0.058557	8.099907	0.147379	17.21	Up	1.32E-05	W60810	223282_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
4.486387	0.08193	8.534247	0.306969	16.54	Up	0.00021866	NM_002398	204069_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	Hs.526754	4211	MEIS1
4.74696	0.065989	8.654393	0.159483	15.01	Up	2.25E-05	AF039698	223283_s_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
5.607907	0.08832	9.51163	0.277919	14.97	Up	0.000180089	NM_021822	204205_at	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	Hs.441124	200316	APOBEC3F
5.20234	0.096488	9.071673	0.571737	14.61	Up	0.002620674	NM_001395	205777_at	Dual specificity phosphatase 9	Hs.144879	1852	DUSP9
7.669563	0.10565	11.274333	0.153235	12.17	Up	4.19E-05	AI796169	209604_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
4.00814	0.105549	7.577663	0.16036	11.87	Up	4.92E-05	AI796169	209602_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
3.998703	0.059552	7.562653	0.282691	11.83	Up	0.000248083	AL832770	1559477_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	-	4211	-
3.978463	0.057108	7.53937	0.259424	11.8	Up	0.000179106	NM_004981	208359_s_at	Potassium inwardly-rectifying channel, subfamily J, member 4	Hs.32505	3761	KCNJ4
3.876407	0.079547	7.395477	0.383396	11.46	Up	0.000848429	AA464844	230272_at	Hypothetical LOC645323	Hs.12827	645323	LOC645323
4.47895	0.285722	7.904617	0.060475	10.75	Up	0.000302173	AW015083	238850_at	Hypothetical LOC645323	Hs.12827	645323	LOC645323
8.214393	0.316076	4.807373	0.154113	10.61	Down	0.000635106	NM_003385	203798_s_at	Visinin-like 1	Hs.444212	7447	VSNL1
5.836823	0.379655	9.209887	0.463356	10.36	Up	0.004893676	BF673779	230137_at	Transmembrane protein 155	Hs.27524	132332	TMEM155
5.417007	0.056274	8.778373	0.243655	10.28	Up	0.000177203	BE672313	221959_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
4.945113	0.134191	8.30009	0.141135	10.23	Up	6.66E-05	L29126	211419_s_at	chimerin (chimaerin) 2	-	1124	-
4.212943	0.053522	7.53953	0.326774	10.03	Up	0.000552054	NM_024972	220898_at	-	-	-	-
4.090353	0.037372	7.372953	0.951856	9.73	Up	0.026150451	NM_019885	219825_at	Cytochrome P450, family 26, subfamily B, polypeptide 1	Hs.91546	56603	CYP26B1
4.479867	0.162374	7.709393	0.345092	9.38	Up	0.001065883	NM_016569	219682_s_at	T-box 3 (ulnar mammary syndrome)	Hs.129895	6926	TBX3
4.264833	0.066279	7.49296	0.147199	9.37	Up	3.69E-05	AW085505	227198_at	AF4/FMR2 family, member 3	Hs.444414	3899	AFF3
3.955193	0.032758	7.163177	0.267222	9.24	Up	0.00028415	BE675324	242598_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
3.693487	0.162234	6.89927	0.485256	9.23	Up	0.003310977	AA772920	242344_at	CDNA clone IMAGE:4814184	Hs.303527	-	-
4.050527	0.080435	7.252287	0.372891	9.2	Up	0.00110257	N21127	227049_at	Transcribed locus	Hs.465433	-	-
3.856123	0.075663	7.04493	0.218262	9.12	Up	0.000159617	AW137982	235521_at	Homeobox A5	Hs.533357	3202	HOXA5
7.44727	0.348556	10.607767	0.231888	8.94	Up	0.001649471	NM_002178	203851_at	Insulin-like growth factor binding protein 6	Hs.274313	3489	IGFBP6
4.318097	0.0566	7.45589	0.548567	8.8	Up	0.004712379	NM_020632	220197_at	ATPase, H+ transporting, lysosomal V0 subunit a4	Hs.98967	50617	ATP6V0A4
4.592217	0.107624	7.624437	0.455404	8.18	Up	0.002923549	NM_022783	218858_at	DEP domain containing 6	Hs.112981	64798	DEPDC6
5.029563	0.214481	8.041747	0.372384	8.07	Up	0.002181128	AW966474	227182_at	Sushi domain containing 3	Hs.88417	203328	SUSD3
7.716537	0.21473	10.712037	0.392938	7.98	Up	0.002596949	NM_006984	205328_at	Claudin 10	Hs.534377	9071	CLDN10
8.869707	0.201348	5.89092	0.108908	7.88	Down	0.000201273	AI566130	230630_at	Transcribed locus	Hs.596190	-	-
5.84713	0.113582	8.817673	0.030705	7.84	Up	1.46E-05	AI288759	226137_at	AT-binding transcription factor 1	Hs.461285	463	ATBF1
6.03083	0.074427	8.99213	0.350151	7.79	Up	0.001165363	AW246673	221766_s_at	Family with sequence similarity 46, member A	Hs.10784	55603	FAM46A
