Gene Symbol 	Gene Title 
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9
ACACA	acetyl-Coenzyme A carboxylase alpha
ANKRD6	ankyrin repeat domain 6
APIN	APin protein
AVP	arginine vasopressin
C8A	complement component 8, alpha polypeptide
CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit
CACNB2	calcium channel, voltage-dependent, beta 2 subunit
CALML3	calmodulin-like 3
CAMK1G	calcium/calmodulin-dependent protein kinase IG
CAMK2B	calcium/calmodulin-dependent protein kinase II beta
CCL13	chemokine (C-C motif) ligand 13
CPEB1	cytoplasmic polyadenylation element binding protein 1
DBP	D site of albumin promoter (albumin D-box) binding protein
DDO	D-aspartate oxidase
ED1	ectodermal dysplasia 1, anhidrotic
FBXO26	F-box only protein 26
FGFR3	fibroblast growth factor receptor 3
FTHFD	formyltetrahydrofolate dehydrogenase
GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
GRIK4	glutamate receptor, ionotropic, kainate 4
GUCA2B	guanylate cyclase activator 2B
HIG2	hypoxia-inducible protein 2
KCNE1L	potassium voltage-gated channel, Isk-related family, member 1-like
LPHN3	latrophilin 3
MDM2	Mdm2, transformed 3T3 cell double minute 2
MEP1A	meprin A, alpha (PABA peptide hydrolase)
MYF6	myogenic factor 6 (herculin)
NEFH	neurofilament, heavy polypeptide 200kDa
NHLH2	nescient helix loop helix 2
NR1D1	nuclear receptor subfamily 1, group D, member 1
NRN1	neuritin 1
OGDHL	oxoglutarate dehydrogenase-like
POU6F2	POU domain, class 6, transcription factor 2
PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide
PVRL1	poliovirus receptor-related 1
RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3
RHAG	Rhesus blood group-associated glycoprotein
RNF6	ring finger protein (C3H2C3 type) 6
SLC4A3	solute carrier family 4, anion exchanger, member 3
SLC6A15	solute carrier family 6 (neurotransmitter transporter), member 15
SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
ST18	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)
TFAP2B	transcription factor AP-2 beta
TRIM2	tripartite motif-containing 2
UPB1	ureidopropionase, beta
ZNF257	zinc finger protein 257
ZNF287	zinc finger protein 287
ZXDA	zinc finger, X-linked, duplicated A
